I
1130 Generated by WorldEditor 2.2.0r2

1    753 0 0 C66 Monmouth Muni
1302 gui_label 2D
100 18.29 1 0 0.00 0 2 0 02  40.92606310 -090.63319482    0    0 1 0 0 0 20  40.93335700 -090.62904500    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 7
111  40.92631279 -090.63534977
111  40.92631191 -090.63529746
111  40.92636637 -090.63529746
113  40.92636637 -090.63534977
110 2 0.00 0.0000 New Taxiway 6
111  40.92641461 -090.63526018
111  40.92641110 -090.63506837
111  40.92649015 -090.63506604
113  40.92649366 -090.63525553
110 2 0.00 0.0000 New Taxiway 5
111  40.92749271 -090.63117642
111  40.92756891 -090.63117499
111  40.92756899 -090.63136190
111  40.92747401 -090.63136107
111  40.92747405 -090.63134721
111  40.92741822 -090.63134774
111  40.92738482 -090.63134864
111  40.92723175 -090.63135277
111  40.92707861 -090.63135691
111  40.92692371 -090.63136109
111  40.92676937 -090.63136526
111  40.92661691 -090.63136938
111  40.92653638 -090.63137155
111  40.92653385 -090.63119533
111  40.92669072 -090.63119224
111  40.92684438 -090.63118921
111  40.92699870 -090.63118616
111  40.92715119 -090.63118316
111  40.92730492 -090.63118013
113  40.92745865 -090.63117709
110 1 0.00 0.0000 New Taxiway 4
111  40.92813465 -090.63191527
111  40.92785916 -090.63207203
111  40.92785356 -090.63205790 102
112  40.92790694 -090.63181571  40.92786961 -090.63167233
111  40.92790694 -090.63181571 102
111  40.92785759 -090.63166547
111  40.92784310 -090.63162134
112  40.92771083 -090.63151964  40.92762609 -090.63151685
111  40.92771083 -090.63151964
111  40.92643040 -090.63155226
111  40.92642522 -090.63103047
111  40.92749133 -090.63100948
111  40.92749271 -090.63117642
111  40.92745865 -090.63117709
111  40.92730492 -090.63118013
111  40.92715119 -090.63118316
111  40.92699870 -090.63118616
111  40.92684438 -090.63118921
111  40.92669072 -090.63119224
111  40.92653385 -090.63119533
111  40.92653638 -090.63137155
111  40.92661691 -090.63136938
111  40.92676937 -090.63136526
111  40.92692371 -090.63136109
111  40.92707861 -090.63135691
111  40.92723175 -090.63135277
111  40.92738482 -090.63134864
111  40.92741822 -090.63134774
111  40.92741888 -090.63141210
112  40.92741888 -090.63141210  40.92742244 -090.63143901
111  40.92743585 -090.63144192
111  40.92760404 -090.63143604
111  40.92760169 -090.63116672
111  40.92789100 -090.63116104
111  40.92790247 -090.63159117
111  40.92791499 -090.63163274 102
111  40.92795767 -090.63176913
112  40.92795767 -090.63176913  40.92799698 -090.63186865 102
112  40.92812845 -090.63190089  40.92818702 -090.63188680
113  40.92812845 -090.63190089
110 1 0.00 0.0000 New Taxiway 3
111  40.93334539 -090.62970025 102
111  40.93330425 -090.62957972 102
111  40.93323824 -090.62938635
112  40.93323824 -090.62938635  40.93317675 -090.62929218 102
111  40.93310210 -090.62930729
111  40.93309507 -090.62929683
111  40.93338228 -090.62912709
111  40.93338883 -090.62914600 102
111  40.93349957 -090.62946590 102
113  40.93354126 -090.62958632 102
110 1 0.00 0.0000 New Taxiway 2
111  40.92622644 -090.63543147
111  40.92621151 -090.63468051 102
111  40.92612644 -090.63364126 102
111  40.92609808 -090.63329487
111  40.92609650 -090.63327555
111  40.92626334 -090.63318206
111  40.92626948 -090.63319485 102
112  40.92620712 -090.63336458  40.92620640 -090.63347878
111  40.92620712 -090.63336458 102
111  40.92622897 -090.63363044 102
111  40.92630552 -090.63456198
112  40.92630552 -090.63456198  40.92633419 -090.63464109
111  40.92639782 -090.63469435
111  40.92734652 -090.63465220
111  40.92736315 -090.63537788
113  40.92627789 -090.63542222
130 Airport Boundary 1
111  40.92601449 -090.63563097
111  40.92592488 -090.63359459
111  40.92488237 -090.63398509
111  40.92479714 -090.63277022
111  40.92545120 -090.63262905
111  40.92594892 -090.63234212
111  40.92594236 -090.63194295
111  40.92602704 -090.63155216
111  40.92624397 -090.63135286
111  40.92626145 -090.63093054
111  40.92750645 -090.63091103
111  40.92750576 -090.63113473
111  40.92798097 -090.63113189
111  40.92809859 -090.63107615
111  40.93487924 -090.62766524
111  40.93499812 -090.62765870
111  40.93506795 -090.62777642
111  40.93515389 -090.62773897
111  40.93520499 -090.62781414
111  40.93522787 -090.62937753
111  40.92802886 -090.63269224
111  40.92799605 -090.63267336
111  40.92798463 -090.63259851
111  40.92772961 -090.63267383
113  40.92779998 -090.63548089
120 Linear Feature 22
