I
1050 Generated by WorldEditor

1   1946 1 0 EDMO Oberpfaffenhofen
1302 city Oberpfaffenhofen
1302 country Germany
1302 datum_lat 48.081363889
1302 datum_lon 11.283066667
1302 faa_code 
1302 iata_code OBF
1302 icao_code EDMO
1302 region_code ED
1302 state Bavaria
1302 transition_alt 5000
1302 transition_level 
100 44.81 1 0 0.25 0 3 1 04  48.07403600  011.27306400    0   70 2 0 0 0 22  48.08920300  011.29377200    0    0 2 10 1 0
102 H2  48.08511760  011.28638853 224.43 10.60 10.90 1 0 0 0.00 0
110 1 0.00 0.0000 New Taxiway 30
111  48.07722694  011.29118574
111  48.07753769  011.29118877
111  48.07754848  011.29061592
113  48.07723424  011.29060372
110 2 0.00 0.0000 New Taxiway 47
111  48.08780072  011.29955651
111  48.08780886  011.29996179
111  48.08801213  011.29994673
113  48.08800418  011.29954479
110 2 0.00 0.0000 New Taxiway 46
111  48.08693941  011.29960610
111  48.08694747  011.30001300
111  48.08715477  011.30000397
113  48.08714671  011.29959416
110 2 0.00 0.0000 New Taxiway 45
111  48.08722712  011.29958953
111  48.08723527  011.30000096
111  48.08744257  011.29998890
113  48.08743277  011.29957769
110 2 0.00 0.0000 New Taxiway 44
111  48.08751318  011.29957306
111  48.08752911  011.29997384
111  48.08772634  011.29996781
113  48.08772048  011.29956113
110 1 0.00 0.0000 New Taxiway 18
111  48.08847136  011.29495953
111  48.08838071  011.29538993
111  48.08801249  011.29718953
111  48.08791502  011.29741975
111  48.08781972  011.29751054
111  48.08685152  011.29800665
111  48.08688273  011.29936348
111  48.08688837  011.29960904
111  48.08693941  011.29960610
111  48.08714671  011.29959416
111  48.08722712  011.29958953
111  48.08743277  011.29957769
111  48.08751318  011.29957306
111  48.08772048  011.29956113
111  48.08780072  011.29955651
111  48.08800418  011.29954479
111  48.08812732  011.29953770
111  48.08813495  011.29943742
111  48.08811546  011.29929474
111  48.08808080  011.29918774
111  48.08824109  011.29776104
111  48.08803748  011.29770267
111  48.08849542  011.29536582
111  48.08856878  011.29518278
111  48.08865993  011.29509959
111  48.08882109  011.29498644
111  48.08897559  011.29485831
111  48.08906340  011.29487162
111  48.08913231  011.29498976
111  48.08916455  011.29511789
111  48.08942019  011.29652394
111  48.08942463  011.29665373
111  48.08938573  011.29677520
111  48.08921790  011.29708969
111  48.08909198  011.29736798
111  48.08911293  011.29736990
111  48.08936948  011.29739342
111  48.08960198  011.29741474
111  48.08916121  011.29483002
111  48.08913165  011.29456945
111  48.08898844  011.29471952
113  48.08876740  011.29490444
112  48.08701303  011.29820572  48.08705464  011.29813496
111  48.08712646  011.29808794
111  48.08772841  011.29778118
112  48.08783087  011.29783596  48.08786746  011.29791265
111  48.08786563  011.29795373
111  48.08776866  011.29890141
112  48.08772475  011.29901097  48.08768816  011.29906027
111  48.08765705  011.29906027
