I
1050 Generated by WorldEditor

1     93 1 0 GBYD Banjul International
100 45.11 1 1 0.25 0 2 0 14  13.34845243 -016.66487331    0   60 3 1 0 1 32  13.32726779 -016.63964699    0  124 3 4 0 0
110 2 0.00 45.0000 New Taxiway 21
111  13.34387540 -016.65282578
111  13.34364279 -016.65255724
111  13.34357104 -016.65261967
111  13.34351018 -016.65267262
111  13.34347015 -016.65262433
111  13.34359870 -016.65250634
111  13.34336825 -016.65224030
111  13.34385456 -016.65180715
113  13.34435475 -016.65239976
110 2 0.00 0.0000 New Taxiway 25
111  13.34374850 -016.65690243
111  13.34361807 -016.65673596
111  13.34370052 -016.65667017
113  13.34382905 -016.65683782
110 2 0.00 0.0000 New Taxiway 24
111  13.34416334 -016.65678160
111  13.34427245 -016.65669833
111  13.34435023 -016.65680714
113  13.34424436 -016.65688930
110 2 0.00 0.0000 New Taxiway 23
111  13.34426057 -016.65690817
111  13.34435888 -016.65683378
111  13.34446583 -016.65696813
113  13.34436968 -016.65705029
110 5 0.00 0.0000 New Taxiway 22
111  13.34256800 -016.65751381
111  13.34355740 -016.65665852
111  13.34361807 -016.65673596
111  13.34374850 -016.65690243
111  13.34382905 -016.65683782
111  13.34400124 -016.65669970
111  13.34483345 -016.65775139
111  13.34434954 -016.65813786
111  13.34367761 -016.65728573
111  13.34344028 -016.65727306
113  13.34281298 -016.65778849
110 2 0.00 310.0000 New Taxiway 20
111  13.34005155 -016.64999991
111  13.34028695 -016.64980716
111  13.34054149 -016.65010809
113  13.34031183 -016.65031068
110 2 0.00 310.0000 New Taxiway 19
111  13.34108546 -016.65189891
111  13.34074244 -016.65220087
111  13.34040560 -016.65181143
111  13.34133602 -016.65099419
111  13.34166299 -016.65139051
111  13.34130171 -016.65170854
111  13.34155928 -016.65202493
113  13.34135163 -016.65220502
110 2 0.00 310.0000 New Taxiway 18
111  13.34141431 -016.65301474
111  13.34176751 -016.65270959
111  13.34152296 -016.65240427
111  13.34173385 -016.65221181
111  13.34198890 -016.65251832
111  13.34228771 -016.65226016
111  13.34261480 -016.65264996
113  13.34174488 -016.65340097
110 2 0.00 310.0000 New Taxiway 17
111  13.34223033 -016.65398167
111  13.34310888 -016.65321914
111  13.34340939 -016.65358119
113  13.34253660 -016.65435702
110 2 0.00 310.0000 New Taxiway 16
111  13.34286780 -016.65473999
111  13.34374955 -016.65395958
111  13.34393730 -016.65419529
113  13.34305199 -016.65496349
110 1 0.00 0.0000 New Taxiway 15
111  13.34816201 -016.66407133
111  13.34860645 -016.66409417
111  13.34895154 -016.66451602
113  13.34871494 -016.66472291
110 1 0.00 315.0000 New Taxiway 6
111  13.33404083 -016.64726167
111  13.33469765 -016.64669698
112  13.33473134 -016.64642438  13.33468081 -016.64632702
111  13.33473134 -016.64642438
111  13.33270191 -016.64402070
111  13.33338821 -016.64339977
111  13.33800647 -016.64890968
111  13.33733143 -016.64956127
111  13.33503073 -016.64683138
112  13.33503073 -016.64683138  13.33491074 -016.64673835
111  13.33478831 -016.64683260
113  13.33415136 -016.64737851
110 1 0.00 0.0000 New Taxiway 5
111  13.33178593 -016.64471692
111  13.33209695 -016.64445775
111  13.33245281 -016.64487242
113  13.33241919 -016.64549442
110 4 0.00 0.0000 New Taxiway 4
111  13.33028715 -016.63849756
111  13.33052448 -016.63854634
111  13.33086692 -016.63900627
111  13.33138905 -016.63855679
111  13.33084658 -016.63789477
111  13.33086014 -016.63721184
111  13.33017865 -016.63717700
111  13.33015831 -016.63783902
111  13.32966535 -016.63832136
111  13.32919784 -016.63778416
111  13.32924236 -016.63774415
111  13.33057848 -016.63654331
111  13.33200497 -016.63825799
111  13.33067018 -016.63944387
113  13.33002695 -016.63873584
110 5 0.00 0.0000 New Taxiway 3
111  13.32907870 -016.63905885
111  13.32902590 -016.63894703
111  13.32966535 -016.63832136
111  13.33015831 -016.63783902
111  13.33017865 -016.63717700
111  13.33086014 -016.63721184
111  13.33084658 -016.63789477
111  13.33138905 -016.63855679
111  13.33086692 -016.63900627
111  13.33052448 -016.63854634
111  13.33028715 -016.63849756
111  13.33002695 -016.63873584
111  13.32953315 -016.63918807
111  13.32926173 -016.63927568
113  13.32922903 -016.63923886
110 2 0.00 0.0000 New Taxiway 2
111  13.32852755 -016.63923203
111  13.32876891 -016.63921065
111  13.32907870 -016.63905885
111  13.32922903 -016.63923886
111  13.32902250 -016.63953440
111  13.32900026 -016.63979257
114  13.32900026 -016.63979257  13.32895281 -016.63930493
110 1 0.00 0.0000 New Taxiway 1
111  13.32853903 -016.64069336
111  13.32855243 -016.63984763
112  13.32855243 -016.63984763  13.32854610 -016.63968509
111  13.32841463 -016.63969226
111  13.32794383 -016.63965489
112  13.32794383 -016.63965489  13.32777301 -016.63967277
111  13.32781560 -016.63985747
111  13.32744432 -016.63939724
112  13.32802929 -016.63919209  13.32839465 -016.63922460
111  13.32802929 -016.63919209
111  13.32852755 -016.63923203
112  13.32900026 -016.63979257  13.32904771 -016.64028020
111  13.32900026 -016.63979257
111  13.32898042 -016.64111198
112  13.32898042 -016.64111198  13.32898358 -016.64121601
113  13.32902463 -016.64130669
