I
1050 Generated by WorldEditor 1.7.21r1

1   3831 1 0 OASL FOB Salerno
1302 city Kost
1302 country Afghanistan
1302 datum_lat 33.3636111
1302 datum_lon 069.9552778
1302 iata_code OLR
1302 icao_code OASL
1302 state Kost
1302 transition_alt 6400
100 27.43 5 0 0.00 0 0 1 09  33.36323890  069.94943060    0   91 0 0 0 0 27  33.36355830  069.96253610    0  213 0 0 0 0
110 2 1.00 107.0000 concrete 08
111  33.36311178  069.94944021
111  33.36315853  069.95157844
111  33.36341099  069.95155978
113  33.36336424  069.94942155
110 5 1.00 107.0000 Gravel
112  33.36346086  069.95160080  33.36346397  069.95155602
112  33.36342345  069.95154483  33.36342345  069.95150005
112  33.36337047  069.94942151  33.36337359  069.94936927
112  33.36346709  069.94917895  33.36347644  069.94908566
112  33.36352631  069.94857816  33.36351384  069.94837665
112  33.36349826  069.94804453  33.36349202  069.94793631
112  33.36324892  069.94794377  33.36313983  069.94803333
112  33.36294348  069.94834306  33.36290607  069.94843635
112  33.36288737  069.94888415  33.36289361  069.94904461
112  33.36291231  069.94932076  33.36295283  069.94939166
112  33.36303698  069.94948122  33.36306191  069.94965660
112  33.36313360  069.95164931  33.36313671  069.95169409
112  33.36322087  069.95426521  33.36322398  069.95437716
112  33.36338917  069.96201213  33.36338294  069.96218006
112  33.36332372  069.96257934  33.36331749  069.96270995
112  33.36332995  069.96312044  33.36334242  069.96326224
112  33.36339229  069.96379587  33.36340164  069.96400484
112  33.36346397  069.96512807  33.36347332  069.96522509
112  33.36370708  069.96525868  33.36382863  069.96522883
112  33.36423692  069.96512807  33.36430549  069.96512434
112  33.36440523  069.96515419  33.36443951  069.96515046
112  33.36445198  069.96444518  33.36446133  069.96424740
112  33.36435536  069.96319134  33.36429926  069.96304580
112  33.36408109  069.96254576  33.36403434  069.96247113
112  33.36391902  069.96223603  33.36382551  069.96218006
114  33.36371019  069.96207557  33.36367903  069.96198601
130 Airport Boundary
111  33.36351912  069.94756128
111  33.36335081  069.94774487
111  33.36317129  069.94787026
111  33.36302916  069.94800459
111  33.36297680  069.94809863
111  33.36279354  069.94837627
111  33.36265142  069.94848374
111  33.36229237  069.94858225
111  33.36212032  069.94874346
111  33.36175005  069.94930768
111  33.36166029  069.94934799
111  33.36164159  069.94941068
111  33.36166029  069.94943754
111  33.36154435  069.95020776
111  33.36197446  069.95039583
111  33.36222130  069.95061973
111  33.36212406  069.95127351
111  33.36274492  069.95130934
111  33.36284590  069.95141233
111  33.36285338  069.95148846
111  33.36278232  069.95163623
111  33.36253547  069.95169892
111  33.36240831  069.95222284
111  33.36258409  069.95266168
111  33.36289078  069.95406329
111  33.36295436  069.95516488
111  33.36299924  069.96029217
111  33.36206796  069.96042202
111  33.36175379  069.96058323
111  33.36171265  069.96072652
111  33.36211658  069.96141612
111  33.36234473  069.96151912
111  33.36310771  069.96250428
111  33.36320121  069.96365961
111  33.36327227  069.96374469
111  33.36340691  069.96550903
111  33.36407639  069.96552695
111  33.36411379  069.96570159
111  33.36451024  069.96568816
111  33.36458504  069.96526722
111  33.36462244  069.96479255
111  33.36456634  069.96377156
111  33.36442422  069.96313569
111  33.36413249  069.96245951
111  33.36437934  069.96210574
111  33.36455512  069.96200275
111  33.36472343  069.96200275
111  33.36492539  069.96142508
111  33.36772298  069.96173854
111  33.36764818  069.96138925
111  33.36742003  069.95924422
111  33.36742751  069.95906957
111  33.36753972  069.95855906
111  33.36751354  069.95804401
111  33.36722929  069.95779771
111  33.36488425  069.95515563
111  33.36496279  069.95502129
111  33.36568463  069.95586765
111  33.36569959  069.95576465
111  33.36527322  069.95188215
111  33.36509744  069.95101788
111  33.36508622  069.95085667
111  33.36509744  069.95055664
111  33.36516476  069.95038200
111  33.36514232  069.95015809
111  33.36506378  069.94986254
111  33.36515728  069.94975955
111  33.36501515  069.94948639
111  33.36473839  069.94932518
111  33.36433446  069.94918189
111  33.36412127  069.94902963
111  33.36400533  069.94884156
113  33.36372482  069.94825942
14  33.36475266  069.95805262 265.75 0 Tower Viewpoint
1300  33.36417403  069.96448919 260.45 tie_down jets|turboprops|props|fighters Gravel Apron 1
1301 D airline 
1300  33.36411170  069.96355627 240.92 tie_down jets|turboprops|props|fighters Gravel Apron 2
1301 D airline 
1300  33.36385612  069.96269426 226.64 tie_down jets|turboprops|props|fighters Gravel Apron 3
1301 D airline 
51 13000 AFIS
99
