A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      622 1 0 LFBR L herm
100   32.92   1   1 0.25 0 2 0 12   43.45143300  001.25770600    0.00    0.00 3  0 0 1 30   43.44694300  001.26982400    0.00    0.00 3  0 0 0
21   43.45102000  001.25967200  2 117.00   3.40  PAPI-4L
21   43.44792100  001.26808400  3 297.00   3.10  PAPI-4R
110   1 0.25 117.00 Taxiway
111  43.44936000  001.26470400 
111  43.44924900  001.26500600 
111  43.44913900  001.26530500 
111  43.44903100  001.26559800 
111  43.44862100  001.26671500 
112  43.44825100  001.26772000  43.44820200  001.26785500 
112  43.44813600  001.26789200  43.44810900  001.26787200 
111  43.44809500  001.26786300 
112  43.44799200  001.26779000  43.44792300  001.26774100 
112  43.44802400  001.26735300  43.44811400  001.26711000 
111  43.44802400  001.26735300 
111  43.44772200  001.26726600 
111  43.44758700  001.26763000 
111  43.44758600  001.26763400 
111  43.44745100  001.26799800 
111  43.44767900  001.26828300 
112  43.44767900  001.26828300  43.44776900  001.26804000 
112  43.44791700  001.26799200  43.44798600  001.26804100 
111  43.44801900  001.26806500 
112  43.44806100  001.26809500  43.44808900  001.26811400 
112  43.44802900  001.26832600  43.44798000  001.26846100 
111  43.44779600  001.26896100 
111  43.44751900  001.26971300 
112  43.44746700  001.26985000  43.44743200  001.26994100 
112  43.44738800  001.26996100  43.44737000  001.26994400 
111  43.44736100  001.26993500 
112  43.44725000  001.26983800  43.44717500  001.26977300 
112  43.44727300  001.26937600  43.44736300  001.26913300 
111  43.44727300  001.26937600 
111  43.44695900  001.26932400 
112  43.44695900  001.26932400  43.44686900  001.26956700 
112  43.44693800  001.26978700  43.44701400  001.26985300 
111  43.44728700  001.27008900 
112  43.44734200  001.27014300  43.44737900  001.27017800 
112  43.44742900  001.27030300  43.44745000  001.27037400 
111  43.44754800  001.27049800 
111  43.44763400  001.27058500 
111  43.44769900  001.27053000 
111  43.44769500  001.27041700 
111  43.44763300  001.27035400 
112  43.44755300  001.27022900  43.44754100  001.27018700 
112  43.44759900  001.26999100  43.44764200  001.26987500 
111  43.44766500  001.26981700 
112  43.44784400  001.26933300  43.44789300  001.26919800 
112  43.44795200  001.26915500  43.44797500  001.26917100 
111  43.44798500  001.26917800 
111  43.44803500  001.26904400 
112  43.44800100  001.26902000  43.44797800  001.26900400 
112  43.44804100  001.26879400  43.44809000  001.26865900 
112  43.44817500  001.26842900  43.44822400  001.26829400 
111  43.44831200  001.26827200 
111  43.44837500  001.26831600 
111  43.44848500  001.26832000 
111  43.44854400  001.26818100 
111  43.44843400  001.26810400 
112  43.44839700  001.26782400  43.44844600  001.26768900 
111  43.44866900  001.26708600 
111  43.44874300  001.26688400 
111  43.44879200  001.26675000 
111  43.44886600  001.26654800 
111  43.44907800  001.26597000 
111  43.44915200  001.26576800 
111  43.44920200  001.26563300 
111  43.44923100  001.26555400 
111  43.44926100  001.26547400 
111  43.44931000  001.26534000 
111  43.44934000  001.26525800 
111  43.44937000  001.26517600 
111  43.44942000  001.26504100 
111  43.44945100  001.26495700 
111  43.44948200  001.26487300 
111  43.44953100  001.26473900 
111  43.44960500  001.26453700 
111  43.45016500  001.26301200 
111  43.45103100  001.26065200 
112  43.45189700  001.25829500  43.45194600  001.25816000 
112  43.45186900  001.25802100  43.45180100  001.25797300 
111  43.45176600  001.25794800 
112  43.45144400  001.25772400  43.45134600  001.25765600 
112  43.45116200  001.25798600  43.45107200  001.25822900 
111  43.45116200  001.25798600 
111  43.45135200  001.25837200 
112  43.45135200  001.25837200  43.45144200  001.25812900 
112  43.45159000  001.25807900  43.45165900  001.25812600 
111  43.45169200  001.25815000 
112  43.45172200  001.25817100  43.45174100  001.25818400 
112  43.45167700  001.25839300  43.45162800  001.25852800 
112  43.45099600  001.26024700  43.45094700  001.26038200 
112  43.45088900  001.26042600  43.45086700  001.26041100 
111  43.45085500  001.26040200 
112  43.45075400  001.26033200  43.45068700  001.26028500 
112  43.45078800  001.25989700  43.45087800  001.25965400 
111  43.45078800  001.25989700 
111  43.45048700  001.25981000 
111  43.45035200  001.26017400 
111  43.45035000  001.26017700 
111  43.45021500  001.26054100 
111  43.45044300  001.26082600 
112  43.45044300  001.26082600  43.45053300  001.26058300 
112  43.45068000  001.26053300  43.45074800  001.26058000 
111  43.45078100  001.26060400 
112  43.45081500  001.26062800  43.45083700  001.26064300 
112  43.45077400  001.26085300  43.45072500  001.26098800 
112  43.45013000  001.26260700  43.45008100  001.26274200 
112  43.45001900  001.26278300  43.44999400  001.26276600 
111  43.44998200  001.26275700 
112  43.44988100  001.26268700  43.44981400  001.26264000 
112  43.44991500  001.26225200  43.45000500  001.26200900 
111  43.44991500  001.26225200 
111  43.44947800  001.26253100 
111  43.44957000  001.26318100 
112  43.44957000  001.26318100  43.44966000  001.26293800 
112  43.44980700  001.26288800  43.44987500  001.26293500 
111  43.44990800  001.26295900 
112  43.44994500  001.26298500  43.44997000  001.26300200 
114  43.44990800  001.26321300  43.44985900  001.26334800 
110   1 0.25 117.00 Apron
111  43.44745300  001.27024500 
111  43.44741000  001.27010300 
111  43.44709200  001.26988000 
111  43.44708000  001.26992000 
111  43.44722800  001.27003900 
111  43.44725200  001.27023500 
113  43.44747300  001.27038900 
110   1 0.25 117.00 Apron
111  43.44741700  001.27111100 
111  43.44776200  001.27135300 
111  43.44818600  001.27020600 
111  43.44806200  001.27017800 
113  43.44782400  001.27001100 
110   1 0.25 117.00 Apron
111  43.45172400  001.25810700 
111  43.45182800  001.25847900 
111  43.45197400  001.25808500 
113  43.45129500  001.25761000 
110   1 0.25 117.00 Apron
111  43.44847400  001.26951900 
111  43.44879700  001.26864300 
111  43.45009800  001.26512600 
111  43.44960800  001.26478200 
111  43.44956300  001.26474400 
111  43.44954900  001.26470400 
111  43.44955900  001.26464500 
111  43.44912100  001.26583200 
111  43.44915800  001.26578600 
111  43.44918200  001.26578500 
111  43.44919600  001.26579500 
111  43.44921700  001.26582700 
111  43.44921200  001.26585800 
111  43.44890500  001.26668800 
111  43.44889200  001.26671800 
111  43.44886800  001.26673900 
111  43.44884800  001.26673700 
111  43.44882700  001.26671500 
111  43.44881900  001.26667500 
111  43.44882600  001.26664100 
111  43.44869700  001.26699800 
111  43.44872800  001.26695800 
111  43.44874700  001.26696000 
111  43.44886000  001.26703900 
111  43.44888400  001.26706100 
111  43.44889000  001.26708600 
111  43.44867000  001.26768000 
111  43.44881400  001.26778100 
111  43.44872000  001.26803600 
111  43.44868500  001.26811000 
111  43.44862700  001.26814100 
111  43.44857000  001.26812300 
111  43.44851300  001.26808300 
111  43.44847900  001.26806100 
111  43.44843600  001.26806100 
111  43.44839400  001.26810100 
111  43.44835700  001.26818600 
111  43.44833500  001.26825900 
111  43.44832500  001.26833800 
111  43.44833700  001.26840300 
111  43.44836100  001.26843000 
111  43.44838100  001.26844300 
111  43.44815200  001.26906300 
111  43.44813200  001.26909200 
111  43.44810400  001.26909300 
111  43.44802700  001.26903900 
113  43.44797600  001.26917100 
120 Centreline for Path
111  43.44885900  001.26822800  51 
112  43.44885300  001.26824500  43.44882000  001.26833400  51 
112  43.44873700  001.26833300  43.44869300  001.26830200  51 
112  43.44856300  001.26826200  43.44849100  001.26824500  51 
112  43.44854400  001.26825700  43.44847200  001.26824000  51 
112  43.44842800  001.26835200  43.44842200  001.26843200  51 
112  43.44840300  001.26851600  43.44839200  001.26854500  51 
112  43.44843400  001.26859300  43.44846600  001.26861500  51 
112  43.44853300  001.26866200  43.44856700  001.26868600  51 
112  43.44863200  001.26873100  43.44866400  001.26875400  51 
112  43.44865300  001.26883800  43.44863500  001.26888700  51 
112  43.44860300  001.26897200  43.44858700  001.26901400  51 
112  43.44853200  001.26900100  43.44850000  001.26897800  51 
112  43.44843400  001.26893100  43.44840000  001.26890800  51 
112  43.44836200  001.26895500  43.44834700  001.26899400  51 
112  43.44829300  001.26914400  43.44826100  001.26923200  51 
112  43.44817800  001.26922900  43.44813300  001.26919800  51 
112  43.44814300  001.26915600  43.44816400  001.26913900  51 
112  43.44822500  001.26899600  43.44825800  001.26890600  51 
112  43.44823700  001.26896300  43.44827000  001.26887400  51 
112  43.44833500  001.26886300  43.44836700  001.26888500  51 
112  43.44840500  001.26883700  43.44842000  001.26879800  51 
112  43.44845400  001.26870200  43.44847300  001.26865100  51 
116  43.44853300  001.26866200  43.44856700  001.26868600 
120 Centreline for Path
112  43.44906200  001.26722500  43.44902900  001.26731400  51 
112  43.44907100  001.26739900  43.44911000  001.26742500  51 
116  43.44917800  001.26730600  43.44921100  001.26721700 
120 Centreline for Taxi A
112  43.44711600  001.26935000  43.44702600  001.26959300  51 
112  43.44709500  001.26981300  43.44717100  001.26987900  51 
112  43.44721000  001.26991300  43.44728600  001.26997900  51 
112  43.44738800  001.27007400  43.44743100  001.27011500  51 
116  43.44752200  001.26995100  43.44756900  001.26982700 
120 Centreline for Taxi
112  43.44766600  001.27055900  43.44767600  001.27053100  51 
112  43.44759800  001.27043400  43.44754400  001.27037900  51 
112  43.44748400  001.27024300  43.44746300  001.27017200  51 
112  43.44752200  001.26995100  43.44756900  001.26982700  51 
112  43.44766600  001.26956300  43.44771600  001.26942800  51 
112  43.44779500  001.26921400  43.44784400  001.26907900  51 
112  43.44794300  001.26881000  43.44799300  001.26867500  51 
112  43.44813900  001.26827700  43.44818800  001.26814200  51 
112  43.44832400  001.26815300  43.44839900  001.26820600  51 
116  43.44842800  001.26835200  43.44842200  001.26843200 
120 Centreline for Taxi
112  43.45179500  001.25809600  43.45183900  001.25812700  51 
112  43.45178700  001.25834400  43.45173700  001.25847900  51 
112  43.45103200  001.26039900  43.45098300  001.26053400  51 
112  43.45088400  001.26080300  43.45083400  001.26093800  51 
112  43.45016600  001.26275900  43.45011700  001.26289400  51 
112  43.45001800  001.26316300  43.44996800  001.26329800  51 
112  43.44950700  001.26455300  43.44945800  001.26468800  51 
112  43.44937700  001.26490600  43.44934100  001.26500700  51 
112  43.44926700  001.26520700  43.44923000  001.26530600  51 
