I
1050 Generated by WorldEditor 2.1.0r1

1    823 0 0 MO74 Cedar Creek
100 41.15 3 0 0.25 0 0 0 12  38.92167615 -092.16944206    0    0 0 0 0 0 30  38.91745714 -092.15925118    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  38.92180388 -092.16813076
111  38.92195655 -092.16804560
111  38.92194589 -092.16801408
111  38.92198182 -092.16799398
111  38.92199236 -092.16802352
111  38.92211505 -092.16795430
111  38.92217134 -092.16811658
111  38.92204994 -092.16818559
111  38.92207608 -092.16826203
111  38.92219727 -092.16819287
111  38.92225583 -092.16836005
113  38.92194677 -092.16853465
110 3 0.00 0.0000 New Taxiway 1
111  38.92132532 -092.16807730
111  38.92172704 -092.16791495
111  38.92180388 -092.16813076
111  38.92194677 -092.16853465
112  38.92194677 -092.16853465  38.92210676 -092.16912801
111  38.92184354 -092.16934035
111  38.92151228 -092.16956804
111  38.91729251 -092.15936401
111  38.91722957 -092.15915759
112  38.91722957 -092.15915759  38.91722615 -092.15910495
111  38.91727254 -092.15909803
111  38.91757995 -092.15908469
112  38.91757995 -092.15908469  38.91760569 -092.15910280
113  38.91762200 -092.15913809
130 Airport Boundary
111  38.91906522 -092.17185870
111  38.91895957 -092.16575221
111  38.91797263 -092.16291689
111  38.91791743 -092.16260909
111  38.91672676 -092.15916189
111  38.91680560 -092.15903840
111  38.91790202 -092.15902528
111  38.92094070 -092.16649512
111  38.92109275 -092.16697136
111  38.92190136 -092.16749987
111  38.92214226 -092.16746999
111  38.92257123 -092.16904262
111  38.92193306 -092.16969719
111  38.92175344 -092.16971348
111  38.92161820 -092.16977867
111  38.92109396 -092.17098090
111  38.92040321 -092.17160667
113  38.92004719 -092.17183742
14  38.92196424 -092.16781001   9.84 0 Tower
1300  38.92211860 -092.16833807 -155.54 hangar turboprops|props Hangar 1
1301 A none 
1300  38.92203604 -092.16809614 -155.54 hangar turboprops|props Hangar 2
1301 A none 
1300  38.92192073 -092.16903012 168.21 tie_down props GA 1
1301 A general_aviation 
1300  38.92193167 -092.16888437 -179.62 tie_down props GA 2
1301 A general_aviation 
1300  38.92192106 -092.16873386 -170.67 tie_down props GA 3
1301 A general_aviation 
1300  38.92170475 -092.16807966 -71.78 tie_down turboprops|props GA 4
1301 A general_aviation 
1300  38.92157525 -092.16813332 -71.78 tie_down turboprops|props GA 5
1301 A general_aviation 
18  38.92216446 -092.16789247 1 BCN
19  38.92216446 -092.16789247 0 WS-UNLIT
99
