I
1050 Generated by WorldEditor 2.2.0r2

1     53 0 0 15N Jenkins
1302 gui_label 2D
100 21.34 3 0 0.00 0 0 0 12  39.11856141 -075.58786193    0    0 0 0 0 0 30  39.11624900 -075.58131800    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 22
111  39.11566926 -075.58438980
111  39.11561943 -075.58430228
111  39.11571067 -075.58421645
113  39.11575937 -075.58430328
110 2 0.00 0.0000 New Taxiway 22
111  39.11555781 -075.58394393
111  39.11549362 -075.58383039
111  39.11560225 -075.58373211
113  39.11566530 -075.58384495
110 2 0.00 0.0000 New Taxiway 22
111  39.11589368 -075.58405570
111  39.11582370 -075.58393170
111  39.11592902 -075.58383434
113  39.11599787 -075.58395764
110 2 0.00 0.0000 New Taxiway 22
111  39.11582092 -075.58364074
111  39.11575274 -075.58351421
111  39.11596804 -075.58332950
113  39.11603601 -075.58345556
110 2 0.00 0.0000 New Taxiway 22
111  39.11646482 -075.58426845
111  39.11630321 -075.58396208
111  39.11640169 -075.58387425
113  39.11656311 -075.58418016
110 2 0.00 0.0000 New Taxiway 22
111  39.11627539 -075.58390936
111  39.11620552 -075.58377689
111  39.11630065 -075.58369166
113  39.11637033 -075.58382366
110 2 0.00 0.0000 New Taxiway 22
111  39.11599802 -075.58424059
111  39.11593311 -075.58412557
111  39.11602245 -075.58404283
113  39.11608812 -075.58416112
110 2 0.00 0.0000 New Taxiway 22
111  39.11608729 -075.58439878
111  39.11601013 -075.58426205
111  39.11609947 -075.58417931
113  39.11617739 -075.58431931
110 3 0.00 0.0000 New Taxiway 21
111  39.11762008 -075.58537230
111  39.11626420 -075.58515480
112  39.11626420 -075.58515480  39.11607317 -075.58511198
112  39.11592570 -075.58496235  39.11580527 -075.58493559
111  39.11592570 -075.58496235
111  39.11466786 -075.58480648
111  39.11503941 -075.58339156
111  39.11553977 -075.58442364
111  39.11583546 -075.58443892
111  39.11575937 -075.58430328
111  39.11571067 -075.58421645
111  39.11555781 -075.58394393
111  39.11566530 -075.58384495
111  39.11573732 -075.58377864
111  39.11582370 -075.58393170
111  39.11589368 -075.58405570
111  39.11593311 -075.58412557
111  39.11599802 -075.58424059
111  39.11601013 -075.58426205
111  39.11608729 -075.58439878
111  39.11617739 -075.58431931
111  39.11619242 -075.58430605
111  39.11599787 -075.58395764
111  39.11592902 -075.58383434
111  39.11582092 -075.58364074
111  39.11603601 -075.58345556
111  39.11620552 -075.58377689
111  39.11627539 -075.58390936
111  39.11630321 -075.58396208
111  39.11646482 -075.58426845
111  39.11649578 -075.58432714
111  39.11641976 -075.58439729
111  39.11649452 -075.58468632
113  39.11739904 -075.58476382
110 3 0.00 0.0000 New Taxiway 20
111  39.11864849 -075.58781065
112  39.11861484 -075.58807395  39.11848466 -075.58813418
111  39.11847373 -075.58791326
113  39.11853375 -075.58781243
130 Airport Boundary 23
111  39.11438026 -075.58525248
111  39.11498789 -075.58311095
111  39.11631473 -075.58088950
111  39.11888162 -075.58825703
111  39.11849721 -075.58841684
113  39.11746797 -075.58568399
14  39.11554035 -075.58424900   8.00 0 New Tower Viewpoint 15
1300  39.11517536 -075.58451668 -91.89 tie_down props GA Tie Down 7
1301 A general_aviation 
1300  39.11530384 -075.58452201 -91.89 tie_down props GA Tie Down 6
1301 A general_aviation 
1300  39.11543233 -075.58452734 -91.89 tie_down props GA Tie Down 5
1301 A general_aviation 
1300  39.11555916 -075.58453051 -91.89 tie_down props GA Tie Down 4
1301 A general_aviation 
1300  39.11568764 -075.58453584 -91.89 tie_down props GA Tie Down 3
1301 A general_aviation 
1300  39.11581947 -075.58454120 -91.89 tie_down props GA Tie Down 2
1301 A general_aviation 
1300  39.11594464 -075.58454220 268.92 tie_down props GA Tie Down 1
1301 A general_aviation 
1300  39.11571419 -075.58427384  36.10 hangar props GA Hangar 10
1301 A none 
1300  39.11559875 -075.58387590 306.09 hangar props GA Hangar 9
1301 A none 
1300  39.11587691 -075.58397449 -144.66 hangar props GA Hangar 8
1301 A none 
1300  39.11598354 -075.58416868 -144.66 hangar props GA Hangar 7
1301 A none 
1300  39.11606699 -075.58431657 -144.66 hangar props GA Hangar 6
1301 A none 
1300  39.11586463 -075.58357117 304.00 hangar props GA Hangar 5
1301 A none 
1300  39.11596700 -075.58348279 304.00 hangar props GA Hangar 4
1301 A none 
1300  39.11626900 -075.58381822 215.58 hangar props GA Hangar 3
1301 A none 
1300  39.11636413 -075.58401397 215.58 hangar props GA Hangar 2
1301 A none 
1300  39.11645105 -075.58417679 215.58 hangar props GA Hangar 1
1301 A none 
99
