A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1        4 1 0 LFNG Candillargues
100   29.87   1   0 0.25 0 0 0 33   43.61343900  004.06693300   89.92    0.00 2  0 0 0 15   43.60693100  004.07356700    0.00    0.00 2  0 0 0
110   2 0.25 143.53 Apron
111  43.60700700  004.07371000 
111  43.60710500  004.07389100 
111  43.60721900  004.07377400 
111  43.60724800  004.07360300 
113  43.60720000  004.07351200 
110   2 0.25 143.53 Apron
111  43.61333500  004.06825100 
111  43.61349500  004.06808900 
111  43.61359600  004.06827500 
111  43.61364000  004.06822900 
111  43.61371100  004.06836100 
111  43.61380200  004.06826900 
111  43.61361800  004.06792700 
111  43.61355600  004.06799000 
111  43.61340900  004.06771300 
111  43.61321900  004.06770700 
111  43.61313100  004.06754200 
111  43.61312700  004.06750300 
111  43.61313400  004.06746800 
111  43.61309400  004.06747300 
111  43.61297900  004.06758900 
111  43.61296100  004.06763600 
111  43.61299600  004.06763900 
113  43.61301800  004.06766000 
110   2 0.25 143.53 Apron
111  43.61376000  004.06911900 
111  43.61393300  004.06894300 
111  43.61385400  004.06879600 
113  43.61368200  004.06897300 
120 Path hold short
111  43.61315000  004.06777100  54 
115  43.61316400  004.06775700 
120 Path hold short
111  43.60714500  004.07378400  54 
115  43.60713100  004.07379800 
14   43.61321600  004.07123700 0030 0 Tower
15   43.61353700  004.06766600 323.53 GA Ramp 1
15   43.61346800  004.06897600 323.53 GA Ramp 10
15   43.61361000  004.06888500 323.53 GA Ramp 10
15   43.61325000  004.06950400 323.53 GA Ramp 11
15   43.61276000  004.06955400 323.53 GA Ramp 12
15   43.61247700  004.06983400 323.53 GA Ramp 13
15   43.61255600  004.06998200 323.53 GA Ramp 14
15   43.61262100  004.07010200 323.53 GA Ramp 15
15   43.61225700  004.07006000 323.53 GA Ramp 16
15   43.61233400  004.07020400 323.53 GA Ramp 17
15   43.61218800  004.07053400 323.53 GA Ramp 18
15   43.61349000  004.06802100 233.69 GA Ramp 2
15   43.61384300  004.06867800 233.74 GA Ramp 3
15   43.61383700  004.06893000 323.53 GA Ramp 4
15   43.61371100  004.06899300 323.53 GA Ramp 5
15   43.61353400  004.06874800 323.53 GA Ramp 6
15   43.61346700  004.06858900 323.53 GA Ramp 7
15   43.61336500  004.06836300 323.53 GA Ramp 8
19   43.61066700  004.07050700 1 Windsock
51 12060 CANDILLARGUES MULT
54 11877 MONTPELLIER TWR
55 13085 MONTPELLIER APP


130 Airport Boundary
111  043.60692978  004.07356691
111  043.61343765  004.06693316
111  043.61380386  004.06826878
111  043.61393356  004.06894302
111  043.61376190  004.06911898
111  043.60710526  004.07389116
113  043.60700607  004.07370996
99
