I
1100 Generated by WorldEditor 1.6.1r1

1    819 0 0 CTA4 ST BRUNO DE GUIGUES
1302 city St-Bruno-de-Guigues
1302 country Canada
1302 datum_lat 47.449291667
1302 datum_lon -79.417977778
1302 faa_code 
1302 iata_code 
1302 icao_code CTA4
1302 region_code CY
1302 state Quebec
1302 transition_alt 18000
1302 transition_level 18000
100 30.48 2 0 0.25 0 2 0 10  47.44934875 -079.42708424    0    0 2 10 0 1 28  47.44930126 -079.40885577    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 34
111  47.44944406 -079.41860653
111  47.44959677 -079.41881908
111  47.45070889 -079.41883234
111  47.45081849 -079.41865433
111  47.45081310 -079.41826642
111  47.45188929 -079.41823454
111  47.45189468 -079.41880842
111  47.45171322 -079.41882436
111  47.45170783 -079.41909802
111  47.45165393 -079.41909802
111  47.45165572 -079.41960283
111  47.45139521 -079.41960017
111  47.45125687 -079.42037596
111  47.45066398 -079.42033877
111  47.45069272 -079.41986851
111  47.45117243 -079.41989773
111  47.45122812 -079.41984194
111  47.45123172 -079.41960017
111  47.45082388 -079.41960283
111  47.45081849 -079.41924150
111  47.45068554 -079.41906615
111  47.44959857 -079.41907679
113  47.44944586 -079.41928667
110 2 0.00 0.0000 New Taxiway 33
111  47.44923144 -079.42708710
111  47.44897629 -079.42708957
111  47.44897641 -079.42671223
113  47.44923139 -079.42631116
110 2 0.00 0.0000 New Taxiway 33
111  47.44943046 -079.40886691
111  47.44968559 -079.40887222
111  47.44968020 -079.40924948
113  47.44941968 -079.40964268
130 Airport Boundary 40
111  47.44857851 -079.42895627
111  47.44858730 -079.42677283
111  47.44878945 -079.42625296
111  47.44886890 -079.40807124
111  47.44994998 -079.40785029
111  47.44994998 -079.40925396
111  47.44976980 -079.40957888
111  47.44979178 -079.41696120
111  47.45290756 -079.41693520
111  47.45248568 -079.41901474
111  47.45238900 -079.41899524
111  47.45232747 -079.41995702
111  47.45142657 -079.41993753
111  47.45132989 -079.42045089
111  47.45059160 -079.42041190
111  47.45060478 -079.41919020
111  47.44977420 -079.41919670
113  47.44987722 -079.42890570
120 Linear Feature 39
111  47.45149038 -079.41959282 20
115  47.45148607 -079.41826334
120 Linear Feature 38
111  47.45137813 -079.41835950 20
111  47.45137750 -079.41836881 20
111  47.45138336 -079.41836914 20
113  47.45138388 -079.41835984 20
120 Linear Feature 38
111  47.45125960 -079.41836719 20
111  47.45125897 -079.41837649 20
111  47.45126483 -079.41837683 20
113  47.45126535 -079.41836753 20
120 Linear Feature 38
111  47.45114003 -079.41836719 20
111  47.45113940 -079.41837649 20
111  47.45114526 -079.41837683 20
113  47.45114578 -079.41836753 20
120 Linear Feature 38
111  47.45102046 -079.41836412 20
111  47.45101983 -079.41837342 20
111  47.45102569 -079.41837375 20
113  47.45102621 -079.41836445 20
120 Linear Feature 38
111  47.45091441 -079.41836258 20
111  47.45091378 -079.41837188 20
111  47.45091964 -079.41837222 20
113  47.45092016 -079.41836292 20
120 Linear Feature 38
111  47.45110872 -079.41949627 20
111  47.45110941 -079.41948698 20
111  47.45110356 -079.41948655 20
113  47.45110297 -079.41949584 20
120 Linear Feature 38
111  47.45098083 -079.41950242 20
111  47.45098153 -079.41949313 20
111  47.45097567 -079.41949270 20
113  47.45097508 -079.41950199 20
120 Linear Feature 38
111  47.45086438 -079.41951011 20
111  47.45086508 -079.41950082 20
111  47.45085922 -079.41950039 20
113  47.45085863 -079.41950968 20
120 Linear Feature 38
111  47.45076247 -079.41997041 20
111  47.45076175 -079.41997970 20
111  47.45076761 -079.41998015 20
113  47.45076821 -079.41997086 20
120 Linear Feature 38
111  47.45088088 -079.41997468 20
111  47.45088017 -079.41998397 20
111  47.45088602 -079.41998442 20
113  47.45088663 -079.41997513 20
120 Linear Feature 38
111  47.45099352 -079.41997789 20
111  47.45099280 -079.41998718 20
111  47.45099866 -079.41998762 20
113  47.45099926 -079.41997834 20
120 Linear Feature 38
111  47.45111121 -079.41998536 20
111  47.45111050 -079.41999465 20
111  47.45111635 -079.41999510 20
113  47.45111695 -079.41998581 20
120 Linear Feature 38
111  47.45104547 -079.42025433 20
111  47.45104630 -079.42024506 20
111  47.45104045 -079.42024444 20
113  47.45103973 -079.42025371 20
120 Linear Feature 38
111  47.45092561 -079.42024258 20
111  47.45092645 -079.42023331 20
111  47.45092060 -079.42023270 20
113  47.45091987 -079.42024196 20
120 Linear Feature 38
111  47.45081008 -079.42023831 20
111  47.45081092 -079.42022904 20
111  47.45080507 -079.42022842 20
113  47.45080435 -079.42023769 20
120 Linear Feature 38
111  47.45069456 -079.42023511 20
111  47.45069540 -079.42022584 20
111  47.45068955 -079.42022522 20
113  47.45068882 -079.42023449 20
120 Linear Feature 38
111  47.45132948 -079.41835865 20
111  47.45132885 -079.41836795 20
111  47.45133471 -079.41836829 20
113  47.45133523 -079.41835899 20
120 Linear Feature 38
111  47.45121095 -079.41836634 20
111  47.45121032 -079.41837564 20
111  47.45121618 -079.41837597 20
113  47.45121670 -079.41836667 20
120 Linear Feature 38
111  47.45109138 -079.41836634 20
111  47.45109075 -079.41837564 20
111  47.45109661 -079.41837597 20
