I
1050 Generated by WorldEditor 2.1.0r1

1   2121 0 0 CEP3 Barrhead
100 30.48 1 0 0.25 0 1 0 07  54.09690717 -114.44705707    0    0 1 0 0 0 25  54.09690951 -114.43069872    0    0 1 0 0 0
110 3 0.00 0.0000 New Taxiway 31
111  54.09505860 -114.44329019
111  54.09455694 -114.44329035
111  54.09455681 -114.44308107
111  54.09455684 -114.44289819
112  54.09457079 -114.44286536  54.09458248 -114.44285585
111  54.09457079 -114.44286536
113  54.09505860 -114.44290210
110 3 0.00 0.0000 New Taxiway 30
111  54.09451177 -114.44434260
111  54.09439217 -114.44434232
111  54.09439223 -114.44399635
113  54.09451170 -114.44400598
110 3 0.00 0.0000 New Taxiway 29
111  54.09454381 -114.44544084
111  54.09454388 -114.44525409
111  54.09465527 -114.44523992
113  54.09465531 -114.44544074
110 2 0.00 0.0000 New Taxiway 28
111  54.09454383 -114.44558666
111  54.09454381 -114.44544084
111  54.09465531 -114.44544074
113  54.09465512 -114.44558662
110 2 0.00 0.0000 New Taxiway 28
111  54.09437642 -114.44563747
111  54.09437639 -114.44542485
111  54.09442244 -114.44542480
111  54.09442242 -114.44531611
111  54.09446905 -114.44531621
111  54.09446905 -114.44542474
111  54.09450632 -114.44542470
113  54.09450611 -114.44563741
110 2 0.00 0.0000 New Taxiway 28
111  54.09442985 -114.44448478
111  54.09442984 -114.44443620
111  54.09439217 -114.44443620
111  54.09439217 -114.44434232
111  54.09451177 -114.44434260
113  54.09451163 -114.44448473
110 2 0.00 0.0000 New Taxiway 28
111  54.09470148 -114.44560996
111  54.09470145 -114.44543742
111  54.09475285 -114.44543737
111  54.09479268 -114.44543733
111  54.09483138 -114.44543730
113  54.09483117 -114.44560991
110 2 0.00 0.0000 New Taxiway 28
111  54.09470229 -114.44483543
111  54.09470227 -114.44466289
111  54.09483219 -114.44466277
111  54.09483198 -114.44483538
111  54.09479335 -114.44483539
113  54.09475297 -114.44483541
110 2 0.00 0.0000 New Taxiway 28
111  54.09438872 -114.44487044
111  54.09438869 -114.44462748
111  54.09452946 -114.44462731
111  54.09452923 -114.44487037
111  54.09448810 -114.44487039
111  54.09448814 -114.44502700
111  54.09447429 -114.44502701
111  54.09444427 -114.44502705
111  54.09442888 -114.44502707
113  54.09442888 -114.44487042
110 2 0.00 0.0000 New Taxiway 28
111  54.09454651 -114.44487772
111  54.09454649 -114.44463765
111  54.09468330 -114.44463747
111  54.09468308 -114.44487764
111  54.09463810 -114.44487767
111  54.09463795 -114.44503005
111  54.09459900 -114.44503015
113  54.09459902 -114.44487769
110 2 0.00 0.0000 New Taxiway 28
111  54.09454620 -114.44447858
111  54.09454618 -114.44426496
111  54.09459070 -114.44426491
111  54.09463224 -114.44426486
111  54.09467781 -114.44426481
113  54.09467760 -114.44447851
110 2 0.00 0.0000 New Taxiway 28
111  54.09471248 -114.44447862
111  54.09471245 -114.44430108
111  54.09476282 -114.44430103
111  54.09479295 -114.44430100
111  54.09484409 -114.44430095
113  54.09484388 -114.44447857
110 2 0.00 0.0000 New Taxiway 28
111  54.09437339 -114.44370933
111  54.09437336 -114.44347215
111  54.09451121 -114.44347198
111  54.09451098 -114.44370926
113  54.09447164 -114.44370928
110 2 0.00 0.0000 New Taxiway 28
111  54.09455225 -114.44372204
111  54.09455222 -114.44348486
111  54.09469007 -114.44348468
113  54.09468985 -114.44372197
110 2 0.00 0.0000 New Taxiway 28
111  54.09471160 -114.44372315
111  54.09471157 -114.44348596
111  54.09484942 -114.44348579
111  54.09484920 -114.44372308
111  54.09480836 -114.44372310
113  54.09476538 -114.44372312
110 2 0.00 0.0000 New Taxiway 28
111  54.09438085 -114.44327755
111  54.09438082 -114.44304037
111  54.09451867 -114.44304019
111  54.09451852 -114.44308103
113  54.09451845 -114.44327748
110 1 0.00 0.0000 New Taxiway 27
111  54.09457079 -114.44286536
112  54.09457079 -114.44286536  54.09455909 -114.44287488
