I
1050 Generated by WorldEditor 2.2.0r2

1   2250 0 0 CHM2 Spiritwood/H & M Fast Farms
100 38.10 3 0 0.00 0 0 0 06  53.27314981 -107.57571954    0    0 0 0 0 0 24  53.27678019 -107.56441031    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 17
112  53.27299991 -107.57608351  53.27284609 -107.57598846
111  53.27299991 -107.57608351
112  53.27299991 -107.57608351  53.27292694 -107.57603842
112  53.27292548 -107.57581698  53.27294655 -107.57571148
111  53.27292548 -107.57581698
111  53.27300033 -107.57558395
113  53.27330087 -107.57585503
110 3 0.00 0.0000 New Taxiway 16
112  53.27745089 -107.55736983  53.27738243 -107.55753902
111  53.27745089 -107.55736983
112  53.27724895 -107.55648299  53.27738381 -107.55575228
111  53.27724895 -107.55648299
111  53.27703048 -107.55614373
111  53.27714863 -107.55588835
111  53.27738938 -107.55622471
112  53.27759472 -107.55708896  53.27794305 -107.55732532
113  53.27759472 -107.55708896
110 3 0.00 0.0000 New Taxiway 15
111  53.27693108 -107.56454615
111  53.27662912 -107.56427504
111  53.27675921 -107.56395346
112  53.27675921 -107.56395346  53.27680286 -107.56369871
111  53.27685310 -107.56165526
111  53.27691294 -107.56157751
111  53.27697052 -107.56158189
111  53.27703569 -107.56372318
114  53.27703569 -107.56372318  53.27703476 -107.56419851
110 2 0.00 0.0000 New Taxiway 21
111  53.27749689 -107.55690043
111  53.27750102 -107.55640441
111  53.27765882 -107.55640718
113  53.27765386 -107.55690043
110 4 0.00 0.0000 New Taxiway 19
111  53.27697052 -107.56158189
111  53.27691294 -107.56157751
111  53.27692148 -107.56078681
112  53.27692148 -107.56078681  53.27692425 -107.56063192
111  53.27693922 -107.56051418
111  53.27736490 -107.55765364
112  53.27736490 -107.55765364  53.27738545 -107.55754948
112  53.27745089 -107.55736983  53.27748444 -107.55728692
111  53.27745089 -107.55736983
112  53.27745089 -107.55736983  53.27751935 -107.55720065
111  53.27759472 -107.55708896
112  53.27759472 -107.55708896  53.27724638 -107.55685259
111  53.27738938 -107.55622471
111  53.27784220 -107.55623449
111  53.27783755 -107.55709632
111  53.27772470 -107.55711428
111  53.27763958 -107.55714401
112  53.27763958 -107.55714401  53.27746239 -107.55748339
111  53.27737815 -107.55804610
111  53.27702199 -107.56032397
112  53.27702199 -107.56032397  53.27698531 -107.56052956
113  53.27697885 -107.56077810
130 Airport Boundary 20
111  53.27958080 -107.57427066
111  53.27464845 -107.57531998
111  53.27357889 -107.57693108
111  53.27242094 -107.57613292
111  53.27239442 -107.56147033
111  53.27247397 -107.55505537
111  53.27678720 -107.55499247
111  53.27680511 -107.55357281
111  53.27708010 -107.55318727
111  53.27827236 -107.55346152
111  53.27870404 -107.55412236
111  53.27869012 -107.55713289
111  53.27793315 -107.55710005
111  53.27799443 -107.55909190
111  53.27853154 -107.55914323
111  53.27855200 -107.55981049
111  53.27909423 -107.55987893
111  53.27921700 -107.56134178
113  53.27962971 -107.56137430
14  53.27780518 -107.55768030   9.84 0 New Tower Viewpoint 1
1300  53.27733764 -107.55670914 -16.62 tie_down jets|turboprops|props Grass Tie-Down 1
1301 A general_aviation 
1300  53.27736044 -107.55708385 -16.62 tie_down props Grass Tie-Down
1301 A general_aviation 
1300  53.27757111 -107.55683150 -90.00 tie_down props Hangar 1
1301 A none 
99
