I
1050 Generated by WorldEditor 1.6.1r1
1   1208 0 0 CYWE Wekweeti Airport
100 25.00 5 0 0.00 0 0 0 12  64.19353922 -114.08473412    0    0 0 0 0 0 30  64.18825892 -114.06875413    0    0 0 0 0 0
110 5 0.00 0.0000 New Taxiway 268
111  64.19190176 -114.07941241
112  64.19190176 -114.07941241  64.19196578 -114.07944421
111  64.19203613 -114.07940446
111  64.19266409 -114.07831651
111  64.19225168 -114.07685253
111  64.19250305 -114.07605568
111  64.19240573 -114.07565433
111  64.19276097 -114.07519278
111  64.19343200 -114.07748406
111  64.19214999 -114.07972415
112  64.19211866 -114.08008031  64.19212212 -114.08023533
113  64.19211866 -114.08008031
130 Airport Boundary 269
111  64.19452890 -114.08460374
111  64.19356457 -114.08632627
111  64.18782007 -114.06836064
111  64.18828081 -114.06764709
111  64.19192382 -114.07896548
111  64.19245956 -114.07805508
111  64.19180596 -114.07579140
111  64.19301088 -114.07409652
111  64.19387931 -114.07737205
113  64.19293432 -114.07909809
21  64.18891460 -114.07169751 2 306.3500 3.00 30 PAPI-L
21  64.19281903 -114.08148525 2 127.2900 3.00 12 PAPI-L
14  64.19331182 -114.07623325  82.02 0 New Tower Viewpoint 225
1300  64.19291316 -114.07721144 121.27 tie_down turboprops|props GA 01
1301 A general_aviation 
1300  64.19307391 -114.07698693 119.46 tie_down turboprops|props GA 02
1301 A general_aviation 
19  64.19254592 -114.07827097 0 Airfield Centre
50 12870 Automated Weather Observation System
51 12320 Aerodrome Traffic Frequency
99
