I
1050 Generated by WorldEditor 2.2.0r2

1   1824 0 0 48TE 4M Ranch Airfield
1302 gui_label 2D
100 22.86 1 0 0.00 0 0 0 01  30.01421669 -101.57443358    0    0 1 0 0 0 19  30.02775900 -101.57168600    0    0 1 0 0 0
110 2 0.00 0.0000 Taxiway 5
111  30.01834953 -101.57279346
111  30.01831358 -101.57255561
111  30.01850181 -101.57251780
113  30.01853882 -101.57275393
110 1 0.00 0.0000 Taxiway 4
111  30.02720046 -101.57168179
111  30.02719973 -101.57167948
112  30.02719973 -101.57167948  30.02727429 -101.57165182
112  30.02730599 -101.57153485  30.02731361 -101.57146130
111  30.02730599 -101.57153485
111  30.02730927 -101.57143822
112  30.02730927 -101.57143822  30.02732886 -101.57113964
112  30.02771194 -101.57139385  30.02776908 -101.57165032
111  30.02771194 -101.57139385
113  30.02773861 -101.57157363
110 1 0.00 0.0000 Taxiway 3
111  30.01867947 -101.57341067
111  30.01867897 -101.57340806
112  30.01867897 -101.57340806  30.01872527 -101.57339354
112  30.01878632 -101.57323892  30.01878103 -101.57316019
111  30.01878632 -101.57323892
111  30.01876725 -101.57311314
111  30.01872962 -101.57286487
112  30.01872962 -101.57286487  30.01870884 -101.57279110
112  30.01857399 -101.57274635  30.01851125 -101.57275290
111  30.01857399 -101.57274635
111  30.01853882 -101.57275393
111  30.01850181 -101.57251780
111  30.01896689 -101.57242232
111  30.01900573 -101.57266087
111  30.01894301 -101.57267318
112  30.01894301 -101.57267318  30.01885332 -101.57270286
112  30.01882595 -101.57283906  30.01883119 -101.57288926
111  30.01882595 -101.57283906
111  30.01886440 -101.57309213
111  30.01888579 -101.57323286
112  30.01888579 -101.57323286  30.01890620 -101.57328131
112  30.01902437 -101.57333774  30.01907879 -101.57333468
111  30.01902437 -101.57333774
113  30.01902516 -101.57334047
110 1 0.00 0.0000 Taxiway 2
111  30.01802823 -101.57354240
111  30.01802768 -101.57353966
112  30.01802768 -101.57353966  30.01807908 -101.57352133
112  30.01813095 -101.57337217  30.01812831 -101.57330626
111  30.01813095 -101.57337217
111  30.01811149 -101.57324390
111  30.01801599 -101.57261450
111  30.01831358 -101.57255561
111  30.01834953 -101.57279346
111  30.01826336 -101.57280954
112  30.01826336 -101.57280954  30.01821725 -101.57284096
112  30.01816843 -101.57298442  30.01816692 -101.57307478
111  30.01816843 -101.57298442
111  30.01820623 -101.57322630
111  30.01822375 -101.57333843
112  30.01822375 -101.57333843  30.01823546 -101.57339343
112  30.01837189 -101.57346990  30.01845731 -101.57347688
111  30.01837189 -101.57346990
113  30.01837242 -101.57347232
110 1 0.00 0.0000 Taxiway 1
111  30.01420331 -101.57431869
111  30.01417882 -101.57415947
112  30.01417882 -101.57415947  30.01414163 -101.57393006
112  30.01458790 -101.57406781  30.01474573 -101.57444492
111  30.01458790 -101.57406781
112  30.01458790 -101.57406781  30.01460468 -101.57415056
112  30.01471489 -101.57421184  30.01477657 -101.57423070
111  30.01471489 -101.57421184
113  30.01471580 -101.57421603
130 Airport Boundary
111  30.01413128 -101.57377839
111  30.01423755 -101.57353837
111  30.01756766 -101.57309306
111  30.01739650 -101.57245986
111  30.01916265 -101.57216442
111  30.01917394 -101.57220570
111  30.02595359 -101.57139864
111  30.02894421 -101.57048946
111  30.02900251 -101.57207645
111  30.01337610 -101.57528823
113  30.01317861 -101.57400885
120 Linear Feature 11
111  30.01811149 -101.57324390 4
115  30.01820623 -101.57322630
120 Linear Feature 10
111  30.01876725 -101.57311314 4
115  30.01886440 -101.57309213
120 Linear Feature 9
111  30.01892187 -101.57248062 1
115  30.01896521 -101.57247295
120 Linear Feature 8
111  30.01892694 -101.57251348 1
111  30.01892187 -101.57248062 1
115  30.01891676 -101.57244752
120 Linear Feature 7
111  30.01894247 -101.57262097 1
115  30.01898632 -101.57261329
120 Linear Feature 6
111  30.01894759 -101.57265574 1
111  30.01894247 -101.57262097 1
115  30.01893757 -101.57258768
1300  30.01892187 -101.57248062 189.50 tie_down props GA Ramp 02
1301 A general_aviation 
1300  30.01894247 -101.57262097 189.50 tie_down props GA Ramp 01
1301 A general_aviation 
1300  30.01839467 -101.57266515 189.50 hangar props Hangar 01
1301 A none 
19  30.02028503 -101.57383817 0 Windsock
99
