I
1050 Generated by WorldEditor 2.1.0r1

1   2599 0 0 CEG4 Drumheller Muni
100 22.56 1 0 0.25 0 1 0 16  51.50115845 -112.74862576    0    0 1 0 0 0 34  51.49144309 -112.74864960    0    0 1 0 0 0
110 3 0.00 0.0000 New Taxiway 43
111  51.49995750 -112.75058052
111  51.49995747 -112.75036015
111  51.49975083 -112.75054075
111  51.49975114 -112.75061656
111  51.49961553 -112.75061634
111  51.49961552 -112.75064267
111  51.49954222 -112.75064331
111  51.49954222 -112.75047707
111  51.49941995 -112.75047693
111  51.49937460 -112.75054402
111  51.49937466 -112.75032740
112  51.49937466 -112.75032740  51.49949044 -112.75030320
111  51.49958511 -112.75018858
111  51.50022290 -112.75018822
111  51.50022240 -112.75032459
111  51.50009213 -112.75032422
113  51.50009220 -112.75058095
110 5 0.00 0.0000 New Taxiway 42
111  51.49941995 -112.75047693
111  51.49954222 -112.75047707
111  51.49954222 -112.75064331
111  51.49937453 -112.75064293
113  51.49937460 -112.75054402
110 3 0.00 0.0000 New Taxiway 41
111  51.50032428 -112.75061976
111  51.50032477 -112.75032265
111  51.50045886 -112.75032308
113  51.50045898 -112.75062007
110 2 0.00 0.0000 New Taxiway 40
111  51.49962451 -112.75083904
111  51.49962457 -112.75071503
111  51.49961550 -112.75071498
111  51.49961552 -112.75064267
111  51.49961553 -112.75061634
111  51.49975114 -112.75061656
111  51.49975111 -112.75072159
111  51.49973828 -112.75072164
113  51.49973833 -112.75083931
110 2 0.00 0.0000 New Taxiway 40
111  51.50017236 -112.75077115
111  51.50017248 -112.75061883
111  51.50022131 -112.75061893
111  51.50025423 -112.75061900
111  51.50029801 -112.75061908
113  51.50029811 -112.75077134
110 2 0.00 0.0000 New Taxiway 40
111  51.49937438 -112.75087465
111  51.49937453 -112.75064293
111  51.49954222 -112.75064331
113  51.49954235 -112.75087494
110 2 0.00 0.0000 New Taxiway 40
111  51.49995738 -112.75083964
111  51.49995750 -112.75058052
111  51.50009220 -112.75058095
113  51.50009231 -112.75083996
110 2 0.00 0.0000 New Taxiway 40
111  51.50032416 -112.75080766
111  51.50032428 -112.75061976
111  51.50045898 -112.75062007
113  51.50045909 -112.75080790
110 2 0.00 0.0000 New Taxiway 40
111  51.50048099 -112.75074823
111  51.50048110 -112.75060009
111  51.50052451 -112.75060018
111  51.50052432 -112.75032330
111  51.50055954 -112.75032341
111  51.50055954 -112.75060024
111  51.50060847 -112.75060034
113  51.50060857 -112.75074842
110 2 0.00 0.0000 New Taxiway 40
111  51.50063126 -112.75074959
111  51.50063137 -112.75060145
111  51.50066462 -112.75060151
