A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      161 1 0 EDHG Lueneburg
100   29.87   3   0 0.00 0 1 1 09   53.24704406  010.45161849    0.00    0.00 1  0 0 0 27   53.24962260  010.46571527    0.00    0.00 1  0 0 0
110   3 0.00   0.00 Grass Apron
111  53.24691495  010.45168448 
111  53.24658647  010.45187285 
111  53.24668447  010.45299313 
111  53.24653105  010.45296432 
111  53.24649658  010.45367588 
111  53.24666551  010.45372197 
111  53.24655691  010.45518543 
111  53.24646382  010.45517390 
111  53.24645520  010.45532659 
111  53.24680859  010.45538132 
111  53.24680169  010.45547927 
111  53.24688443  010.45549656 
111  53.24687926  010.45558010 
111  53.24698959  010.45560026 
111  53.24699303  010.45566652 
111  53.24706543  010.45568381 
111  53.24714645  010.45610729 
111  53.24711370  010.45662583 
111  53.24659139  010.45653076 
111  53.24656036  010.45690526 
111  53.24719817  010.45705506 
111  53.24716541  010.45747854 
111  53.24653278  010.45733738 
111  53.24650864  010.45767731 
111  53.24708267  010.45795963 
111  53.24738951  010.45802301 
111  53.24737572  010.45828517 
111  53.24762912  010.45849835 
111  53.24769980  010.45884981 
111  53.24779633  010.45880948 
111  53.24789286  010.45929634 
111  53.24920985  010.46590800 
113  53.24949350  010.46578122 
110   3 0.00   0.00 Glider Apron
111  53.24717322  010.45155260 
111  53.24975227  010.46564900 
111  53.25007487  010.46549053 
113  53.24761575  010.45130727 
130 Airport Boundary
111  53.24759892  010.44935673 
111  53.24642868  010.45150606 
111  53.24627054  010.45522333 
111  53.24669225  010.45665034 
111  53.24750404  010.45790118 
111  53.24938063  010.46759076 
111  53.25023459  010.46704462 
111  53.25022405  010.46316879 
111  53.24810497  010.45277451 
113  53.24812605  010.44949767 
14   53.24695725  010.45574080   29 0 New Tower Viewpoint
15   53.24701343  010.45542827   6.95 Ramp Start
18   53.24923285  010.45820328 1 BCN
19   53.24717324  010.45643458 0 Windsock
20   53.24854274  010.45861297 252.98  0 2 {@Y}_1/2_{@@}_1/2_
20   53.24816730  010.45882211  72.99  0 2 {@Y}_1/2_{@@}_1/2_
54 12217 Lueneburg INFO

99
