A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1       35 1 0 LFAT Le Touquet Paris Plage
100   39.93   1   0 0.00 1 2 1 14   50.52398700  001.61246900    0.00    0.00 2 12 0 1 32   50.51256500  001.63136700  149.96    0.00 2  0 0 1
100   36.58   1   0 0.00 0 0 0 25   50.51474700  001.62720000  228.60    0.00 2  0 0 0 07   50.51212900  001.61987800    0.00    0.00 0  0 0 0
102 H1   50.51584300  001.61940200 270.31   13.11   13.11   1 0   0 0.00 1
21   50.51494800  001.62645800  2 313.50   3.00 32  PAPI-4L
110   1 0.00 133.50 Taxiway
111  50.52047200  001.61654500 
111  50.52035900  001.61672800 
111  50.52075000  001.61732400 
113  50.52086300  001.61714100 
110   1 0.00 133.50 Closed taxiway
112  50.51216500  001.63073500  50.51223400  001.63083000 
111  50.51264100  001.63139600 
111  50.51273200  001.63123400 
112  50.51226300  001.63058400  50.51219400  001.63048900 
112  50.51213900  001.63040300  50.51212500  001.63037700 102 
112  50.51225300  001.63018200  50.51234300  001.63006100 
111  50.51225300  001.63018200 
111  50.51216000  001.62993500 
112  50.51216000  001.62993500  50.51207100  001.63005800 102 
112  50.51193200  001.63022200  50.51186900  001.63029100 
111  50.51193200  001.63022200 
111  50.51196500  001.63056500 
112  50.51196500  001.63056500  50.51200000  001.63052700 102 
114  50.51204000  001.63055000  50.51205500  001.63057800 102 
110   2 0.00 133.50 Taxiway
112  50.52216800  001.61230500  50.52211100  001.61230200 102 
112  50.52197200  001.61241100  50.52189800  001.61248600 102 
112  50.52172500  001.61274900  50.52163400  001.61290000 102 
111  50.51988200  001.61582200 102 
111  50.51911000  001.61712900 102 
112  50.51655600  001.62141100  50.51646600  001.62156200 102 
112  50.51630900  001.62163900  50.51623400  001.62164000 102 
112  50.51606900  001.62140300  50.51598400  001.62124600 102 
111  50.51600000  001.62127700 
111  50.51587200  001.62104100 
111  50.51573800  001.62082600 
111  50.51573800  001.62082600 
111  50.51573000  001.62081500 
111  50.51572800  001.62082200 102 
111  50.51553800  001.62074400 
111  50.51551100  001.62074600 
111  50.51548300  001.62074800 
111  50.51534600  001.62075800 
111  50.51532300  001.62076000 
111  50.51529900  001.62076100 
111  50.51518100  001.62077200 
111  50.51518100  001.62077200 
111  50.51504400  001.62078800 
111  50.51497500  001.62079400 
111  50.51490500  001.62080000 
111  50.51476800  001.62081600 
111  50.51471800  001.62082400 
111  50.51466700  001.62083100 
111  50.51459400  001.62084200 102 
111  50.51466700  001.62081200 
111  50.51452800  001.62058100 
111  50.51444800  001.62047400 
111  50.51436700  001.62036700 
111  50.51425500  001.62033800 
111  50.51429300  001.62055000 
111  50.51439800  001.62068900 
111  50.51452100  001.62085300 
111  50.51421700  001.62089500 
111  50.51392700  001.62094000 
111  50.51375900  001.62090800 
111  50.51302400  001.61887900 
111  50.51285200  001.61903300 
111  50.51351300  001.62086100 
111  50.51353100  001.62093800 102 
112  50.51353800  001.62142000  50.51351100  001.62160300 102 
112  50.51256300  001.62796500  50.51253600  001.62814800 102 
112  50.51264200  001.62845400  50.51272200  001.62859700 102 
111  50.51276100  001.62866800 102 
111  50.51291100  001.62890400 102 
111  50.51286000  001.62897600 102 
112  50.51216000  001.62993500  50.51207100  001.63005800 102 
111  50.51193200  001.63022200 102 
111  50.51183800  001.63032500 
111  50.51171500  001.63047200 
111  50.51162800  001.63058300 
111  50.51154100  001.63069300 
111  50.51156300  001.63106300 
111  50.51171700  001.63086800 
