A
1050 Generated by WorldEditor 2.0.0r4

1   1478 1 0 KDVT Deer Valley
100 30.48 1 0 0.25 0 2 0 7R  33.68683315 -112.09631070  274   47 2 0 0 1 25L  33.68840139 -112.06935768  279   43 2 0 0 1
100 22.86 1 0 0.25 0 2 0 7L  33.68915976 -112.08947134    0    0 2 0 0 1 25R  33.69002024 -112.07467258    0    0 2 0 0 1
102 H9  33.68642731 -112.08296327 356.21 16.60 16.90 2 0 0 0.00 1
102 H10  33.68641215 -112.08324692 356.21 16.60 16.90 2 0 0 0.00 1
102 H11  33.68409446 -112.08532804   0.25 7.40 7.20 2 0 0 0.00 1
102 H12  33.68409380 -112.08501442   0.25 7.40 7.20 2 0 0 0.00 1
102 H8  33.68692943 -112.07316380 359.09 12.00 11.40 2 0 0 0.00 1
102 H7  33.68693739 -112.07338245 359.09 12.00 11.40 2 0 0 0.00 1
102 H6  33.68691086 -112.07361020 359.09 12.00 11.40 2 0 0 0.00 1
102 H5  33.68660289 -112.07391085 359.09 12.00 11.40 2 0 0 0.00 1
102 H4  33.68690397 -112.07394703 357.06 19.40 20.70 2 0 0 0.00 1
110 2 0.00 355.0000 New Taxiway 45
111  33.68402631 -112.08678815
111  33.68405469 -112.08635773
111  33.68415636 -112.08636830
111  33.68413762 -112.08671013
113  33.68413279 -112.08679829
110 2 0.00 0.0000 New Taxiway 43
111  33.68648966 -112.07358298
111  33.68648777 -112.07318550
111  33.68677692 -112.07319005
111  33.68677692 -112.07358298
111  33.68676871 -112.07358298
113  33.68663692 -112.07358298
110 2 0.00 0.0000 New Taxiway 41
111  33.68629198 -112.07300994
111  33.68646267 -112.07301136
111  33.68646290 -112.07318437
111  33.68646375 -112.07380059
111  33.68628988 -112.07379946
111  33.68629014 -112.07370031
111  33.68629061 -112.07352558
111  33.68629067 -112.07350260
113  33.68629074 -112.07347695
110 2 0.00 355.0000 New Taxiway 40
111  33.68413119 -112.07855532
111  33.68415686 -112.07821706
111  33.68443048 -112.07824366
111  33.68441980 -112.07840396
113  33.68440815 -112.07857874
110 2 0.00 355.0000 New Taxiway 38
111  33.68405504 -112.08210407
111  33.68406457 -112.08198142
111  33.68403463 -112.08197488
111  33.68405640 -112.08161022
111  33.68429997 -112.08162984
111  33.68426874 -112.08209744
113  33.68426732 -112.08211879
110 2 0.00 355.0000 New Taxiway 37
111  33.68464156 -112.08212014
111  33.68464723 -112.08200022
111  33.68455860 -112.08199197
111  33.68458482 -112.08155038
111  33.68489030 -112.08157738
113  33.68485750 -112.08213737
110 2 0.00 355.0000 New Taxiway 36
111  33.68514321 -112.08199439
111  33.68516816 -112.08159511
111  33.68546185 -112.08162100
111  33.68543948 -112.08199610
111  33.68543804 -112.08202028
113  33.68516891 -112.08199665
110 2 0.00 355.0000 New Taxiway 34
111  33.68516414 -112.08448135
111  33.68516066 -112.08453302
111  33.68499250 -112.08452007
111  33.68499806 -112.08443991
111  33.68502122 -112.08410621
111  33.68502421 -112.08406318
111  33.68507971 -112.08406717
111  33.68531835 -112.08408433
111  33.68531606 -112.08412446
111  33.68529637 -112.08446958
113  33.68529511 -112.08449174
110 2 0.00 355.0000 New Taxiway 33
111  33.68433693 -112.08458798
111  33.68437877 -112.08387058
111  33.68468804 -112.08389922
111  33.68468343 -112.08397069
113  33.68464871 -112.08461499
110 2 0.00 355.0000 New Taxiway 30
111  33.68538754 -112.09292408
111  33.68539723 -112.09287751
111  33.68547555 -112.09290249
111  33.68546481 -112.09295038
113  33.68542428 -112.09293658
110 2 0.00 355.0000 New Taxiway 17
111  33.68459749 -112.08978540
111  33.68468572 -112.08835495
111  33.68482750 -112.08836243
113  33.68473466 -112.08979791
110 2 0.00 355.0000 New Taxiway 17
111  33.68495056 -112.08981760
111  33.68503769 -112.08838712
111  33.68517948 -112.08839460
113  33.68508674 -112.08983002
110 2 0.00 355.0000 New Taxiway 17
111  33.68458995 -112.07614859
111  33.68451113 -112.07752208
111  33.68440160 -112.07751623
113  33.68448535 -112.07614011
110 2 0.00 355.0000 New Taxiway 17
111  33.68608597 -112.07825087
111  33.68600091 -112.07968641
111  33.68589612 -112.07967829
113  33.68597623 -112.07824086
110 2 0.00 355.0000 New Taxiway 17
111  33.68639795 -112.07827681
111  33.68631290 -112.07971235
111  33.68620810 -112.07970423
113  33.68628822 -112.07826680
110 2 0.00 355.0000 New Taxiway 17
111  33.68661278 -112.07467179
111  33.68652773 -112.07610923
111  33.68642293 -112.07609921
113  33.68650305 -112.07466178
110 2 0.00 355.0000 New Taxiway 17
111  33.68629020 -112.07464067
111  33.68620515 -112.07607621
111  33.68610035 -112.07606808
113  33.68618047 -112.07463066
110 2 0.00 355.0000 New Taxiway 17
111  33.68468683 -112.07450681
111  33.68460218 -112.07595194
111  33.68449441 -112.07594208
113  33.68457710 -112.07449680
110 2 0.00 355.0000 New Taxiway 17
111  33.68565781 -112.08648099
111  33.68557276 -112.08791652
111  33.68546796 -112.08790840
113  33.68554807 -112.08647098
110 2 0.00 355.0000 New Taxiway 17
111  33.68601051 -112.08651395
111  33.68592546 -112.08794949
111  33.68582066 -112.08794137
113  33.68590077 -112.08650395
110 2 0.00 355.0000 New Taxiway 17
111  33.68534170 -112.08985327
111  33.68542675 -112.08841774
111  33.68553155 -112.08842587
113  33.68545143 -112.08986328
110 2 0.00 355.0000 New Taxiway 17
111  33.68570256 -112.08988467
111  33.68578761 -112.08844914
111  33.68589241 -112.08845726
113  33.68581230 -112.08989468
110 2 0.00 355.0000 New Taxiway 19
111  33.68471340 -112.07759193
111  33.68471835 -112.07750629
111  33.68473288 -112.07725511
111  33.68474729 -112.07700576
111  33.68476193 -112.07675256
111  33.68477623 -112.07650513
111  33.68479065 -112.07625579
111  33.68479606 -112.07616219
111  33.68492800 -112.07617310
111  33.68491529 -112.07638891
111  33.68490059 -112.07663834
111  33.68488577 -112.07688979
111  33.68487097 -112.07714095
111  33.68485640 -112.07738808
113  33.68484382 -112.07760160
110 2 0.00 355.0000 New Taxiway 19
111  33.68459626 -112.07955892
111  33.68460121 -112.07947328
111  33.68461573 -112.07922210
111  33.68463014 -112.07897275
111  33.68464478 -112.07871955
