I
1050 Generated by WorldEditor 2.3.0r2

1   3370 0 0 CFY4 Winters Aire Park
100 22.86 3 0 0.00 0 0 0 9  50.90639538 -113.80205229    0    0 0 0 0 0 27  50.90350004 -113.79084661    0    0 0 0 0 0
100 36.58 3 0 0.00 0 0 0 16  50.90695341 -113.79632071    0    0 0 0 0 0 34  50.89994733 -113.79637975    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 21
111  50.90692909 -113.79389529
111  50.90692899 -113.79406763
111  50.90682748 -113.79406763
113  50.90682758 -113.79389529
110 2 0.00 0.0000 New Taxiway 21
111  50.90693734 -113.79310566
111  50.90693723 -113.79329447
111  50.90682209 -113.79329447
113  50.90682220 -113.79310566
110 2 0.00 0.0000 New Taxiway 21
111  50.90693572 -113.79331657
111  50.90693561 -113.79350538
111  50.90682047 -113.79350538
113  50.90682058 -113.79331657
110 2 0.00 0.0000 New Taxiway 21
111  50.90693795 -113.79356447
111  50.90693784 -113.79375328
111  50.90682270 -113.79375328
113  50.90682281 -113.79356447
110 2 0.00 0.0000 New Taxiway 21
111  50.90681434 -113.79410480
111  50.90696517 -113.79410480
111  50.90696505 -113.79431862
113  50.90681421 -113.79431862
110 5 0.00 0.0000 New Taxiway 18
111  50.90678643 -113.79250869
112  50.90678643 -113.79250869  50.90677901 -113.79275232
112  50.90660101 -113.79335217  50.90651563 -113.79360959
111  50.90660101 -113.79335217
111  50.90649823 -113.79360084
112  50.90649823 -113.79360084  50.90644967 -113.79365685
112  50.90634589 -113.79333719  50.90637385 -113.79311666
111  50.90634589 -113.79333719
111  50.90651942 -113.79334209
112  50.90658405 -113.79329000  50.90660122 -113.79325013
111  50.90658405 -113.79329000
111  50.90663597 -113.79313878
111  50.90669984 -113.79290677
111  50.90665922 -113.79282276
112  50.90656513 -113.79286387  50.90651701 -113.79286995
111  50.90656513 -113.79286387
111  50.90571991 -113.79286532
112  50.90571991 -113.79286532  50.90569650 -113.79286589
112  50.90554369 -113.79289201  50.90547593 -113.79291551
111  50.90554369 -113.79289201
111  50.90541095 -113.79296944
112  50.90541095 -113.79296944  50.90532695 -113.79301027
111  50.90518514 -113.79301783
111  50.90477624 -113.79294282
112  50.90477624 -113.79294282  50.90469589 -113.79291482
112  50.90455196 -113.79264765  50.90449324 -113.79242859
111  50.90455196 -113.79264765
111  50.90442788 -113.79157681
112  50.90447060 -113.79111712  50.90451828 -113.79086677
111  50.90447060 -113.79111712
111  50.90453883 -113.79079348
111  50.90458137 -113.79079264
111  50.90448545 -113.79123049
112  50.90448545 -113.79123049  50.90446828 -113.79132189
112  50.90447168 -113.79164550  50.90448333 -113.79178745
111  50.90447168 -113.79164550
111  50.90454907 -113.79229747
111  50.90456435 -113.79242621
112  50.90456435 -113.79242621  50.90456914 -113.79245524
111  50.90458902 -113.79245533
111  50.90469302 -113.79244404
112  50.90469302 -113.79244404  50.90471997 -113.79244201
111  50.90473177 -113.79246025
111  50.90474537 -113.79260723
112  50.90474537 -113.79260723  50.90474637 -113.79263482
111  50.90473066 -113.79263990
111  50.90460852 -113.79263523
112  50.90459674 -113.79266790  50.90459914 -113.79269512
111  50.90459674 -113.79266790
112  50.90459674 -113.79266790  50.90462489 -113.79281277
111  50.90475218 -113.79287512
111  50.90516922 -113.79295875
112  50.90516922 -113.79295875  50.90522828 -113.79296780
112  50.90536490 -113.79292174  50.90543383 -113.79289475
111  50.90536490 -113.79292174
112  50.90536490 -113.79292174  50.90547338 -113.79287927
112  50.90567089 -113.79281412  50.90575683 -113.79281107
111  50.90567089 -113.79281412
111  50.90652166 -113.79281841
112  50.90674017 -113.79260108  50.90675562 -113.79242839
111  50.90674017 -113.79260108
111  50.90674273 -113.79212475
113  50.90679203 -113.79212471
