I
1050 Generated by WorldEditor 2.2.0r2

1   5558 1 0 FAOR O. R. Tambo Intl
1302 city Jonhannesburg
1302 country South Africa
1302 iata_code JNB
1302 icao_code FAOR
100 60.00 1 0 0.00 1 3 1 03L -26.14639807  028.23434112    0   93 3 2 1 1 21R -26.10805253  028.24620888  435   69 3 2 1 1
100 60.00 1 0 0.00 1 3 1 03R -26.16474110  028.24811798    0   60 3 2 1 1 21L -26.13515456  028.25727866    0   58 3 2 1 1
110 2 0.00 0.0000 New Taxiway 501
111 -26.11736653  028.24612975
111 -26.11737151  028.24621167
111 -26.11737606  028.24628658
111 -26.11734333  028.24626534
111 -26.11718986  028.24627688
112 -26.11718986  028.24627688 -26.11716608  028.24628651
111 -26.11715190  028.24631348
111 -26.11720245  028.24715503
111 -26.11694827  028.24716643
111 -26.11702219  028.24704548
111 -26.11700498  028.24673148
111 -26.11661366  028.24676353
111 -26.11659324  028.24650209
111 -26.11658285  028.24650338
111 -26.11656514  028.24627596
111 -26.11687778  028.24625167
111 -26.11697329  028.24619617
113 -26.11733727  028.24616454
110 2 0.00 0.0000 New Taxiway 501
111 -26.11825090  028.24679636
111 -26.11826846  028.24706925
111 -26.11751537  028.24716878
113 -26.11749990  028.24685316
110 2 0.00 0.0000 New Taxiway 458
111 -26.14041790  028.22824417
111 -26.14068829  028.22876143
111 -26.13982474  028.22932713
111 -26.13955491  028.22880845
111 -26.13996201  028.22854226
113 -26.14021039  028.22837986
110 1 0.00 0.0000 New Taxiway 5
111 -26.14782624  028.22856390
111 -26.14791355  028.22853513
111 -26.14827130  028.22988990
113 -26.14817592  028.22992028
110 1 0.00 0.0000 New Taxiway 1
111 -26.14498429  028.26033381
111 -26.14496041  028.26029765
111 -26.14490262  028.26034175
111 -26.14487857  028.26030389
111 -26.14485274  028.26032438
111 -26.14482798  028.26028691
111 -26.14480048  028.26030889
111 -26.14472693  028.26019786
111 -26.14470141  028.26021805
111 -26.14443612  028.25981237
111 -26.14446628  028.25978946
111 -26.14441908  028.25971503
111 -26.14445067  028.25969003
111 -26.14442297  028.25964586
111 -26.14448178  028.25959965
111 -26.14442359  028.25951026
111 -26.14459470  028.25937475
111 -26.14456551  028.25933106
111 -26.14465879  028.25925764
111 -26.14511851  028.25889581
111 -26.14519974  028.25883187
111 -26.14522677  028.25887560
111 -26.14534870  028.25877931
111 -26.14588496  028.25961926
111 -26.14571888  028.25975118
112 -26.14571888  028.25975118 -26.14568646  028.25972950
111 -26.14566484  028.25974444
111 -26.14511036  028.26017070
112 -26.14511036  028.26017070 -26.14508234  028.26020017
113 -26.14509432  028.26024954
110 2 0.00 0.0000 New Taxiway 16
111 -26.14600650  028.25868336
111 -26.14596745  028.25862031
111 -26.14650178  028.25819769
111 -26.14721937  028.25931243
111 -26.14668364  028.25973711
111 -26.14664485  028.25967759
111 -26.14641962  028.25985346
111 -26.14648126  028.25995394
111 -26.14686327  028.25964977
111 -26.14765163  028.26085486
111 -26.14740828  028.26105086
111 -26.14753143  028.26123741
111 -26.14756448  028.26121097
112 -26.14756448  028.26121097 -26.14760543  028.26124466
111 -26.14767452  028.26123934
111 -26.14786801  028.26114287
112 -26.14786801  028.26114287 -26.14796985  028.26109809
111 -26.14808792  028.26111443
111 -26.14846963  028.26121996
111 -26.14853538  028.26116564
111 -26.14882815  028.26158371
111 -26.14873382  028.26166058
111 -26.14876739  028.26172585
112 -26.14876739  028.26172585 -26.14882528  028.26211400
111 -26.14870222  028.26230642
111 -26.14859627  028.26244663
112 -26.14859627  028.26244663 -26.14856099  028.26250668
111 -26.14854692  028.26257756
111 -26.14897928  028.26319585
111 -26.14885539  028.26329488
111 -26.14881865  028.26322445
111 -26.14762528  028.26150533
111 -26.14761476  028.26151371
111 -26.14759192  028.26148037
112 -26.14759192  028.26148037 -26.14753408  028.26146166
111 -26.14752256  028.26153089
111 -26.14754124  028.26155506
111 -26.14752649  028.26156522
112 -26.14752649  028.26156522 -26.14747963  028.26151519
111 -26.14737573  028.26154071
111 -26.14740807  028.26151114
112 -26.14740807  028.26151114 -26.14740773  028.26150072
111 -26.14737791  028.26150184
111 -26.14723999  028.26152138
111 -26.14715412  028.26158849
111 -26.14711052  028.26151921
111 -26.14598399  028.26241288
111 -26.14536048  028.26144546
111 -26.14522348  028.26155400
111 -26.14474791  028.26080487
112 -26.14474791  028.26080487 -26.14458445  028.26060796
111 -26.14436733  028.26069721
111 -26.14357032  028.26132300
111 -26.14359520  028.26136129
111 -26.14373684  028.26157923
111 -26.14281973  028.26229574
111 -26.14226076  028.26140425
111 -26.14258637  028.26114834
111 -26.14250064  028.26099370
112 -26.14250064  028.26099370 -26.14240040  028.26071906
111 -26.14259215  028.26052434
111 -26.14269795  028.26043796
111 -26.14273789  028.26040555
112 -26.14281056  028.26030970 -26.14283144  028.26026388
111 -26.14281056  028.26030970
112 -26.14281056  028.26030970 -26.14286852  028.26015188
111 -26.14280666  028.26002542
111 -26.14273279  028.25991366
112 -26.14273279  028.25991366 -26.14269560  028.25987513
111 -26.14265702  028.25985062
111 -26.14257579  028.25982010
112 -26.14257579  028.25982010 -26.14242929  028.25972335
112 -26.14254439  028.25942880 -26.14266724  028.25932017
111 -26.14254439  028.25942880
112 -26.14254439  028.25942880 -26.14267854  028.25932593
112 -26.14287394  028.25958249 -26.14289437  028.25974898
111 -26.14287394  028.25958249
111 -26.14287939  028.25970997
112 -26.14287939  028.25970997 -26.14298050  028.25998702
112 -26.14320909  028.25999145 -26.14330156  028.25998869
111 -26.14320909  028.25999145
112 -26.14320909  028.25999145 -26.14324679  028.25998712
111 -26.14330808  028.25995821
111 -26.14334784  028.25992656
111 -26.14346306  028.25983480
111 -26.14361033  028.25971753
