I
1050 Generated by WorldEditor 2.1.0r1

1    666 1 0 UUBP Bryansk Intl
1302 city Bryansk
1302 country Russia
1302 datum_lat 53.21444
1302 datum_lon 34.17583
1302 iata_code BZK
1302 icao_code UUBP
1302 local_code BRYa
1302 state Bryansk Oblast
1302 transition_alt 1640
1302 transition_level 4000
100 42.00 2 0 0.00 0 3 0 16  53.22509153  034.17325293    0    0 3 7 0 1 34  53.20380961  034.17864684    0    0 3 7 0 1
110 1 0.00 0.0000 New Taxiway 18
111  53.20379751  034.17882845
111  53.20382515  034.17881823
111  53.20381474  034.17870256
111  53.20378756  034.17870909
111  53.20377773  034.17859613
111  53.20374588  034.17860524
111  53.20372240  034.17836475
111  53.20332338  034.17859079
111  53.20337109  034.17910908
111  53.20338910  034.17914013
111  53.20341061  034.17948766
111  53.20389128  034.18475496
111  53.20391062  034.18478455
111  53.20399172  034.18476631
111  53.20402232  034.18471282
111  53.20406666  034.18469408
111  53.20386215  034.18254859
112  53.20386215  034.18254859  53.20386112  034.18240157
111  53.20393949  034.18232801
111  53.20435453  034.18228139
111  53.20460263  034.18496146
111  53.20493003  034.18503248
111  53.20514519  034.18490526
111  53.20524728  034.18494245
111  53.20543661  034.18485258
111  53.20568904  034.18459847
111  53.20545427  034.18203189
112  53.20545427  034.18203189  53.20545551  034.18199245
111  53.20549902  034.18197211
111  53.20833276  034.18127371
111  53.20834936  034.18125283
112  53.20834936  034.18125283  53.20840375  034.18123409
111  53.20845840  034.18126942
111  53.20846524  034.18141038
111  53.20849317  034.18140260
112  53.20849317  034.18140260  53.20849791  034.18125628
111  53.20857574  034.18120274
111  53.20872325  034.18116661
112  53.20872325  034.18116661  53.20875641  034.18116921
111  53.20877261  034.18127961
111  53.20881211  034.18126975
112  53.20881211  034.18126975  53.20881988  034.18119710
111  53.20885128  034.18114890
111  53.20893629  034.18110225
111  53.21024980  034.18080839
112  53.21024980  034.18080839  53.21031507  034.18080753
111  53.21034293  034.18095459
111  53.21036815  034.18094275
112  53.21036815  034.18094275  53.21035641  034.18089812
111  53.21037361  034.18087192
111  53.21041773  034.18083640
111  53.21043182  034.18083055
111  53.21041375  034.18064966
111  53.20828823  034.18118703
111  53.20826171  034.18121445
111  53.20701172  034.18151195
112  53.20701172  034.18151195  53.20697546  034.18151051
111  53.20693309  034.18134837
111  53.20691111  034.18135499
112  53.20691111  034.18135499  53.20691284  034.18152149
111  53.20686009  034.18155377
111  53.20403193  034.18225107
112  53.20403193  034.18225107  53.20393203  034.18224749
111  53.20383783  034.18214880
111  53.20354235  034.17909825
112  53.20354235  034.17909825  53.20354173  034.17897475
111  53.20361334  034.17894801
113  53.20380989  034.17896021
110 2 0.00 171.3700 New Taxiway 17
111  53.20378121  034.17833557
111  53.20372240  034.17836475
111  53.20374588  034.17860524
111  53.20377773  034.17859613
111  53.20378756  034.17870909
111  53.20381474  034.17870256
111  53.20382515  034.17881823
111  53.20379751  034.17882845
111  53.20380989  034.17896021 102
111  53.20385689  034.17945779 102
111  53.20435305  034.17932811 102
