I
1050 Generated by WorldEditor 2.1.0r1

1     41 1 0 MNBL Bluefields
100 29.87 1 0 0.25 0 0 0 05  11.98587752 -083.78195784    0    0 1 0 0 0 23  11.99578023 -083.76637925  196    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  11.99480083 -083.76762314
111  11.99473623 -083.76748805
111  11.99477758 -083.76748050
111  11.99481763 -083.76751080
111  11.99487406 -083.76742575
111  11.99489610 -083.76744089
111  11.99485237 -083.76750707
113  11.99486747 -083.76751768
110 2 0.00 0.0000 New Taxiway 1
111  11.99523541 -083.76762573
111  11.99521036 -083.76760869
111  11.99549290 -083.76715802
111  11.99546360 -083.76713855
111  11.99549311 -083.76709224
111  11.99552752 -083.76711460
111  11.99555657 -083.76706810
111  11.99552400 -083.76704670
111  11.99555708 -083.76699427
111  11.99558858 -083.76701501
111  11.99567279 -083.76688260
111  11.99569725 -083.76689894
111  11.99581497 -083.76671229
111  11.99590539 -083.76677209
111  11.99584163 -083.76687227
111  11.99586917 -083.76689420
111  11.99591352 -083.76689597
111  11.99593440 -083.76691554
111  11.99591700 -083.76695466
111  11.99592396 -083.76698844
111  11.99568735 -083.76735495
111  11.99559955 -083.76729697
111  11.99557432 -083.76733646
111  11.99552795 -083.76730556
111  11.99549649 -083.76735299
111  11.99562340 -083.76744263
111  11.99556282 -083.76753383
111  11.99550411 -083.76749357
111  11.99553294 -083.76745046
113  11.99540300 -083.76736188
110 1 0.00 0.0000 New Taxiway 3
111  11.99507104 -083.76782538
111  11.99502745 -083.76779766
111  11.99588780 -083.76645188
111  11.99594101 -083.76648709
111  11.99582402 -083.76667145
111  11.99605973 -083.76682999
112  11.99605973 -083.76682999  11.99608336 -083.76685415
111  11.99606813 -083.76689169
111  11.99543302 -083.76782786
112  11.99543302 -083.76782786  11.99541500 -083.76784481
111  11.99539584 -083.76784212
113  11.99515370 -083.76769639
110 1 0.00 0.0000 New Taxiway 2
111  11.99462502 -083.76726703
111  11.99489500 -083.76686062
111  11.99523883 -083.76680611
111  11.99532798 -083.76686356
111  11.99482336 -083.76765406
111  11.99481267 -083.76764712
111  11.99480083 -083.76762314
111  11.99486747 -083.76751768
111  11.99485237 -083.76750707
111  11.99489610 -083.76744089
111  11.99487406 -083.76742575
111  11.99481763 -083.76751080
111  11.99477758 -083.76748050
113  11.99473623 -083.76748805
130 Airport Boundary
111  11.99568512 -083.76974107
111  11.99273481 -083.77242379
111  11.98630131 -083.78247753
111  11.98565172 -083.78210063
111  11.98541861 -083.78160766
111  11.99411203 -083.76772754
111  11.99395476 -083.76754432
111  11.99503584 -083.76576805
111  11.99550036 -083.76586527
111  11.99602705 -083.76625414
111  11.99640743 -083.76671033
113  11.99652082 -083.76794426
120 Linear Feature 8
111  11.99515627 -083.76705125 1
111  11.99519455 -083.76710952
112  11.99519455 -083.76710952  11.99523236 -083.76720373 1
115  11.99521285 -083.76729276
120 Linear Feature 7
111  11.99483428 -083.76749245 1
111  11.99489099 -083.76765309
112  11.99489099 -083.76765309  11.99489972 -083.76771371 1
115  11.99488341 -083.76780851
120 Linear Feature 6
111  11.99577688 -083.76727214 1
111  11.99556122 -083.76713009 1
111  11.99550313 -083.76709183
112  11.99550313 -083.76709183  11.99539892 -083.76705125 1
115  11.99531578 -083.76713369
120 Linear Feature 6
111  11.99563413 -083.76749012 1
111  11.99541680 -083.76734707 1
111  11.99535716 -083.76730785
112  11.99535716 -083.76730785  11.99525650 -083.76726074 1
115  11.99518822 -083.76733083
120 Linear Feature 6
111  11.99590248 -083.76708034 1
111  11.99568456 -083.76693696 1
115  11.99562222 -083.76689594
120 Linear Feature 6
111  11.99552765 -083.76765273 1
111  11.99530992 -083.76750951 1
115  11.99524952 -083.76746978
120 Linear Feature 5
111  11.99589096 -083.76674134 1
115  11.99576387 -083.76665733
120 Linear Feature 4
111  11.99488341 -083.76780851 1
111  11.99498132 -083.76765061 1
111  11.99518822 -083.76733083 1
111  11.99521285 -083.76729276 1
111  11.99531578 -083.76713369 1
111  11.99552132 -083.76681602
112  11.99552132 -083.76681602  11.99567018 -083.76667253 1
111  11.99589096 -083.76674134 1
111  11.99605329 -083.76685004 1
111  11.99590248 -083.76708034 1
111  11.99577688 -083.76727214 1
111  11.99563413 -083.76749012 1
111  11.99552765 -083.76765273 1
111  11.99542149 -083.76781484 1
111  11.99513260 -083.76762620
112  11.99513260 -083.76762620  11.99505817 -083.76759178 1
115  11.99498132 -083.76765061
14  11.99640753 -083.76761107  20.00 0 Tower
1300  11.99530992 -083.76750951 147.23 tie_down jets|turboprops|props Tie-Down 1
1301 B general_aviation 
1300  11.99541680 -083.76734707 147.23 tie_down jets|turboprops|props Tie-Down 2
1301 B general_aviation 
1300  11.99556122 -083.76713009 147.23 tie_down jets|turboprops|props Tie-Down 3
1301 B general_aviation 
1300  11.99568456 -083.76693696 147.23 tie_down jets|turboprops|props Tie-Down 4
1301 B general_aviation 
1300  11.99482259 -083.76745943 -70.59 tie_down jets|turboprops|props Tie-Down 5
1301 B general_aviation 
1300  11.99497058 -083.76723448 -70.59 tie_down jets|turboprops|props Tie-Down 6
1301 B general_aviation 
1300  11.99514270 -083.76703017 -56.26 tie_down jets|turboprops|props Tie-Down 7
1301 B general_aviation 
19  11.98773683 -083.77831684 0 WS-UNLIT-1
19  11.99432618 -083.76761858 0 WS-UNLIT-2
54 11850 Bluefields Tower
99
