I
1000 Generated by WorldEditor

1    291 1 0 KTIW TACOMA NARROWS
100 45.72 1 0 0.00 0 2 0 17  47.27473600 -122.57688300    0    0 3 8 0 0 35  47.26112500 -122.57934200    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 47
111  47.26373877 -122.57491327
111  47.26306416 -122.57503693
111  47.26302961 -122.57472659
113  47.26371414 -122.57461152
110 1 0.00 0.0000 New Taxiway 46
111  47.26380045 -122.57558612
111  47.26311675 -122.57571052
111  47.26308692 -122.57534217
113  47.26376807 -122.57520919
110 1 0.00 0.0000 New Taxiway 40
111  47.26747037 -122.57514823
111  47.26679246 -122.57525250
111  47.26674639 -122.57474330
113  47.26743746 -122.57463177
110 1 0.00 0.0000 New Taxiway 39
111  47.26778628 -122.57511914
111  47.26757732 -122.57517491
111  47.26753618 -122.57481119
113  47.26774021 -122.57476028
110 1 0.00 0.0000 New Taxiway 38
111  47.26792614 -122.57442565
111  47.26751315 -122.57450325
111  47.26747682 -122.57414662
113  47.26789898 -122.57408031
110 1 0.00 0.0000 New Taxiway 37
111  47.26812018 -122.57470532
111  47.26794307 -122.57473318
111  47.26793077 -122.57451173
113  47.26810765 -122.57448625
110 1 0.00 0.0000 New Taxiway 36
111  47.26829896 -122.57500394
111  47.26808081 -122.57504397
111  47.26805119 -122.57477482
113  47.26827570 -122.57474164
110 1 0.00 0.0000 New Taxiway 35
111  47.26851578 -122.57489280
111  47.26844587 -122.57490572
111  47.26842316 -122.57469397
113  47.26848724 -122.57468302
110 1 0.00 0.0000 New Taxiway 34
111  47.26892453 -122.57491305
111  47.26878167 -122.57493214
111  47.26876402 -122.57472135
113  47.26890760 -122.57470783
110 1 0.00 0.0000 New Taxiway 33
111  47.26923246 -122.57481185
111  47.26921626 -122.57481395
111  47.26922055 -122.57487550
111  47.26902704 -122.57489822
111  47.26900369 -122.57465802
111  47.26921245 -122.57462150
111  47.26921435 -122.57465240
113  47.26922198 -122.57464959
110 1 0.00 0.0000 New Taxiway 32
111  47.26939878 -122.57477332
111  47.26939880 -122.57479165
111  47.26935078 -122.57479281
111  47.26934917 -122.57477946
111  47.26934169 -122.57478062
111  47.26934028 -122.57476628
111  47.26932436 -122.57476727
111  47.26932380 -122.57475086
111  47.26931254 -122.57475159
111  47.26931057 -122.57476611
111  47.26931608 -122.57478120
111  47.26930230 -122.57482822
111  47.26926724 -122.57482648
111  47.26924637 -122.57478294
111  47.26926409 -122.57470283
111  47.26929442 -122.57470225
111  47.26929324 -122.57466452
111  47.26939244 -122.57465349
111  47.26939408 -122.57471560
111  47.26941526 -122.57471512
113  47.26941737 -122.57477291
110 1 0.00 0.0000 New Taxiway 21
111  47.27349132 -122.57330769
111  47.27316146 -122.57336314
111  47.27313545 -122.57310990
113  47.27346321 -122.57305541
110 1 0.00 0.0000 New Taxiway 26
111  47.26520504 -122.57591337
111  47.26502620 -122.57595574
111  47.26492207 -122.57446802
113  47.26508550 -122.57445020
110 1 0.00 0.0000 New Taxiway 25
111  47.26554204 -122.57584961
111  47.26537582 -122.57587023
111  47.26526868 -122.57454976
113  47.26543225 -122.57455225
110 1 0.00 0.0000 New Taxiway 24
111  47.26585070 -122.57580633
111  47.26570029 -122.57582350
111  47.26561702 -122.57457675
113  47.26575152 -122.57456882
110 1 0.00 0.0000 New Taxiway 23
111  47.26634244 -122.57574506
111  47.26603696 -122.57579115
111  47.26595158 -122.57452208
113  47.26625675 -122.57447425
110 1 0.00 0.0000 New Taxiway 22
111  47.26676266 -122.57567968
111  47.26651543 -122.57572402
111  47.26641878 -122.57443733
113  47.26666241 -122.57441639
110 1 0.00 0.0000 New Taxiway 21
111  47.27019972 -122.57400146
111  47.27023399 -122.57454225
111  47.26984486 -122.57459871
113  47.26980200 -122.57405134
110 1 0.00 0.0000 New Taxiway 20
111  47.27095344 -122.57383830
111  47.27028440 -122.57394501
111  47.27026222 -122.57375781
113  47.27093792 -122.57366518
110 1 0.00 0.0000 New Taxiway 19
111  47.27123872 -122.57394356
111  47.27108484 -122.57399849
111  47.27105736 -122.57371758
113  47.27121801 -122.57367816
110 1 0.00 0.0000 New Taxiway 18
111  47.27277291 -122.57354534
111  47.27157175 -122.57377439
111  47.27154263 -122.57358907
113  47.27275976 -122.57338676
110 1 0.00 0.0000 New Taxiway 17
111  47.27282319 -122.57388693
111  47.27181657 -122.57403050
111  47.27179456 -122.57386504
113  47.27280547 -122.57372161
110 1 0.00 0.0000 New Taxiway 16
111  47.27285566 -122.57418277
111  47.27190808 -122.57433503
111  47.27188151 -122.57416101
113  47.27284090 -122.57403485
110 1 0.00 0.0000 New Taxiway 15
111  47.27397843 -122.57357352
111  47.27340072 -122.57365393
111  47.27338989 -122.57350598
113  47.27396823 -122.57342215
110 1 0.00 0.0000 New Taxiway 14
111  47.27410120 -122.57396547
111  47.27342046 -122.57407325
111  47.27341175 -122.57388274
113  47.27408719 -122.57375496
110 2 0.00 0.0000 New Taxiway 18
111  47.27425451 -122.57451788
111  47.27428180 -122.57486827
112  47.27189363 -122.57529023  47.27167793 -122.57533319
111  47.27171697 -122.57553363
111  47.27147987 -122.57556831
112  47.27128295 -122.57539954  47.27107307 -122.57542961
112  47.26909817 -122.57579737  47.26895308 -122.57583044
111  47.26898241 -122.57601659
111  47.26876439 -122.57605800
112  47.26860423 -122.57588821  47.26845969 -122.57590757
112  47.26740705 -122.57610934  47.26728440 -122.57612698
111  47.26728139 -122.57606417
111  47.26721498 -122.57593168
112  47.26710771 -122.57588049  47.26700001 -122.57589152
112  47.26478799 -122.57629395  47.26458599 -122.57633647
111  47.26463841 -122.57653623
111  47.26466316 -122.57688133
111  47.26452856 -122.57689328
111  47.26449995 -122.57655626
112  47.26436892 -122.57637228  47.26425669 -122.57638173
111  47.26387473 -122.57646316
111  47.26376807 -122.57520919
111  47.26308692 -122.57534217
111  47.26312153 -122.57577388
111  47.26306590 -122.57578481
111  47.26299173 -122.57569738
111  47.26292430 -122.57474598
111  47.26302961 -122.57472659
111  47.26306416 -122.57503693
111  47.26373877 -122.57491327
111  47.26369599 -122.57439199
111  47.26456771 -122.57423579
111  47.26596154 -122.57435294
111  47.26680398 -122.57423654
111  47.26682537 -122.57454690
111  47.26688790 -122.57462935
111  47.26722191 -122.57456873
111  47.26725317 -122.57450568
111  47.26725317 -122.57429231
111  47.26739961 -122.57425836
111  47.26743746 -122.57463177
111  47.26674639 -122.57474330
111  47.26679246 -122.57525250
111  47.26747037 -122.57514823
111  47.26750492 -122.57537859
111  47.26758225 -122.57537131
111  47.26757732 -122.57517491
111  47.26778628 -122.57511914
111  47.26774021 -122.57476028
111  47.26753618 -122.57481119
111  47.26751315 -122.57450325
111  47.26792614 -122.57442565
111  47.26794588 -122.57477967
111  47.26805119 -122.57477482
111  47.26808081 -122.57504397
111  47.26854390 -122.57496225
111  47.26853740 -122.57489244
111  47.26851418 -122.57489107
111  47.26848724 -122.57468302
111  47.26842316 -122.57469397
111  47.26836464 -122.57406846
111  47.26863956 -122.57400687
111  47.26876402 -122.57472135
111  47.26878167 -122.57493214
111  47.26944490 -122.57484557
111  47.26943698 -122.57471168
