I
1050 Generated by WorldEditor

1    203 0 0 CYQY Sydney/J.A. Douglas McCurdy
100 60.96 1 0 0.00 0 3 0 07  46.15443289 -060.05730704    0    0 3 5 0 0 25  46.16791116 -060.03731453    0    0 3 11 0 0
100 46.02 1 0 0.00 0 3 0 01  46.15409122 -060.03268697    0    0 3 11 0 0 19  46.16997964 -060.03865089    0    0 3 5 0 0
110 1 0.00 0.0000 Terminal
111  46.16788530 -060.04352741
111  46.16790941 -060.04349412
111  46.16792618 -060.04351833
111  46.16795553 -060.04347142
111  46.16794190 -060.04344569
111  46.16797859 -060.04337759
111  46.16818773 -060.04367864
111  46.16774061 -060.04437613
111  46.16777207 -060.04442479
111  46.16772938 -060.04448643
111  46.16765074 -060.04437938
111  46.16763837 -060.04439723
111  46.16761690 -060.04437186
111  46.16759607 -060.04438877
111  46.16746981 -060.04420647
113  46.16789940 -060.04355860
110 2 0.00 0.0000 New Taxiway 8
111  46.16645438 -060.04649411
111  46.16665400 -060.04636634
111  46.16676673 -060.04673384
113  46.16656297 -060.04686508
110 2 0.00 0.0000 New Taxiway 6
111  46.16713791 -060.04796760
111  46.16693879 -060.04810011
111  46.16683093 -060.04774430
113  46.16703163 -060.04760631
110 1 0.00 0.0000 New Taxiway 8
111  46.16730405 -060.04243984
111  46.16745110 -060.04207529
112  46.16743505 -060.04078970  46.16742641 -060.04011247
111  46.16743505 -060.04078970
112  46.16743505 -060.04078970  46.16742423 -060.03994250
112  46.16740878 -060.03898384  46.16740609 -060.03897996
111  46.16740878 -060.03898384
112  46.16740878 -060.03898384  46.16735317 -060.03889657
111  46.16716823 -060.03896366
111  46.16761141 -060.03831046
111  46.16764394 -060.04078715
113  46.16765866 -060.04190243
110 1 0.00 0.0000 New Taxiway 12
111  46.16866615 -060.04283485
111  46.16852942 -060.04263254
111  46.16906116 -060.04185013
113  46.16919620 -060.04203537
110 1 0.00 0.0000 New Taxiway 11
111  46.16833867 -060.04347589
111  46.16818168 -060.04326628
111  46.16817155 -060.04327359
111  46.16811585 -060.04321021
111  46.16837074 -060.04282997
113  46.16856824 -060.04312490
110 1 0.00 0.0000 New Taxiway 27
111  46.15769363 -060.05190564
111  46.15769125 -060.05189708 102
112  46.15767125 -060.05162218  46.15776959 -060.05145867 102
111  46.15822951 -060.05078145 102
111  46.15830483 -060.05067940 102
111  46.15853702 -060.05063311
113  46.15854858 -060.05065315
110 1 0.00 0.0000 New Taxiway 25
111  46.15424502 -060.05702280
111  46.15423664 -060.05703098 102
112  46.15423762 -060.05655099  46.15436162 -060.05632002 102
113  46.15478430 -060.05621851
110 2 0.00 0.0000 New Taxiway 7
111  46.16666402 -060.04722903
111  46.16665772 -060.04720981
111  46.16662231 -060.04709653
