A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       19 0 0 WRLM Malinau (Local Gov)
100   24.08   1   0 0.00 0 0 0 04   03.57166998  116.61612158    0.00   28.04 2  0 0 0 22   03.57860436  116.62318541    0.00    0.00 2  0 0 0
110   2 0.00   0.00 Ramp 2
111  03.57626598  116.61917819 
111  03.57617114  116.61928282 
111  03.57647299  116.61957935 
111  03.57669908  116.61936597 
111  03.57677224  116.61943830 
111  03.57689005  116.61932012 
111  03.57670917  116.61912226 
113  03.57645142  116.61936639 
110   1 0.00 135.50 Ramp 1
111  03.57509445  116.61946628 
111  03.57532598  116.61970286 
112  03.57531926  116.61956058  03.57535880  116.61952104 
112  03.57564933  116.61922746  03.57570078  116.61917666 
112  03.57581832  116.61921108  03.57585817  116.61925091 
112  03.57600999  116.61940158  03.57602264  116.61941416 
112  03.57605663  116.61940717  03.57607012  116.61939253 
111  03.57617114  116.61928282 
111  03.57626598  116.61917819 
111  03.57588422  116.61880935 
114  03.57522497  116.61946674  03.57518691  116.61950350 
110   2 1.00  45.50 Extention
111  03.57872568  116.62348002 
111  03.57923748  116.62400393 
111  03.57946656  116.62375195 
113  03.57895011  116.62324488 
110   1 0.00  45.50 Turn 23
111  03.57831829  116.62274798 
111  03.57866999  116.62310798 
111  03.57852737  116.62326128 
111  03.57872568  116.62348002 
111  03.57895011  116.62324488 
113  03.57849282  116.62278920 
130 Airport Boundary
111  03.57871542  116.62465581 
111  03.57950490  116.62391065 
111  03.57967652  116.62365844 
111  03.57617537  116.61998998 
111  03.57656439  116.61957728 
111  03.57682755  116.61988680 
111  03.57804037  116.61877480 
111  03.57682755  116.61755962 
111  03.57515707  116.61914165 
111  03.57149488  116.61540965 
113  03.57077405  116.61612041 
120 Runway Hold
111  03.57546178  116.61941437  54 
115  03.57536898  116.61932561 
14   03.57656625  116.61885637   13 0 Tower Viewpoint
15   03.57599024  116.61920704 221.85 Ramp Start
19   03.57567671  116.61957232 0 Windsock

99
