I
1050 Generated by WorldEditor 2.2.0r2

1   2333 0 0 F62 Hayfork
100 18.29 1 0 0.00 0 2 1 07  40.54678848 -123.18703492    0    0 1 0 0 0 25  40.54720797 -123.17228499    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 74
111  40.54698922 -123.18222827
111  40.54726364 -123.17228904
111  40.54735432 -123.17229202
112  40.54735432 -123.17229202  40.54744012 -123.17231343
111  40.54745936 -123.17246870
111  40.54755964 -123.17333401
111  40.54761004 -123.17376891
111  40.54761456 -123.17382507
111  40.54751438 -123.17741950
112  40.54751438 -123.17741950  40.54751947 -123.17760763
111  40.54764842 -123.17759984
111  40.54765002 -123.17752625
111  40.54819258 -123.17753548
112  40.54819258 -123.17753548  40.54823807 -123.17755135
111  40.54824029 -123.17762747
111  40.54828652 -123.17763039
111  40.54826367 -123.17885479
111  40.54824875 -123.17890455
111  40.54812233 -123.17890124
111  40.54811507 -123.17890105
111  40.54811987 -123.17871461
111  40.54799365 -123.17870690
111  40.54798726 -123.17889824
111  40.54787062 -123.17889614
111  40.54787328 -123.17870340
111  40.54761924 -123.17869709
111  40.54764116 -123.17774838
112  40.54764116 -123.17774838  40.54751112 -123.17775480
111  40.54750668 -123.17787279
111  40.54739375 -123.18175553
112  40.54739375 -123.18175553  40.54736731 -123.18191856
112  40.54727837 -123.18202349  40.54722544 -123.18206388
111  40.54727837 -123.18202349
112  40.54727837 -123.18202349  40.54725308 -123.18204037
112  40.54719491 -123.18206651  40.54716277 -123.18207986
111  40.54719491 -123.18206651
111  40.54708752 -123.18211240
112  40.54708752 -123.18211240  40.54702655 -123.18213381
113  40.54700186 -123.18223739
111  40.54714461 -123.17743634
112  40.54714461 -123.17743634  40.54716214 -123.17752988
112  40.54727812 -123.17758985  40.54735135 -123.17760640
111  40.54727812 -123.17758985
112  40.54727812 -123.17758985  40.54733420 -123.17758946
112  40.54739165 -123.17752457  40.54741382 -123.17748921
111  40.54739165 -123.17752457
112  40.54739165 -123.17752457  40.54742505 -123.17747129
111  40.54742865 -123.17740480
111  40.54753194 -123.17376809
111  40.54748180 -123.17335159
111  40.54741284 -123.17277874
112  40.54741284 -123.17277874  40.54739148 -123.17266637
112  40.54727765 -123.17276501  40.54726771 -123.17285501
113  40.54727765 -123.17276501
111  40.54701997 -123.18181236
112  40.54701997 -123.18181236  40.54705595 -123.18190839
112  40.54723233 -123.18193374  40.54735408 -123.18187705
111  40.54723233 -123.18193374
112  40.54723233 -123.18193374  40.54723386 -123.18193286
112  40.54723685 -123.18193098  40.54723833 -123.18193002
111  40.54723685 -123.18193098
112  40.54723685 -123.18193098  40.54730518 -123.18188649
111  40.54731348 -123.18175021
111  40.54741686 -123.17791764
112  40.54738319 -123.17780593  40.54734907 -123.17775442
111  40.54738319 -123.17780593
112  40.54738319 -123.17780593  40.54736071 -123.17777198
112  40.54726069 -123.17773510  40.54719817 -123.17772840
111  40.54726069 -123.17773510
112  40.54726069 -123.17773510  40.54716260 -123.17775402
113  40.54713123 -123.17790046
110 1 0.00 0.0000 New Taxiway 73
111  40.54688007 -123.18660123
112  40.54688007 -123.18660123  40.54692445 -123.18672826
111  40.54701543 -123.18674481
111  40.54713193 -123.18674694
111  40.54725472 -123.18674919
111  40.54723985 -123.18706663
111  40.54712482 -123.18705774
113  40.54686816 -123.18703791
110 2 0.00 353.0500 New Taxiway 90
111  40.54824875 -123.17890455
111  40.54824645 -123.17905607
111  40.54811922 -123.17905266
