I
1050 Generated by WorldEditor 2.2.0r2

1     13 0 0 TUPW Virgin Gorda
100 17.98 4 0 0.00 0 0 0 02  18.44328292 -064.42880574    0    0 0 0 0 0 20  18.45017331 -064.42685723    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  18.45054762 -064.42667956
111  18.45057995 -064.42684628
111  18.45048571 -064.42687076
111  18.45055904 -064.42720513
111  18.45061175 -064.42744393
111  18.45064543 -064.42760273
111  18.45018183 -064.42762659
111  18.45009560 -064.42695666
111  18.45018130 -064.42693464
113  18.45014180 -064.42678049
110 1 0.00 0.0000 New Taxiway 4
111  18.44331664 -064.42887127
111  18.44284036 -064.42903941
111  18.44243640 -064.42922943
111  18.44235171 -064.42892266
111  18.44272525 -064.42881506
113  18.44328124 -064.42872577
130 Airport Boundary 
111  18.44251636 -064.42859683
111  18.44287601 -064.42850452
111  18.44395909 -064.42808531
111  18.44507744 -064.42770156
111  18.44592184 -064.42735540
111  18.44712276 -064.42732903
111  18.45044430 -064.42641998
111  18.45062227 -064.42642952
111  18.45068712 -064.42664416
111  18.45073140 -064.42692738
111  18.45069649 -064.42693105
111  18.45068127 -064.42709472
111  18.45077930 -064.42714374
111  18.45087608 -064.42769491
111  18.45011004 -064.42765793
111  18.45010669 -064.42729303
111  18.44922658 -064.42755002
111  18.44626821 -064.42835057
111  18.44623185 -064.42833601
111  18.44564980 -064.42850671
111  18.44562592 -064.42847888
111  18.44369351 -064.42899368
111  18.44309968 -064.42917539
111  18.44306432 -064.42936228
111  18.44284875 -064.42976652
111  18.44254770 -064.42985520
113  18.44228565 -064.42877396
120 TB
111  18.45061175 -064.42744393 20
111  18.45055144 -064.42745314 20
111  18.45055877 -064.42757849 20
115  18.45029184 -064.42758005
120 Runway Hold
111  18.45055904 -064.42720513 4
115  18.45018536 -064.42731511
120 Linear Feature 3
111  18.45038876 -064.42730613 1
111  18.45030439 -064.42692736
112  18.45030439 -064.42692736  18.45028742 -064.42688315 1
116  18.45021275 -064.42685376  18.45015432 -064.42684737
14  18.45077182 -064.42742252  82.02 0 TWR Viewpoint 
1300  18.45052341 -064.42728568 100.67 tie_down props GA 01
1301 A general_aviation 
1300  18.45050368 -064.42743344  90.62 tie_down props GA 02
1301 A general_aviation 
1300  18.45037310 -064.42743483  90.62 tie_down props GA 03
1301 A general_aviation 
1300  18.45027600 -064.42747147  72.48 tie_down props GA 04 
1301 A general_aviation 
1300  18.45020920 -064.42735652  72.48 tie_down props GA 05
1301 A general_aviation 
18  18.44994204 -064.42729924 1 BCN
19  18.44363026 -064.42837658 0 WS 02
19  18.45004560 -064.42725540 0 WS 20
99
