A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      804 1 0 LFHI Morestel
100   75.90   3   0 0.25 0 0 0 13   45.68918500  005.44856900  160.02    0.00 0  0 0 0 31   45.68442900  005.45627700    0.00    0.00 0  0 0 0
110   2 0.25 131.40 Apron
111  45.68573600  005.45008200 
111  45.68555800  005.45034000 
111  45.68568000  005.45049000 
111  45.68539600  005.45096200 
111  45.68557800  005.45118600 
113  45.68602600  005.45044000 
120 Path hold short
111  45.68650500  005.45190900  54 
115  45.68651700  005.45189100 
14   45.68545900  005.45062200   54 0 Morestel Tower
15   45.68520400  005.45129200 127.61 GA Ramp 1
15   45.68575900  005.45075400 219.65 GA Ramp 2
15   45.68566600  005.45090600 219.65 GA Ramp 3
15   45.68580700  005.45038400 219.65 GA Ramp 4
19   45.68665100  005.45114500 1 Windsock
19   45.68665100  005.45114500 1 Windsock
54 12350 Morestel TWR


130 Airport Boundary
111  045.68442917  005.45627689
111  045.68539429  005.45096207
111  045.68555832  005.45033979
111  045.68573761  005.45008183
113  045.68918610  005.44856882
99
