I
1050 Generated by WorldEditor 1.6.0r1

1     31 1 0 EGPE Inverness
1302 city Inverness
1302 country United Kingdom
1302 datum_lat 57.542500000
1302 datum_lon -4.047500000
1302 faa_code 
1302 iata_code INV
1302 icao_code EGPE
1302 region_code EG
1302 state Scotland
1302 transition_alt 3000
1302 transition_level 
100 45.72 1 0 0.00 1 3 0 05  57.53701303 -004.05955024   66    0 3 4 1 1 23  57.54802048 -004.03558413    0    0 3 4 1 1
100 17.92 1 0 0.00 0 3 0 11  57.54465613 -004.05990019    0    0 1 0 0 0 29  57.54254182 -004.04883128    0    0 1 0 0 0
102 H5  57.53826290 -004.04872877 319.76 25.46 25.98 2 0 0 0.00 1
102 H2  57.54081244 -004.04260952 319.35 15.10 15.50 2 0 0 0.00 1
102 H1  57.54068880 -004.04287165 319.67 14.80 15.20 2 0 0 0.00 1
110 2 0.00 184.3159 New Taxiway 70
111  57.53901744 -004.06402874
111  57.53899408 -004.06340496
111  57.53898977 -004.06328989
111  57.54003467 -004.06313337
113  57.54007272 -004.06387452
110 2 0.00 1.0000 Conc patch
111  57.54236827 -004.06431265
111  57.54239884 -004.06430059
111  57.54241691 -004.06433324
111  57.54255224 -004.06431587
111  57.54257312 -004.06476676
112  57.54247695 -004.06476369  57.54245053 -004.06476664
111  57.54244180 -004.06473294
111  57.54250183 -004.06472639
111  57.54249910 -004.06464776
113  57.54238315 -004.06465830
110 2 0.00 140.7900 New Taxiway 41
111  57.54658622 -004.05470390
111  57.54653327 -004.05478086
111  57.54647816 -004.05475051
111  57.54640843 -004.05465184
111  57.54637889 -004.05455780
111  57.54641056 -004.05443568
111  57.54663396 -004.05390396
111  57.54667991 -004.05382709
111  57.54673230 -004.05384499
111  57.54681126 -004.05395786
111  57.54683826 -004.05404809
113  57.54681192 -004.05415170
110 1 0.00 2270.0000 New Taxiway 38
111  57.53956130 -004.04427997
111  57.53953839 -004.04424320
111  57.53960534 -004.04409961
113  57.53962710 -004.04413313
110 2 0.00 142.8042 New Taxiway 38
111  57.54533819 -004.03559614
111  57.54529970 -004.03568745
111  57.54523392 -004.03557820
113  57.54526907 -004.03549490
110 2 0.00 2270.0000 New Taxiway 37
111  57.54343550 -004.06406088
111  57.54326567 -004.06408050
111  57.54326129 -004.06394470
113  57.54343184 -004.06391794
110 2 0.00 2270.0000 New Taxiway 37
111  57.54320930 -004.06408833
111  57.54305131 -004.06411726
111  57.54304035 -004.06396921
113  57.54320565 -004.06394538
110 2 0.00 92.9250 New Taxiway 35
111  57.54201905 -004.06383099
111  57.54195727 -004.06383552
111  57.54195773 -004.06388212
111  57.54173340 -004.06391160
111  57.54172219 -004.06358163
111  57.54179207 -004.06357654
111  57.54179538 -004.06365714
113  57.54201072 -004.06363100
110 2 0.00 94.3570 New Taxiway 34
111  57.54199283 -004.06434466
111  57.54171161 -004.06438386
111  57.54170877 -004.06425644
111  57.54180623 -004.06424484
111  57.54180126 -004.06406780
111  57.54179871 -004.06397711
