A
1050 Generated by WorldEditor 1.6.1r1

1    148 1 0 KLWM Lawrence Municipal
100 45.72 1 0 0.25 0 3 1 05  42.71091366 -071.12889624    0    0 3 0 0 1 23  42.72171130 -071.11738183    0    0 2 0 0 1
100 30.48 1 0 0.25 0 2 1 14  42.72097456 -071.12948495    0    0 2 0 0 0 32  42.71573181 -071.11797522   24    0 2 0 0 1
110 3 0.00 0.0000 New Taxiway 1204
111  42.71414994 -071.12184082
112  42.71414994 -071.12184082  42.71411503 -071.12188711
112  42.71403717 -071.12172973  42.71405775 -071.12164081
111  42.71403717 -071.12172973
111  42.71408979 -071.12149585
111  42.71437498 -071.12159407
111  42.71434299 -071.12162914
111  42.71425147 -071.12172950
113  42.71417059 -071.12181819
110 1 0.00 0.0000 New Taxiway 1179
111  42.71280280 -071.12631431
111  42.71263526 -071.12601962
111  42.71266103 -071.12599156
113  42.71282729 -071.12628624
110 1 0.00 0.0000 New Taxiway 1178
111  42.71638481 -071.11993127
111  42.71621189 -071.12008037
111  42.71619900 -071.12004090
113  42.71636763 -071.11989180
110 2 0.00 0.0000 New Taxiway 1107
111  42.72148758 -071.12818508
111  42.72143913 -071.12807769
111  42.72139736 -071.12798509
111  42.72143210 -071.12795652
111  42.72147394 -071.12792213
111  42.72151584 -071.12788769
111  42.72152753 -071.12787807
113  42.72161388 -071.12807631
110 2 0.00 0.0000 New Taxiway 1106
111  42.72162677 -071.12806403
111  42.72153655 -071.12786404
111  42.72155423 -071.12784863
111  42.72168348 -071.12773597
113  42.72177499 -071.12794123
110 2 0.00 0.0000 New Taxiway 1105
111  42.72214102 -071.12760615
111  42.72179819 -071.12789737
111  42.72171570 -071.12772720
113  42.72206111 -071.12743598
110 2 0.00 0.0000 New Taxiway 1104
111  42.72159455 -071.12746581
111  42.72151722 -071.12729213
111  42.72186392 -071.12700091
113  42.72193867 -071.12717284
110 2 0.00 0.0000 New Taxiway 1103
111  42.72125816 -071.12751493
111  42.72149144 -071.12731318
111  42.72156748 -071.12748511
113  42.72133292 -071.12768334
110 2 0.00 0.0000 New Taxiway 1102
111  42.72124012 -071.12776404
111  42.72116279 -071.12759387
111  42.72124914 -071.12752896
113  42.72132389 -071.12769212
110 2 0.00 0.0000 New Taxiway 1099
111  42.72087884 -071.12630137
111  42.72084051 -071.12649277
111  42.72053516 -071.12637404
111  42.72055282 -071.12629287
113  42.72057704 -071.12618149
110 2 0.00 0.0000 New Taxiway 1097
111  42.72135890 -071.12680121
111  42.72119929 -071.12673806
111  42.72123838 -071.12656065
111  42.72129607 -071.12658296
111  42.72139713 -071.12662205
113  42.72137938 -071.12670523
110 2 0.00 0.0000 New Taxiway 1096
111  42.72169632 -071.12597813
111  42.72155713 -071.12592761
111  42.72165766 -071.12538658
113  42.72180149 -071.12544131
110 2 0.00 0.0000 New Taxiway 1095
111  42.72138855 -071.12593182
111  42.72124781 -071.12588340
111  42.72137772 -071.12518869
113  42.72152001 -071.12524343
110 2 0.00 0.0000 New Taxiway 1094
111  42.72109315 -071.12582656
111  42.72094932 -071.12577393
111  42.72108078 -071.12508344
113  42.72122306 -071.12513817
110 2 0.00 0.0000 New Taxiway 1093
111  42.72063226 -071.12566656
111  42.72077764 -071.12492976
