A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1       14 0 0 YSII Saibai Island
100   17.98   1   0 0.00 0 0 0 11  -09.37630300  142.62227400   60.96    0.00 2  0 0 0 29  -09.38036300  142.62772600   60.96    0.00 2  0 0 0
110   1 0.00 127.00 Taxiway
111 -09.37674100  142.62272400 
111 -09.37675600  142.62270900 
111 -09.37683000  142.62265400 
111 -09.37697700  142.62253800 
111 -09.37703100  142.62249900 
111 -09.37708500  142.62246000 
111 -09.37727800  142.62262100 
111 -09.37719100  142.62258100 
111 -09.37714100  142.62255500 
111 -09.37709200  142.62259100 
111 -09.37704300  142.62262600 
111 -09.37689600  142.62274200 
111 -09.37674900  142.62285400 
111 -09.37674700  142.62286000 
111 -09.37674500  142.62285700 
111 -09.37672700  142.62283200 
111 -09.37664400  142.62286400 
111 -09.37669000  142.62278700 
111 -09.37667600  142.62277000 
113 -09.37673400  142.62271200 
110   1 0.00 127.00 Apron
111 -09.37696700  142.62253300 
111 -09.37727300  142.62229400 
111 -09.37785100  142.62306800 
113 -09.37754300  142.62330400 
120 Taxi hold short
111 -09.37689400  142.62273800  54 
115 -09.37683200  142.62265800 
14  -09.37731522  142.62284783   82 0 New Tower Viewpoint 45
15  -09.37754700  142.62314800 303.33 GA Ramp 1
15  -09.37772100  142.62303500 324.59 GA Ramp 2
15  -09.37750800  142.62275800  31.46 GA Ramp 3
19  -09.37728464  142.62411868 0 New Windsock 44
51 12030 SAIBAI MULT


130 Airport Boundary
111 -009.38036346  142.62773132
111 -009.37785053  142.62306213
111 -009.37727261  142.62229919
111 -009.37630272  142.62226868
113 -009.37664413  142.62286377
99
