A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       92 1 0 VTSY Yala
100   46.02   2   0 0.25 0 0 0 34   06.52416034  101.24486731    0.00    0.00 2  0 0 0 16   06.53251166  101.24149869    0.00    0.00 2  0 0 0
110   2 0.00 158.20 ramp
111  06.53062771  101.24246581 
112  06.53080962  101.24257859  06.53083170  101.24263022 
112  06.53109298  101.24326544  06.53111192  101.24331380 
111  06.53107971  101.24335202 
111  06.53103719  101.24337464 
111  06.53126439  101.24394267 
111  06.53232809  101.24350005 
111  06.53211173  101.24293930 
111  06.53202360  101.24296912 
112  06.53194160  101.24291235  06.53191933  101.24285561 
112  06.53168304  101.24224051  06.53165911  101.24217345 
111  06.53168899  101.24203155 
111  06.53132302  101.24217958 
112  06.53148907  101.24231800  06.53151475  101.24237995 
112  06.53175495  101.24298907  06.53177380  101.24304069 
111  06.53172271  101.24309432 
111  06.53132839  101.24325366 
112  06.53124142  101.24320841  06.53122118  101.24315856 
112  06.53095951  101.24251846  06.53093549  101.24245819 
113  06.53098783  101.24231679 
130 Airport Boundary
111  06.52355942  101.24460181 
111  06.52387364  101.24542408 
111  06.53069203  101.24268844 
111  06.53122619  101.24412742 
111  06.53281296  101.24341584 
111  06.53246733  101.24205593 
111  06.53323715  101.24170804 
113  06.53300149  101.24071183 
14   06.53094235  101.24379835   19 0 Viewpoint
15   06.53152824  101.24333776 340.00 Platform
19   06.53129155  101.24249832 0 Windsock

99
