I
1130 Generated by WorldEditor 2.2.0r2

1    322 0 0 61R Newton Muni
1302 gui_label 2D
100 18.29 1 0 0.25 0 1 0 14  30.88855694 -093.74614888    0    0 1 0 0 0 32  30.87955100 -093.73881700    0    0 1 0 0 0
110 1 0.00 0.0000 Taxiway north sidepad
111  30.88825789 -093.74579521
111  30.88844701 -093.74575077
111  30.88868779 -093.74594158
113  30.88860142 -093.74607300
110 2 0.00 0.0000 Taxiway h3
111  30.88582268 -093.74290388
111  30.88588823 -093.74279566
111  30.88603064 -093.74290959
113  30.88596454 -093.74301787
110 2 0.00 0.0000 Taxiway h2
111  30.88553412 -093.74267201
111  30.88558747 -093.74258142
111  30.88568560 -093.74265964
113  30.88563110 -093.74274994
110 2 0.00 0.0000 Taxiway h1
111  30.88535987 -093.74253200
111  30.88541530 -093.74244066
111  30.88551662 -093.74252239
113  30.88546134 -093.74261353
110 1 0.00 0.0000 Taxiway south sidepad
111  30.87959377 -093.73874943
111  30.87966336 -093.73863760
111  30.87989054 -093.73881565
113  30.87993412 -093.73902182
110 1 0.00 0.0000 Taxiway main
111  30.88354542 -093.74196450
111  30.88355243 -093.74195418
112  30.88355243 -093.74195418  30.88361254 -093.74198804
112  30.88372098 -093.74191670  30.88375048 -093.74187288
111  30.88372098 -093.74191670
111  30.88382441 -093.74174309
112  30.88382441 -093.74174309  30.88385031 -093.74168036
112  30.88380037 -093.74155859  30.88376499 -093.74151547
111  30.88380037 -093.74155859
111  30.88373471 -093.74149381
111  30.88346786 -093.74127220
111  30.88354651 -093.74113999
111  30.88367615 -093.74124287
112  30.88367615 -093.74124287  30.88373927 -093.74127115
112  30.88382239 -093.74121606  30.88387040 -093.74116061
111  30.88382239 -093.74121606
111  30.88387994 -093.74113627
111  30.88435762 -093.74152941
111  30.88421376 -093.74176925
111  30.88479301 -093.74223646
112  30.88479301 -093.74223646  30.88498240 -093.74232414
111  30.88518181 -093.74238893
111  30.88535987 -093.74253200
111  30.88546134 -093.74261353
111  30.88553412 -093.74267201
111  30.88563110 -093.74274994
111  30.88582268 -093.74290388
111  30.88596454 -093.74301787
111  30.88610632 -093.74313179
111  30.88599038 -093.74332154
111  30.88415587 -093.74184299
111  30.88406975 -093.74178063
112  30.88406975 -093.74178063  30.88400546 -093.74176020
112  30.88391975 -093.74181981  30.88388898 -093.74186046
111  30.88391975 -093.74181981
111  30.88380448 -093.74200981
112  30.88380448 -093.74200981  30.88378831 -093.74207348
112  30.88384012 -093.74218490  30.88388642 -093.74222712
111  30.88384012 -093.74218490
113  30.88383441 -093.74219481
130 Airport Boundary
111  30.89156921 -093.75023438
111  30.88881203 -093.74715571
111  30.87798593 -093.73856670
111  30.87830746 -093.73794553
111  30.87725592 -093.73715000
111  30.87773918 -093.73638159
111  30.88247516 -093.74009774
111  30.88280492 -093.73958103
111  30.88546002 -093.74171410
111  30.88524966 -093.74207180
111  30.88962746 -093.74583466
111  30.88948532 -093.74627853
113  30.89238358 -093.74863643
120 Linear Feature 6
111  30.88420196 -093.74151204 1
115  30.88423410 -093.74146155
120 Linear Feature 5
111  30.88416909 -093.74148463 1
111  30.88420196 -093.74151204 1
115  30.88423657 -093.74154090
120 Linear Feature 4
111  30.88409089 -093.74142161 1
115  30.88412375 -093.74136876
120 Linear Feature 3
111  30.88405703 -093.74139301 1
111  30.88409089 -093.74142161 1
115  30.88412451 -093.74145000
120 Linear Feature 2
111  30.88397791 -093.74132712 1
115  30.88401099 -093.74127552
120 Linear Feature 1
111  30.88394493 -093.74129999 1
111  30.88397791 -093.74132712 1
115  30.88401136 -093.74135465
14  30.88502014 -093.74212750  82.02 0 Tower Viewpoint
1300  30.88591336 -093.74292784 235.00 hangar props Hangar 03
1301 A none 
1300  30.88559756 -093.74268476 235.00 hangar props Hangar 02
1301 A none 
1300  30.88542703 -093.74254627 235.00 hangar props Hangar 01
1301 A none 
1300  30.88397791 -093.74132712 -127.23 tie_down props GA Ramp 03
1301 A general_aviation 
1300  30.88409089 -093.74142161 -126.88 tie_down props GA Ramp 02
1301 A general_aviation 
1300  30.88420196 -093.74151204 -127.15 tie_down props GA Ramp 01
1301 A general_aviation 
18  30.88502014 -093.74212750 1 Airport Beacon
19  30.88431706 -093.74178470 0 Windsock
1051 122800 Newton Unicom
99
