A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     2134 0 0 WRLP Long Apung (Local Gov)
100   22.86   1   0 0.00 0 0 0 17   01.70987468  114.96959199    0.00   17.07 2  0 0 0 35   01.70163013  114.97048127    0.00    0.00 2  0 0 0
110   1 0.00  87.00 Long Apung Ramp
111  01.70531758  114.97017473 
112  01.70545916  114.97030487  01.70546594  114.97042877 
111  01.70550370  114.97119605 
111  01.70593665  114.97117436 
111  01.70591784  114.97080742 
112  01.70570899  114.97081745  01.70566021  114.97081932 
112  01.70562286  114.97073187  01.70561983  114.97068234 
112  01.70560015  114.97029041  01.70559452  114.97016839 
113  01.70570576  114.97013677 
130 Long Apung Boundary
111  01.70147831  114.97028778 
111  01.70153048  114.97072614 
111  01.70537782  114.97032472 
111  01.70540329  114.97133575 
111  01.70610043  114.97129549 
111  01.70603737  114.97025120 
111  01.71019387  114.96981302 
113  01.71014576  114.96933161 
120 Long Apung Hold
111  01.70545916  114.97030487   4 
115  01.70560015  114.97029041 
14   01.70580476  114.97138209    6 0 Long Apung Viewpoint
15   01.70585125  114.97090525  87.00 Long Apung Ramp Start
19   01.70580917  114.97032490 0 Long Apung Windsock

99
