I
1050 Generated by WorldEditor 2.0.0r4

1   1334 1 0 KMFR Rogue Valley Intl
100 45.72 1 0 0.25 1 3 1 14  42.38621961 -122.87920384    0   61 3 8 1 0 32  42.36370744 -122.86741219    0   59 2 0 0 1
110 2 0.00 0.0000 New Taxiway 120
111  42.37176445 -122.87531984
111  42.37216273 -122.87657104
111  42.37262912 -122.87803613
111  42.37216456 -122.87830370
111  42.37219037 -122.87838565
111  42.37218053 -122.87839154
111  42.37192566 -122.87758814
111  42.37179399 -122.87717311
111  42.37165366 -122.87673075
111  42.37149441 -122.87622876
111  42.37134394 -122.87575444
111  42.37127250 -122.87552924
113  42.37168851 -122.87528772
110 2 0.00 0.0000 New Taxiway 48
111  42.37346486 -122.86590309
111  42.37346427 -122.86572337
111  42.37399521 -122.86572225
113  42.37399441 -122.86590299
110 2 0.00 0.0000 New Taxiway 47
111  42.37442790 -122.86602181
111  42.37442789 -122.86602905
111  42.37443309 -122.86602913
111  42.37443185 -122.86616035
111  42.37426688 -122.86615787
111  42.37426687 -122.86602891
111  42.37423103 -122.86602834
111  42.37423105 -122.86601434
111  42.37422091 -122.86599104
111  42.37426796 -122.86596754
111  42.37426495 -122.86595404
111  42.37426499 -122.86594811
111  42.37426716 -122.86572456
111  42.37443471 -122.86572456
111  42.37443411 -122.86595000
113  42.37442813 -122.86594991
110 2 0.00 0.0000 New Taxiway 43
111  42.37913233 -122.87990358
111  42.37907983 -122.88008589
111  42.37892151 -122.88000216
113  42.37897322 -122.87982053
110 2 0.00 0.0000 New Taxiway 42
111  42.37889204 -122.88016088
111  42.37883036 -122.88037706
111  42.37867189 -122.88029409
113  42.37873334 -122.88007883
110 2 0.00 0.0000 New Taxiway 41
111  42.37902821 -122.88110037
111  42.37902384 -122.88134292
111  42.37885515 -122.88133611
113  42.37886034 -122.88109401
110 2 0.00 0.0000 New Taxiway 40
111  42.37867940 -122.88132903
111  42.37868466 -122.88108718
111  42.37885245 -122.88109369
113  42.37884907 -122.88133710
110 2 0.00 0.0000 New Taxiway 41
111  42.36750596 -122.87202391
111  42.36760309 -122.87207461
111  42.36787481 -122.87221641
111  42.36770996 -122.87279042
112  42.36769636 -122.87279604  42.36768931 -122.87279260
111  42.36769041 -122.87277942
111  42.36769335 -122.87276870
111  42.36756892 -122.87270324
111  42.36754468 -122.87278923
111  42.36754408 -122.87279136
111  42.36744627 -122.87273896
111  42.36747174 -122.87265266
113  42.36734351 -122.87258595
110 2 0.00 0.0000 New Taxiway 40
111  42.38238870 -122.88083186
111  42.38238870 -122.88080218
111  42.38242234 -122.88080264
111  42.38242234 -122.88082528
111  42.38255897 -122.88082641
111  42.38255755 -122.88123596
111  42.38240228 -122.88123465
111  42.38240220 -122.88124693
111  42.38238730 -122.88124690
113  42.38238744 -122.88120523
110 2 0.00 0.0000 New Taxiway 39
111  42.38200909 -122.88229115
111  42.38200848 -122.88245002
111  42.38134712 -122.88243345
113  42.38134820 -122.88227298
110 2 0.00 0.0000 New Taxiway 38
111  42.38183346 -122.88183977
111  42.38183353 -122.88207958
111  42.38130014 -122.88208035
111  42.38130022 -122.88183722
111  42.38136700 -122.88183754
111  42.38148217 -122.88183809
111  42.38159734 -122.88183864
113  42.38171212 -122.88183919
110 2 0.00 0.0000 New Taxiway 37
111  42.38183093 -122.88138872
111  42.38183121 -122.88162979
111  42.38129842 -122.88163130
111  42.38129754 -122.88138909
111  42.38136603 -122.88138904
111  42.38148072 -122.88138896
111  42.38159727 -122.88138888
113  42.38171103 -122.88138880
110 2 0.00 0.0000 New Taxiway 36
111  42.38198248 -122.88059509
111  42.38198278 -122.88111351
111  42.38129649 -122.88111396
111  42.38129454 -122.88059458
111  42.38139024 -122.88059465
111  42.38155581 -122.88059477
111  42.38172417 -122.88059490
113  42.38189040 -122.88059502
110 5 0.00 0.0000 New Taxiway 35
111  42.38210186 -122.88025757
112  42.38210186 -122.88025757  42.38210106 -122.88027128
111  42.38209298 -122.88028168
111  42.38202519 -122.88029431
111  42.38196492 -122.88027847
111  42.38192473 -122.88026172
111  42.38200837 -122.87995450
111  42.38201593 -122.87982601
111  42.38201871 -122.87980674
111  42.38206317 -122.87964624
111  42.38207841 -122.87964886
112  42.38207841 -122.87964886  42.38210109 -122.87966423
113  42.38210459 -122.87975206
110 2 0.00 0.0000 New Taxiway 33
111  42.38197374 -122.87997695
111  42.38189392 -122.88025288
111  42.38153136 -122.88006179
111  42.38161127 -122.87978511
111  42.38162127 -122.87979028
111  42.38163582 -122.87973248
111  42.38170645 -122.87976996
111  42.38178169 -122.87980989
111  42.38176782 -122.87985904
111  42.38186187 -122.87990885
111  42.38196877 -122.87996546
113  42.38196834 -122.87997385
110 2 0.00 0.0000 New Taxiway 32
111  42.38136586 -122.88012597
111  42.38122615 -122.88005218
111  42.38130985 -122.87976776
111  42.38143914 -122.87983582
113  42.38144561 -122.87983989
110 5 0.00 0.0000 New Taxiway 31
111  42.38165316 -122.87936900
112  42.38165316 -122.87936900  42.38170394 -122.87941661
111  42.38168775 -122.87950193
111  42.38163439 -122.87964999
111  42.38158073 -122.87975044
111  42.38146274 -122.88015002
111  42.38143936 -122.88020017
112  42.38143936 -122.88020017  42.38141280 -122.88024448
111  42.38133058 -122.88025129
111  42.38136586 -122.88012597
111  42.38144561 -122.87983989
111  42.38143914 -122.87983582
111  42.38148224 -122.87968147
111  42.38149690 -122.87948676
111  42.38153491 -122.87934993
112  42.38153491 -122.87934993  42.38154441 -122.87932633
113  42.38158070 -122.87931835
110 2 0.00 0.0000 New Taxiway 30
111  42.38055156 -122.87997483
111  42.38052965 -122.88005030
111  42.38056038 -122.88006837
111  42.38053498 -122.88015404
111  42.38050564 -122.88013740
111  42.38049000 -122.88019333
111  42.38035564 -122.88012230
113  42.38041961 -122.87990543
110 2 0.00 0.0000 New Taxiway 29
111  42.38108353 -122.87972067
111  42.38113243 -122.87974727
111  42.38107098 -122.87997145
111  42.38105133 -122.87996125
111  42.38103545 -122.88001980
111  42.38100241 -122.88000263
111  42.38094850 -122.88019349
111  42.38068638 -122.88005465
111  42.38068861 -122.88004674
111  42.38075180 -122.87982877
111  42.38047544 -122.87968468
111  42.38060576 -122.87924048
111  42.38087694 -122.87938459
113  42.38113994 -122.87952412
110 2 0.00 0.0000 New Taxiway 28
111  42.37867358 -122.88133088
111  42.37850368 -122.88132153
111  42.37850867 -122.88110341
111  42.37849933 -122.88110336
111  42.37849965 -122.88108003
113  42.37867713 -122.88108686
110 2 0.00 0.0000 New Taxiway 27
111  42.37905524 -122.88026477
111  42.37898365 -122.88051299
111  42.37897461 -122.88050824
111  42.37884490 -122.88044004
111  42.37882532 -122.88043008
111  42.37889709 -122.88018101
111  42.37891302 -122.88018962
111  42.37892814 -122.88013229
111  42.37897165 -122.88015549
113  42.37895472 -122.88021059
110 2 0.00 0.0000 New Taxiway 26
111  42.37866967 -122.88030177
111  42.37882894 -122.88038397
