I
1050 Generated by WorldEditor

1     54 1 0 EGPI Islay
1302 city Islay
1302 country United Kingdom
1302 datum_lat 55.683333333
1302 datum_lon -6.259722222
1302 faa_code 
1302 iata_code ILY
1302 icao_code EGPI
1302 region_code EG
1302 state Scotland
1302 transition_alt 3000
1302 transition_level 
100 46.02 1 0 0.00 0 1 1 13  55.68699493 -006.27026096  141    0 4 10 0 0 31  55.67985498 -006.24913087  141    0 4 0 0 0
100 17.98 1 0 0.00 0 0 0 08  55.68246100 -006.25881100    0    0 1 0 0 0 26  55.68436490 -006.24929608   58    0 1 0 0 0
110 1 0.00 0.0000 Mid Disused and Taxiway
111  55.68280301 -006.25667732
111  55.68274387 -006.25697343
111  55.68261410 -006.25659144
112  55.68314048 -006.25397024  55.68314542 -006.25395050
112  55.68311352 -006.25390932  55.68308385 -006.25394222
111  55.68208139 -006.25501423
111  55.68202431 -006.25484734
111  55.68193319 -006.25457546
111  55.68186705 -006.25438135
111  55.68336618 -006.25279483
111  55.68410271 -006.24913297
111  55.68429081 -006.24925265
111  55.68358153 -006.25279174
111  55.68348250 -006.25329279
113  55.68307244 -006.25534892
110 1 0.00 0.0000 North Disused
111  55.68637262 -006.25043980
112  55.68374291 -006.25323433  55.68372907 -006.25324967
112  55.68370054 -006.25334597  55.68368286 -006.25342799
111  55.68288830 -006.25740043
111  55.68284927 -006.25728705
111  55.68321754 -006.25544477
111  55.68443859 -006.24934592
111  55.68449146 -006.24937729
111  55.68392822 -006.25219383
112  55.68572733 -006.25028493  55.68586944 -006.25013005
113  55.68577986 -006.24995558
110 1 1.00 0.0000 Light Aircraft Apron and Car park
111  55.68507828 -006.24904997
111  55.68671659 -006.25040154
111  55.68662489 -006.25064695
111  55.68637262 -006.25043980
111  55.68577986 -006.24995558
111  55.68501207 -006.24930291
111  55.68502188 -006.24926325
113  55.68506998 -006.24908123
110 1 0.00 0.0000 Main apron and 26 entry
112  55.68270774 -006.24989404  55.68269074 -006.24968181
111  55.68270774 -006.24989404
112  55.68270774 -006.24989404  55.68299813 -006.24973731
111  55.68324941 -006.24935084
111  55.68299606 -006.24881180
111  55.68312008 -006.24854684
111  55.68317086 -006.24868271
111  55.68310494 -006.24877909
