A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      955 0 0 YCHT Charters Towers
100   29.87   1   0 0.25 0 1 0 06  -20.04753575  146.26637197    0.00   60.96 1  0 0 0 24  -20.04009362  146.28102332    0.00   57.91 1  0 0 0
100   29.87   5   0 0.00 0 0 0 01  -20.04694599  146.26861719    0.00  360.88 0  0 0 0 19  -20.03811827  146.27113513    0.00   78.94 0  0 0 0
110   4 0.25   0.00 New Taxiway 20
111 -20.04861656  146.26929397 
111 -20.04831832  146.26806998 
112 -20.04830035  146.26787490 -20.04830754  146.26781370 
112 -20.04825364  146.26731646 -20.04822849  146.26720171 
112 -20.04820333  146.26704106 -20.04820693  146.26702576 
112 -20.04830035  146.26702958 -20.04832910  146.26705636 
112 -20.04842252  146.26736618 -20.04842611  146.26746180 
112 -20.04846923  146.26774103 -20.04848361  146.26777928 
112 -20.04848361  146.26792080 -20.04844408  146.26797053 
112 -20.04839018  146.26805085 -20.04839018  146.26806998 
111 -20.04865249  146.26928632 
112 -20.04872076  146.26931310 -20.04872076  146.26936282 
112 -20.04863812  146.26942402 -20.04858781  146.26941255 
114 -20.04856984  146.26935135 -20.04857703  146.26931692 
110   1 0.25   0.00 New Taxiway 19
112 -20.04548863  146.26803745 -20.04545406  146.26804039  20 
112 -20.04542226  146.26795502 -20.04542226  146.26791822  20 
112 -20.04548172  146.26788142 -20.04551906  146.26787847  20 
114 -20.04556884  146.26794913 -20.04557022  146.26800212  20 
110   4 0.25   0.00 New Taxiway 16
111 -20.05034500  146.27056640 
112 -20.04887144  146.27081694 -20.04843141  146.27091497 
112 -20.04799139  146.27103480 -20.04796069  146.27121998 
112 -20.04771510  146.27296285 -20.04769464  146.27310446 
112 -20.04758207  146.27399768 -20.04757184  146.27401947 
112 -20.04745928  146.27393232 -20.04746951  146.27387786 
112 -20.04754114  146.27364911 -20.04755137  146.27349660 
111 -20.04775603  146.27197159 
112 -20.04784813  146.27120908 -20.04786860  146.27106747 
112 -20.04777650  146.27093676 -20.04769464  146.27091497 
112 -20.04683795  146.27113617 -20.04667620  146.27122857 
112 -20.04617104  146.27159937 -20.04605268  146.27174445 
112 -20.04562746  146.27219120 -20.04558083  146.27224846 
112 -20.04475327  146.27323266 -20.04463890  146.27342880 
112 -20.04401679  146.27462515 -20.04390877  146.27484158 
111 -20.04123186  146.28020074 
112 -20.04112188  146.28061705 -20.04110917  146.28083348 
112 -20.04099647  146.28142794 -20.04089498  146.28172501 
111 -20.04059899  146.28234615 
112 -20.04019305  146.28249918 -20.03991396  146.28234615 
111 -20.03877506  146.28168747 
112 -20.03865670  146.28120873 -20.03880662  146.28095256 
112 -20.03953003  146.27995431 -20.03960614  146.27986429 
112 -20.04060408  146.27848700 -20.04088316  146.27801890 
111 -20.04302944  146.27381160 
112 -20.04303643  146.27343217 -20.04309933  146.27327593 
112 -20.04423160  146.27111095 -20.04432945  146.27109607 
112 -20.04456010  146.27112583 -20.04460902  146.27112583 
112 -20.04476978  146.27114071 -20.04476279  146.27131182 
112 -20.04457408  146.27146062 -20.04446225  146.27145318 
112 -20.04435741  146.27143086 -20.04430848  146.27148294 
111 -20.04085709  146.27832715 
112 -20.03946282  146.28019891 -20.03937056  146.28031348 
111 -20.03873574  146.28127211 
112 -20.03878187  146.28159946 -20.03895101  146.28168948 
111 -20.04018251  146.28240242 
112 -20.04047848  146.28236685 -20.04055964  146.28221440 
112 -20.04084129  146.28159447 -20.04086516  146.28153349 
112 -20.04100838  146.28084242 -20.04102747  146.28054770 
112 -20.04114204  146.28015135 -20.04122320  146.27993793 
111 -20.04449649  146.27340621 
112 -20.04492971  146.27279134 -20.04501636  146.27268067 
112 -20.04587548  146.27179200 -20.04589648  146.27175847 
112 -20.04636384  146.27132247 -20.04649512  146.27121626 
111 -20.04679968  146.27105416 
112 -20.04658439  146.27095913 -20.04648987  146.27096472 
112 -20.04629557  146.27093118 -20.04625881  146.27089765 
112 -20.04636909  146.27071877 -20.04647936  146.27071318 
112 -20.04667366  146.27081380 -20.04674192  146.27083057 
112 -20.04690996  146.27092000 -20.04693096  146.27093118 
