A
1000 Generated by WorldEditor

1      7 1 0 BIAR Akureyri
100 45.11 1 0 0.00 0 3 0 01  65.64971408 -018.07055338    0    0 3 8 0 1 19  65.66711992 -018.07385873    0    0 3 0 0 1
110 2 0.00 12.0000 New Taxiway 5
111  65.65458921 -018.07571399
111  65.65415706 -018.07563389
111  65.65416987 -018.07521958
113  65.65460346 -018.07529918
110 2 0.00 12.0000 New Taxiway 5
111  65.65136551 -018.07594227
111  65.65084108 -018.07584824
111  65.65085927 -018.07509853
113  65.65138476 -018.07519200
110 2 0.00 12.0000 New Taxiway 5
111  65.65245808 -018.07554822
111  65.65199080 -018.07545741
111  65.65200632 -018.07489790
113  65.65247466 -018.07498814
110 2 0.00 12.0000 New Taxiway 5
111  65.65187296 -018.07532178
111  65.65148670 -018.07524923
111  65.65149950 -018.07483696
113  65.65188682 -018.07490894
110 2 0.00 12.0000 New Taxiway 5
111  65.65324403 -018.07554921
111  65.65292793 -018.07549067
111  65.65294072 -018.07507840
113  65.65325789 -018.07513638
110 2 0.00 12.0000 New Taxiway 5
111  65.65267047 -018.07570684
111  65.65269252 -018.07502977
111  65.65288501 -018.07506629
113  65.65286324 -018.07574565
110 2 0.00 12.0000 New Taxiway 5
111  65.65383698 -018.07515427
111  65.65416481 -018.07521532
111  65.65415293 -018.07562292
113  65.65388272 -018.07573791
110 2 0.00 12.0000 New Taxiway 5
111  65.65170122 -018.07541264
111  65.65171755 -018.07492678
111  65.65188499 -018.07495832
113  65.65186883 -018.07544581
110 2 0.00 12.0000 New Taxiway 5
111  65.65250130 -018.07556645
111  65.65251663 -018.07508041
111  65.65264147 -018.07510330
113  65.65262632 -018.07559099
110 2 0.00 12.0000 New Taxiway 5
111  65.65259206 -018.07689128
111  65.65261547 -018.07622108
111  65.65278760 -018.07625608
113  65.65276443 -018.07692854
110 2 0.00 12.0000 New Taxiway 5
111  65.65325709 -018.07740893
111  65.65285076 -018.07733816
111  65.65285755 -018.07710122
113  65.65326523 -018.07717179
110 2 0.00 12.0000 New Taxiway 5
111  65.65327467 -018.07658581
111  65.65286834 -018.07651503
111  65.65287512 -018.07627810
113  65.65328280 -018.07634867
110 1 0.00 0.0000 Taxiway apron
111  65.65484711 -018.07202202 3 102
112  65.65480185 -018.07245495  65.65479648 -018.07264646 3 102
111  65.65478076 -018.07316080 3 102
111  65.65472161 -018.07513982 3
112  65.65470155 -018.07528167  65.65468152 -018.07533366 3
111  65.65462512 -018.07531691
111  65.65366274 -018.07513405
111  65.65362422 -018.07642493
111  65.65247206 -018.07620614
111  65.65247972 -018.07595023
111  65.65199097 -018.07585735
111  65.65197575 -018.07636675
111  65.65042136 -018.07607161
111  65.65048304 -018.07400158
111  65.65149639 -018.07419332
111  65.65187270 -018.07443101
111  65.65328611 -018.07469939
112  65.65340005 -018.07462665  65.65343751 -018.07453872
111  65.65343895 -018.07435453 3 102
111  65.65348121 -018.07293992 3 102
111  65.65406695 -018.07305176 3 102
111  65.65406775 -018.07302548 3 102
111  65.65410032 -018.07195484 3
114  65.65407233 -018.07187484  65.65404725 -018.07186810
111  65.65187983 -018.07620344
111  65.65189388 -018.07573231
111  65.65149878 -018.07565801
113  65.65148469 -018.07612833
110 1 0.00 12.0000 New Taxiway 4
111  65.66661957 -018.07326960 20
111  65.66665928 -018.07314940 20
111  65.66713994 -018.07323803 20
111  65.66713576 -018.07336761
111  65.66710408 -018.07434985 20
111  65.66710010 -018.07447370 20
111  65.66662110 -018.07438452 20
113  65.66658826 -018.07425187
110 1 0.00 12.0000 New Taxiway 4
111  65.64969925 -018.07104434 20 102
111  65.64965948 -018.07116510 20 102
111  65.64918346 -018.07107458 20 102
111  65.64922216 -018.06983907 20 102
111  65.64969850 -018.06993013 20 102
113  65.64973124 -018.07006287
130 Airport Boundary
111  65.65400352 -018.07879355
111  65.65225758 -018.07795936
111  65.65072815 -018.07647564
111  65.64913022 -018.07529315
111  65.64876021 -018.07010082
111  65.64908473 -018.06885302
111  65.65047617 -018.06924012
111  65.66772629 -018.07239702
111  65.66766166 -018.07418230
111  65.66837872 -018.07434606
111  65.66841089 -018.07394908
111  65.66843601 -018.07419336
111  65.66840386 -018.07450521
111  65.66765936 -018.07433828
111  65.66761353 -018.07566725
111  65.65486565 -018.07323347
113  65.65467588 -018.07797745
120 Linear Feature 7
111  65.65462536 -018.07527260 20
115  65.65392811 -018.07514015
120 Hold
111  65.65478076 -018.07316080 4
115  65.65406775 -018.07302548
120 Linear Feature 6
112  65.65435911 -018.07398779  65.65432055 -018.07405430 1
112  65.65426411 -018.07421050  65.65426044 -018.07429690
111  65.65426411 -018.07421050 1
115  65.65424911 -018.07468137
120 Linear Feature 5
112  65.65444724 -018.07401538  65.65446038 -018.07404657 1
112  65.65450803 -018.07427119  65.65450911 -018.07438181
111  65.65450803 -018.07427119 1
115  65.65449348 -018.07473011
120 Linear Feature 4
111  65.65440351 -018.07382379 1
112  65.65444724 -018.07401538  65.65448129 -018.07406919
111  65.65444724 -018.07401538
112  65.65444724 -018.07401538  65.65445687 -018.07403000 1
112  65.65448326 -018.07405160  65.65449551 -018.07406063
111  65.65448326 -018.07405160
112  65.65448326 -018.07405160  65.65456549 -018.07406808 1
111  65.65459695 -018.07407338
112  65.65459695 -018.07407338  65.65462187 -018.07407626 1
112  65.65468007 -018.07431418  65.65467439 -018.07449516 1
115  65.65466573 -018.07476369
120 Linear Feature 3
112  65.65446128 -018.07200232  65.65447434 -018.07170565 1
