A
1000 Generated by WorldEditor

1     78 1 0 KNFG Camp Pendleton MCAS
100 60.96 1 0 0.25 1 3 1 03  33.29921110 -117.36209079    0  305 2 0 0 0 21  33.31092510 -117.34826879    0  305 2 7 0 0
102 H7  33.30000834 -117.36258208  44.78 45.30 45.30 2 0 0 0.00 1
102 H8  33.30196918 -117.36032508  44.79 46.10 46.10 2 0 0 0.00 1
110 2 0.00 0.0000 New Taxiway 143
111  33.30423047 -117.35421448
112  33.30421200 -117.35424449  33.30420300 -117.35426501
111  33.30420006 -117.35428557
113  33.30420691 -117.35423097
110 4 0.00 0.0000 New Taxiway 115
111  33.30066496 -117.36378110
111  33.30074326 -117.36381828
111  33.30082692 -117.36384350
111  33.30089391 -117.36385126
111  33.30095374 -117.36384847
111  33.30099964 -117.36383767
111  33.30099225 -117.36390839
111  33.30088955 -117.36392253
111  33.30073367 -117.36393667
113  33.30060216 -117.36389866
110 2 0.00 61.4700 New Taxiway 113
111  33.30167980 -117.36032376
111  33.30197132 -117.35997213
111  33.30226283 -117.36032661
113  33.30196893 -117.36067682
110 2 0.00 61.4700 New Taxiway 112
111  33.29972022 -117.36258100
111  33.30001130 -117.36223880
111  33.30029637 -117.36258365
113  33.30000655 -117.36292662
110 4 0.00 0.0000 New Taxiway 94
111  33.30058414 -117.36372750
111  33.30066622 -117.36378098
111  33.30060852 -117.36390350
111  33.30053537 -117.36395212
113  33.30048120 -117.36388191
110 5 0.00 0.0000 New Taxiway 92
111  33.30813338 -117.35432949
112  33.30794741 -117.35438494  33.30783613 -117.35443407
111  33.30263979 -117.36063363
111  33.30260516 -117.36059001
112  33.30794292 -117.35431452  33.30803894 -117.35429503
113  33.30812756 -117.35427849
110 2 0.00 61.4700 New Taxiway 91
111  33.30896140 -117.35418663
111  33.30895179 -117.35432160
111  33.30873501 -117.35449486
111  33.30852222 -117.35450984
111  33.30835281 -117.35455910
111  33.30798146 -117.35417046
113  33.30849277 -117.35366634
110 5 0.00 0.0000 New Taxiway 90
111  33.30945257 -117.35293554
111  33.30868169 -117.35387942
111  33.30865407 -117.35384537
113  33.30942445 -117.35290326
110 2 0.00 0.0000 New Taxiway 86
111  33.31129112 -117.35020457
111  33.31136535 -117.35012921
112  33.31135169 -117.35019599  33.31135662 -117.35022774
113  33.31137619 -117.35025048
110 2 0.00 61.4700 New Taxiway 88
111  33.31207227 -117.34889750
111  33.31251814 -117.34930441
111  33.31182157 -117.35043798
113  33.31139746 -117.35006675
110 2 0.00 0.0000 New Taxiway 87
111  33.31144866 -117.35011159
112  33.31140982 -117.35009849  33.31138632 -117.35009819
111  33.31140982 -117.35009849
112  33.31140982 -117.35009849  33.31138251 -117.35010053
111  33.31136807 -117.35012532
113  33.31140914 -117.35002078
110 2 0.00 61.4700 New Taxiway 85
111  33.31120364 -117.35008993
111  33.31198188 -117.34881432
111  33.31207228 -117.34889757
113  33.31131809 -117.35021241
110 2 0.00 61.4700 New Taxiway 83
111  33.31101272 -117.35041084
112  33.31102896 -117.35032305  33.31102162 -117.35028518
111  33.31099391 -117.35027635
113  33.31121043 -117.35009136
110 2 0.00 61.4700 New Taxiway 84
111  33.31112694 -117.35010454
112  33.31119153 -117.35008446  33.31122411 -117.35006159
