I
1050 Generated by WorldEditor 2.0.0r4

1    280 1 0 RKTI Jungwon Airbase
1302 city Chungju
1302 country South Korea
1302 datum_lat 37.025
1302 datum_lon 127.885
1302 iata_code JWO
1302 icao_code RKTI
1302 region_code RK
1302 state Chungcheongbugdo
1302 transition_alt 14000
1302 transition_level 14000
100 36.58 2 0 0.25 0 3 0 18R  37.04269994  127.88270345   44  255 2 0 0 1 36L  37.01721037  127.88518828   42  257 2 7 0 1
100 46.00 2 0 0.25 0 3 0 18L  37.04245110  127.88533156    0  305 2 0 0 1 36R  37.01777953  127.88773862    0  305 3 7 0 1
110 2 0.00 175.0000 main concrete
111  37.04268097  127.88150694
112  37.04268097  127.88150694  37.04267381  127.88129315
111  37.04281828  127.88125490
111  37.04425843  127.88111487
112  37.04425843  127.88111487  37.04437714  127.88110838
111  37.04446561  127.88106182
111  37.04459692  127.88098685
111  37.04471435  127.88083624
111  37.04493327  127.88055545
112  37.04493327  127.88055545  37.04510518  127.88032141
111  37.04509347  127.88001870
111  37.04503918  127.87914388
112  37.04503918  127.87914388  37.04502002  127.87887184
111  37.04485344  127.87865313
111  37.04454423  127.87833575
112  37.04454423  127.87833575  37.04436913  127.87815772
111  37.04410249  127.87815639
111  37.04323276  127.87824688
111  37.04323276  127.87815354
111  37.04308958  127.87816844
111  37.04308958  127.87826178
111  37.04195576  127.87836642
111  37.04194778  127.87826974
111  37.04183847  127.87828111
111  37.04184645  127.87837779
111  37.04078452  127.87846941
111  37.03968729  127.87861579
112  37.03968729  127.87861579  37.03957287  127.87864179
111  37.03947494  127.87873446
111  37.03935679  127.87886248
111  37.03931585  127.87892291
111  37.03923823  127.87903748
111  37.03894486  127.87947053
112  37.03894486  127.87947053  37.03884853  127.87964321
111  37.03884427  127.87989590
111  37.03889363  127.88055890
111  37.03881291  127.88067911
111  37.03871766  127.88066787
111  37.03865713  127.88069305
111  37.03864935  127.88071280
111  37.03843562  127.88058307
111  37.03837233  127.88074370
111  37.03858606  127.88087343
111  37.03857752  127.88089511
111  37.03867211  127.88100920
111  37.03883839  127.88100556
111  37.03893258  127.88108216
111  37.03894007  127.88118268
112  37.03894007  127.88118268  37.03895284  127.88132670
111  37.03883150  127.88136603
111  37.03795536  127.88144184
111  37.03787027  127.88144921
111  37.03605017  127.88160670
112  37.03592298  127.88142869  37.03590009  127.88127002
111  37.03592298  127.88142869
111  37.03586390  127.88049132
111  37.03538201  127.88053640
111  37.03536534  127.88021495
111  37.03499554  127.88024955
111  37.03500887  127.88051672
111  37.03483262  127.88053321
111  37.03483595  127.88058748
111  37.03189083  127.88086300
111  37.03183721  127.88086801
111  37.03188335  127.88153240
111  37.03189517  127.88170269
111  37.03190693  127.88187200
112  37.03190693  127.88187200  37.03187021  127.88199134
111  37.03182816  127.88201667
111  37.02594371  127.88260382
112  37.02582547  127.88244872  37.02581589  127.88230440
111  37.02582547  127.88244872
111  37.02568967  127.88039130
111  37.02583904  127.88037008
111  37.02581428  127.88002096
111  37.02566490  127.88004218
111  37.02566258  127.88000944
111  37.02565300  127.87987433
111  37.02562757  127.87951590
111  37.02579027  127.87946830
111  37.02576094  127.87898766
111  37.02551349  127.87902953
111  37.02546220  127.87894327
111  37.02496054  127.87840232
112  37.02496054  127.87840232  37.02479343  127.87822634
111  37.02456990  127.87825367
111  37.02324417  127.87838299
112  37.02324417  127.87838299  37.02298452  127.87841263
111  37.02285069  127.87862105
112  37.02272686  127.87862229  37.02267364  127.87859229
111  37.02272686  127.87862229
111  37.02262158  127.87853848
111  37.02257906  127.87855011
111  37.02256835  127.87856574
111  37.02238855  127.87837697
111  37.02229383  127.87851517
111  37.02247363  127.87870394
111  37.02246190  127.87872106
111  37.02246238  127.87880092
111  37.02255949  127.87889718
111  37.02256712  127.87903532
111  37.02247406  127.87921488
112  37.02247406  127.87921488  37.02239103  127.87937885
111  37.02239742  127.87963882
111  37.02239742  127.87982279
111  37.02228611  127.87997406
111  37.02223791  127.87992820
111  37.02212293  127.88004321
111  37.02215167  127.88018669
111  37.02206374  127.88032565
111  37.02176737  127.88035420
111  37.02171410  127.88027586
111  37.02168326  127.88014078
111  37.02166542  127.88013210
111  37.02176589  127.87986849
111  37.02163287  127.87978597
111  37.02153239  127.88004958
111  37.02152127  127.88004285
111  37.02146304  127.88011767
111  37.02143656  127.88019277
111  37.02139792  127.88020547
111  37.02135909  127.88011592
111  37.02129273  127.88008822
111  37.02127962  127.88009498
111  37.02118866  127.87982342
111  37.02105225  127.87989368
111  37.02114321  127.88016523
111  37.02112637  127.88017391
111  37.02115111  127.88028659
111  37.02105981  127.88043027
111  37.02064779  127.88047936
111  37.02057442  127.88047088
111  37.02051380  127.88041091
111  37.02047692  127.88028271
111  37.02046381  127.88027474
111  37.02044774  127.88027554
111  37.02043822  127.87998147
111  37.02029441  127.87998867
111  37.02030393  127.88028274
111  37.02028408  127.88028373
111  37.02024491  127.88038533
