A
1000 Generated by WorldEditor

1     39 1 0 KJFK John F Kennedy Int'l
100 60.00 2 0 0.25 1 2 1 13R  40.64836321 -073.81669407  621  125 3 2 0 1 31L  40.62799639 -073.77177181  994  156 3 0 0 1
100 44.71 1 0 0.25 1 2 1 13L  40.65777464 -073.79024748  277  122 3 1 1 1 31R  40.64372727 -073.75927185  315   76 3 7 0 1
100 60.35 1 0 0.25 1 2 1 04R  40.62543679 -073.77034203    0  134 3 2 1 1 22L  40.64524391 -073.75486561    0  154 3 2 1 1
100 44.57 1 0 0.25 1 2 1 4L  40.62203161 -073.78558845    0   61 2 2 0 1 22R  40.64618788 -073.76671167  487  515 3 0 0 1
110 15 0.00 0.0000 New Taxiway 38
111  40.64696810 -073.79356505 20
111  40.64693305 -073.79363895 20
111  40.64687746 -073.79359931 20
111  40.64711177 -073.79307374 20
113  40.64716449 -073.79311274 20
110 15 0.00 0.0000 New Taxiway 37
111  40.64745412 -073.79241989 20
111  40.64720191 -073.79301702 20
111  40.64715090 -073.79297849 20
113  40.64740251 -073.79237756 20
110 15 0.00 0.0000 New Taxiway 36
111  40.64593631 -073.79178305 20
112  40.64602885 -073.79171604  40.64608300 -073.79164534 20
111  40.64612897 -073.79163462 20
112  40.64684570 -073.79136417  40.64693294 -073.79133132 20
111  40.64700229 -073.79138471 20
111  40.64733471 -073.79162852 20
112  40.64741403 -073.79172414  40.64744243 -073.79179008 20
111  40.64746744 -073.79182035 20
111  40.64757115 -073.79189510 20
112  40.64760854 -073.79188219  40.64762161 -073.79185499 20
111  40.64764363 -073.79179976 20
111  40.64769416 -073.79183684 20
111  40.64765355 -073.79192852 20
111  40.64766638 -073.79193881 20
111  40.64747396 -073.79238067 20
111  40.64741734 -073.79233901 20
112  40.64754178 -073.79204293  40.64756581 -073.79198779 20
111  40.64753910 -073.79197488 20
111  40.64743495 -073.79189275 20
112  40.64735216 -073.79177776  40.64732545 -073.79171323 20
111  40.64727203 -073.79168507 20
111  40.64723375 -073.79165926 20
112  40.64697113 -073.79146801  40.64691238 -073.79143281 20
111  40.64686609 -073.79145511 20
111  40.64663647 -073.79154065 20
111  40.64613075 -073.79172731 20
112  40.64605696 -073.79179406  40.64600678 -073.79185829 20
113  40.64590468 -073.79188031
110 15 0.00 0.0000 New Taxiway 21
111  40.64989253 -073.79154027 20
112  40.64992414 -073.79158370  40.64995409 -073.79160930 20
111  40.64999004 -073.79163342 20
111  40.65024421 -073.79182018 20
112  40.65030686 -073.79182394  40.65034328 -073.79181434
111  40.65023531 -073.79192685 20
112  40.65021993 -073.79189698  40.65020462 -073.79188516 20
111  40.64987516 -073.79164738 20
114  40.64985279 -073.79163755  40.64983741 -073.79163435
110 15 0.00 0.0000 New Taxiway 20
111  40.65035282 -073.79173672 20
111  40.65044382 -073.79152533 20
111  40.65049071 -073.79141124 20
111  40.65052649 -073.79132686 20
111  40.65056711 -073.79135768 20
113  40.65039294 -073.79176594 20
110 15 0.00 0.0000 New Taxiway 4
111  40.65121139 -073.79085865 20
112  40.65117701 -073.79091229  40.65115695 -073.79095958 20
111  40.64943064 -073.79501595
111  40.64937295 -073.79496536 20
111  40.65087547 -073.79143901 20
111  40.65102707 -073.79108735 20
112  40.65099700 -073.79096036  40.65094010 -073.79091657 20
111  40.65087045 -073.79086310 20
112  40.65076542 -073.79091264  40.65072175 -073.79101755 20
111  40.65062348 -073.79124946
111  40.65060793 -073.79126237 20
111  40.65056797 -073.79123196 20
111  40.65065877 -073.79101905 20
111  40.65070171 -073.79091682 20
111  40.65072565 -073.79086125 20
112  40.65091226 -073.79081188  40.65103888 -073.79090944 20
111  40.65103934 -073.79091591 20
112  40.65112295 -073.79089034  40.65115238 -073.79082951 20
113  40.65118245 -073.79073688 20
110 15 0.00 0.0000 New Taxiway 3
111  40.64917373 -073.79462829 20
