I
1050 Generated by WorldEditor 2.2.0r2

1    586 0 0 T30 Mc Kinley Fid
1302 gui_label 2D
100 18.29 1 0 0.25 0 1 0 13  28.82733066 -099.11438124   53    0 2 0 0 0 31  28.81717900 -099.10370128   48    0 2 0 0 0
110 2 0.00 0.0000 Taxiway 7
111  28.82737672 -099.11194204
111  28.82729020 -099.11190271
111  28.82730720 -099.11185388
111  28.82725377 -099.11183013
111  28.82726565 -099.11179582
111  28.82731909 -099.11181975
111  28.82736920 -099.11167590
111  28.82731569 -099.11165129
111  28.82732723 -099.11161796
111  28.82738113 -099.11164165
111  28.82743099 -099.11149853
111  28.82737727 -099.11147342
111  28.82738902 -099.11143947
111  28.82744328 -099.11146325
111  28.82745745 -099.11142256
111  28.82754331 -099.11146143
111  28.82749849 -099.11159073
111  28.82754891 -099.11161380
111  28.82753660 -099.11164896
111  28.82748642 -099.11162556
111  28.82743691 -099.11176840
111  28.82748675 -099.11179131
111  28.82747508 -099.11182466
113  28.82742518 -099.11180223
110 2 0.00 0.0000 Taxiway 6
111  28.82707222 -099.11156599
111  28.82720384 -099.11162674
111  28.82718698 -099.11167230
111  28.82714843 -099.11178641
111  28.82714155 -099.11180632
113  28.82700893 -099.11174560
110 2 0.00 0.0000 Taxiway 5
111  28.82662609 -099.11190102
111  28.82689037 -099.11201854
111  28.82687578 -099.11206167
111  28.82682861 -099.11220113
111  28.82680511 -099.11227115
111  28.82672579 -099.11223529
111  28.82673478 -099.11220760
113  28.82654766 -099.11212597
110 2 0.00 0.0000 Taxiway 4
111  28.82571533 -099.11177195
111  28.82568510 -099.11176225
111  28.82572194 -099.11161023
111  28.82579373 -099.11162963
111  28.82578617 -099.11165982
111  28.82599928 -099.11172127
111  28.82595809 -099.11190672
113  28.82570246 -099.11183389
110 1 0.00 0.0000 Taxiway 3
111  28.82484063 -099.11163411
111  28.82559978 -099.11200234
111  28.82563835 -099.11199425
111  28.82570246 -099.11183389
111  28.82595809 -099.11190672
111  28.82596282 -099.11200979
111  28.82598590 -099.11206371
111  28.82601854 -099.11207871
111  28.82621435 -099.11209494
111  28.82630159 -099.11208777
111  28.82655090 -099.11219055
111  28.82665916 -099.11221254
111  28.82672579 -099.11223529
111  28.82680511 -099.11227115
111  28.82684366 -099.11228829
111  28.82686522 -099.11228214
111  28.82688265 -099.11222388
111  28.82682861 -099.11220113
111  28.82687578 -099.11206167
111  28.82705515 -099.11214415
111  28.82709569 -099.11212959
111  28.82720411 -099.11182697
111  28.82718543 -099.11180305
111  28.82714843 -099.11178641
111  28.82718698 -099.11167230
111  28.82724624 -099.11169958
111  28.82736043 -099.11137174
111  28.82740500 -099.11139332
111  28.82738902 -099.11143947
111  28.82737727 -099.11147342
111  28.82732723 -099.11161796
111  28.82731569 -099.11165129
111  28.82726565 -099.11179582
111  28.82725377 -099.11183013
111  28.82715947 -099.11210255
111  28.82718179 -099.11217378
111  28.82728329 -099.11221885
111  28.82735223 -099.11217552
111  28.82747508 -099.11182466
111  28.82748675 -099.11179131
111  28.82753660 -099.11164896
111  28.82754891 -099.11161380
111  28.82756557 -099.11156621
111  28.82761234 -099.11158753
111  28.82727563 -099.11253412
111  28.82735671 -099.11262355
111  28.82751751 -099.11286742
111  28.82736946 -099.11321631
111  28.82680780 -099.11294593
111  28.82677044 -099.11295685
111  28.82644292 -099.11321475
111  28.82643836 -099.11331718
111  28.82628394 -099.11315703
111  28.82630261 -099.11314611
111  28.82632311 -099.11315079
111  28.82664617 -099.11289851
111  28.82665592 -099.11287157
111  28.82599422 -099.11255440
111  28.82605162 -099.11237866
111  28.82604296 -099.11235422
111  28.82516425 -099.11192942
113  28.82514147 -099.11195230
110 1 0.00 0.0000 Taxiway 2
111  28.81736943 -099.10402309
111  28.81725464 -099.10416721
111  28.81701303 -099.10390829
113  28.81712946 -099.10377103
110 1 0.00 0.0000 Taxiway 1
111  28.82727376 -099.11444383
111  28.82712835 -099.11447128
111  28.82699771 -099.11434087
113  28.82692665 -099.11407819
130 Airport Boundary
111  28.82508340 -099.11384817
111  28.82545229 -099.11341408
111  28.82483204 -099.11268190
111  28.82428850 -099.11289988
111  28.81611813 -099.10329772
111  28.81706301 -099.10218070
111  28.82263560 -099.10867355
111  28.82538918 -099.11156775
111  28.82726201 -099.11125869
111  28.82744534 -099.11114923
111  28.82790509 -099.11145185
111  28.82765124 -099.11213757
111  28.82798124 -099.11300357
111  28.82764278 -099.11309049
111  28.82803201 -099.11475489
113  28.82628893 -099.11526033
120 Linear Feature 9
111  28.82559012 -099.11199661 4
115  28.82554762 -099.11211521
120 Linear Feature 8
111  28.82652861 -099.11299037 4
115  28.82659346 -099.11309617
120 Linear Feature 11
111  28.82615735 -099.11233246 1
115  28.82530722 -099.11193245
120 Linear Feature 10
111  28.82685972 -099.11281267 1
115  28.82640055 -099.11317331
14  28.82754512 -099.11259734  82.02 0 Tower Viewpoint
1300  28.82621188 -099.11257621  68.75 tie_down props GA Ramp 02
1301 A general_aviation 
1300  28.82607855 -099.11251174  68.75 tie_down props GA Ramp 01
1301 A general_aviation 
1300  28.82740765 -099.11177448 338.77 hangar props Hangar 08
1301 A none 
1300  28.82746832 -099.11159524 338.77 hangar props Hangar 07
1301 A none 
1300  28.82746086 -099.11149097 158.77 hangar props Hangar 06
1301 A none 
1300  28.82739851 -099.11166933 158.77 hangar props Hangar 05
1301 A none 
1300  28.82733632 -099.11184806 158.77 hangar props Hangar 04
1301 A none 
1300  28.82713144 -099.11169439 339.12 hangar props Hangar 03
1301 A none 
1300  28.82679091 -099.11211019 338.90 hangar props Hangar 02
1301 A none 
1300  28.82586224 -099.11181661 255.62 hangar props Hangar 01
1301 A none 
18  28.82768713 -099.11239612 1 Airport Beacon
19  28.82642715 -099.11282788 1 Windsock
51 12280 Mc Kinley Unicom
99
