I
1050 Generated by WorldEditor 2.3.0r2

1   2354 0 0 CBR2 Kaslo
100 18.29 1 0 0.25 0 0 0 07  49.90382266 -116.94560086    0    0 1 0 0 0 25  49.90342747 -116.92930451    0    0 1 0 0 0
110 5 0.00 0.0000 New Taxiway 44
111  49.90429573 -116.92969306
111  49.90432513 -116.92997072
111  49.90433767 -116.93023349
111  49.90423258 -116.93023529
113  49.90421994 -116.92969627
110 2 0.00 0.0000 New Taxiway 43
111  49.90433843 -116.93024946
111  49.90433767 -116.93023349
111  49.90432513 -116.92997072
111  49.90451606 -116.92995007
113  49.90452936 -116.93022882
110 5 0.00 0.0000 New Taxiway 42
111  49.90403794 -116.93032354
111  49.90404179 -116.93040561
111  49.90405355 -116.93040514
111  49.90405352 -116.93041147
111  49.90405458 -116.93058105
111  49.90405193 -116.93061233
111  49.90405273 -116.93076792
111  49.90405256 -116.93079420
111  49.90397450 -116.93079265
113  49.90398015 -116.93032969
110 2 0.00 0.0000 New Taxiway 41
111  49.90409174 -116.93076614
111  49.90405273 -116.93076792
111  49.90405193 -116.93061233
111  49.90409094 -116.93061055
111  49.90409119 -116.93065967
111  49.90412725 -116.93065720
111  49.90412754 -116.93071359
113  49.90409148 -116.93071606
110 2 0.00 0.0000 New Taxiway 41
111  49.90408882 -116.93057968
111  49.90405458 -116.93058105
111  49.90405352 -116.93041147
111  49.90408776 -116.93041010
111  49.90408809 -116.93046210
111  49.90411513 -116.93046004
111  49.90411546 -116.93051272
113  49.90408842 -116.93051478
110 2 0.00 0.0000 New Taxiway 40
111  49.90403878 -116.92970393
112  49.90401182 -116.92979136  49.90401182 -116.92983807
111  49.90401182 -116.92979136
111  49.90402083 -116.92997508
111  49.90416209 -116.92996586
111  49.90414787 -116.92969931
111  49.90421994 -116.92969627
111  49.90423258 -116.93023529
111  49.90415328 -116.93026847
111  49.90415802 -116.93040093
111  49.90405355 -116.93040514
111  49.90404179 -116.93040561
111  49.90403794 -116.93032354
111  49.90398015 -116.93032969
111  49.90395482 -116.92980243
112  49.90395482 -116.92980243  49.90394429 -116.92974481
113  49.90389228 -116.92971012
110 2 0.00 0.0000 New Taxiway 39
111  49.90459181 -116.92902518
111  49.90458466 -116.92882545
111  49.90471341 -116.92881646
113  49.90472055 -116.92901618
110 1 0.00 0.0000 New Taxiway 38
111  49.90350973 -116.92957409
111  49.90392770 -116.92954336
111  49.90404802 -116.92934180
111  49.90404275 -116.92906353
111  49.90459181 -116.92902518
111  49.90472055 -116.92901618
111  49.90472906 -116.92901559
111  49.90473777 -116.92967437
111  49.90429573 -116.92969306
111  49.90421994 -116.92969627
111  49.90414787 -116.92969931
111  49.90403878 -116.92970393
111  49.90389228 -116.92971012
111  49.90364459 -116.92972060
113  49.90351794 -116.92989881
130 Airport Boundary 45
111  49.90404675 -116.94604168
111  49.90350547 -116.94610040
111  49.90322946 -116.92793524
111  49.90395748 -116.92790222
111  49.90420217 -116.92874876
111  49.90484207 -116.92874876
111  49.90489994 -116.92978453
111  49.90424302 -116.93089427
111  49.90390298 -116.93188022
113  49.90378011 -116.93324588
1300  49.90448367 -116.92916185 -87.41 tie_down props Apron 4
1301 A general_aviation 
1300  49.90436097 -116.92917168 -87.41 tie_down props Apron 3
1301 A general_aviation 
1300  49.90423748 -116.92918274 -87.41 tie_down props Apron 2
1301 A general_aviation 
1300  49.90411320 -116.92919135 -87.41 tie_down props Apron 1
1301 A general_aviation 
1300  49.90405750 -116.93048844 -179.57 hangar props Hangar 2
1301 A none 
1300  49.90405882 -116.93068848 -179.57 hangar props Hangar 1
1301 A none 
1300  49.90413725 -116.93017475   4.23 hangar props Hangar 3-B
1301 A none 
1300  49.90465570 -116.92898836 -87.47 hangar turboprops|props Hangar 5
1301 A none 
1300  49.90435030 -116.93010321 -175.85 hangar turboprops|props Hangar 4
1301 A none 
1300  49.90404150 -116.93006237 -175.77 hangar props Hangar 3-C
1301 A none 
1300  49.90405404 -116.93031023 -175.77 hangar props Hangar 3-A
1301 A none 
19  49.90395708 -116.93084028 1 New Windsock 14
51 12320 Kaslo Traffic
99
