A
1100 Generated by WorldEditor 1.6.0r1

1    641 0 0 KSLH CHEBOYGAN CO
100 22.86 1 0 0.25 0 2 0 10  45.65418013 -084.52722762    0    0 2 0 0 1 28  45.65420032 -084.51156634    0    0 2 0 0 1
100 18.29 1 0 0.25 0 2 0 17  45.65522550 -084.51996567    0    0 1 0 0 0 35  45.65024734 -084.51805910    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 13
111  45.65028332 -084.52166053
111  45.65028262 -084.52145830
111  45.65034560 -084.52145845
111  45.65067383 -084.52145927
113  45.65067236 -084.52166750
110 2 0.00 0.0000 New Taxiway 12
111  45.65004827 -084.52191526
111  45.65067460 -084.52191527
111  45.65067437 -084.52213752
113  45.65004579 -084.52213499
110 2 0.00 0.0000 New Taxiway 11
111  45.65018986 -084.52262650
111  45.65019013 -084.52286523
111  45.65004397 -084.52286402
113  45.65004414 -084.52262736
110 2 0.00 0.0000 New Taxiway 10
111  45.65036922 -084.52262548
111  45.65036947 -084.52286689
111  45.65022559 -084.52286605
113  45.65022680 -084.52262629
110 2 0.00 0.0000 New Taxiway 9
111  45.65055582 -084.52262441
111  45.65055548 -084.52270612
111  45.65055466 -084.52290333
111  45.65040958 -084.52290249
113  45.65040957 -084.52262524
110 2 0.00 0.0000 New Taxiway 8
111  45.65082026 -084.52414255
111  45.65074586 -084.52413975
111  45.65075174 -084.52388277
113  45.65082516 -084.52388837
110 1 0.00 0.0000 New Taxiway 7
111  45.65026863 -084.51794540
111  45.65030152 -084.51775970
111  45.65057642 -084.51786557
113  45.65067099 -084.51810253
110 1 0.00 0.0000 New Taxiway 4
111  45.65448658 -084.51980412
112  45.65429169 -084.52000115  45.65425899 -084.52020581
111  45.65429169 -084.52000115
111  45.65408785 -084.51982534
112  45.65398882 -084.51961131  45.65392445 -084.51956600
111  45.65398882 -084.51961131
111  45.65389042 -084.51933275
112  45.65389042 -084.51933275  45.65404779 -084.51935175
111  45.65408787 -084.51907682
111  45.65428891 -084.51922135
112  45.65428891 -084.51922135  45.65435022 -084.51950389
113  45.65452876 -084.51957677
110 1 0.00 0.0000 New Taxiway 3
111  45.65408117 -084.52524249
111  45.65397357 -084.52504570
111  45.65397325 -084.52474933
113  45.65408321 -084.52455657
110 1 0.00 0.0000 New Taxiway 2
111  45.65407730 -084.52722728
111  45.65397373 -084.52722619
111  45.65397231 -084.52682011
113  45.65408100 -084.52660678
110 1 0.00 0.0000 New Taxiway 1
111  45.65123310 -084.51855659 3 102
112  45.65107025 -084.51870042  45.65103007 -084.51882848
111  45.65107025 -084.51870042 3 102
111  45.65104205 -084.51885380 3 102
111  45.65092144 -084.51950973 3 102
112  45.65090649 -084.51968763  45.65090473 -084.51978930
111  45.65090649 -084.51968763 3 102
111  45.65091010 -084.52096901
112  45.65091010 -084.52096901  45.65091522 -084.52109627 3 102
111  45.65098421 -084.52112499
111  45.65102856 -084.52112815
111  45.65112582 -084.52240780
112  45.65112582 -084.52240780  45.65117113 -084.52284688
111  45.65149248 -084.52294604 3 102
111  45.65149489 -084.52375866
112  45.65149489 -084.52375866  45.65150658 -084.52388620 3 102
111  45.65161684 -084.52391066 3 102
111  45.65287276 -084.52391538
112  45.65287276 -084.52391538  45.65303958 -084.52389518 3 102
111  45.65303959 -084.52364435 3 102
111  45.65303933 -084.51966297 3 102
111  45.65303932 -084.51946189 3 102
112  45.65295321 -084.51921474  45.65288386 -084.51915405
111  45.65295321 -084.51921474
111  45.65331302 -084.51934822 3 102
112  45.65313819 -084.51965791  45.65313871 -084.51994435
111  45.65313819 -084.51965791 3 102
111  45.65313877 -084.52365584
112  45.65313877 -084.52365584  45.65314283 -084.52389253 3 102
111  45.65327121 -084.52391485 3 102
111  45.65376636 -084.52391473 3 102
111  45.65394033 -084.52391469
112  45.65394033 -084.52391469  45.65407003 -084.52391570 3 102
111  45.65408381 -084.52372575
111  45.65408406 -084.52424008 3 102
112  45.65394695 -084.52407106  45.65382995 -084.52405997
111  45.65394695 -084.52407106 3 102
111  45.65376392 -084.52407067 3 102
111  45.65095135 -084.52406465
111  45.65095043 -084.52354115
111  45.65094971 -084.52312733
111  45.65094934 -084.52291533
111  45.65075182 -084.52270314
111  45.65055548 -084.52270612
111  45.65055582 -084.52262441
111  45.65040957 -084.52262524
111  45.65036922 -084.52262548
111  45.65022680 -084.52262629
111  45.65018986 -084.52262650
111  45.65004414 -084.52262736
111  45.65004579 -084.52213499
111  45.65067437 -084.52213752
111  45.65067460 -084.52191527
111  45.65004827 -084.52191526
111  45.65004997 -084.52165984
111  45.65028332 -084.52166053
111  45.65067236 -084.52166750
111  45.65067383 -084.52145927
111  45.65034560 -084.52145845
111  45.65034605 -084.52129871
111  45.65066530 -084.52130274
111  45.65066528 -084.52112441
111  45.65075182 -084.52112694
112  45.65075182 -084.52112694  45.65083053 -084.52108829 3 102
111  45.65084248 -084.52097286 3 102
111  45.65084011 -084.51968208
112  45.65084011 -084.51968208  45.65084069 -084.51954679 3 102
111  45.65085776 -084.51945727 3 102
111  45.65097582 -084.51882541 3 102
111  45.65100256 -084.51868226
112  45.65100256 -084.51868226  45.65100820 -084.51852899 3 102
113  45.65092486 -084.51843930
110 2 0.00 0.0000 New Taxiway 27
111  45.65086295 -084.52333166
111  45.65076404 -084.52333264
