I
1050 Generated by WorldEditor 2.1.0r1

1     20 0 0 X13 Carrabelle-Thompson
100 22.86 1 0 0.25 0 2 0 5  29.83894904 -084.70646606    0    0 0 0 0 0 23  29.84502817 -084.69580652    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 12
111  29.84370844 -084.69595987
111  29.84379097 -084.69602150
111  29.84360308 -084.69635425
111  29.84351989 -084.69629252
111  29.84357830 -084.69618947
111  29.84358956 -084.69616961
111  29.84364206 -084.69607699
113  29.84365302 -084.69605765
110 2 0.00 0.0000 New Taxiway 11
111  29.84344386 -084.69642667
111  29.84352626 -084.69648714
111  29.84331584 -084.69686577
113  29.84323089 -084.69680241
110 2 0.00 0.0000 New Taxiway 10
111  29.84337262 -084.69613420
111  29.84328180 -084.69606469
111  29.84343027 -084.69580238
111  29.84352149 -084.69586998
113  29.84340635 -084.69607434
110 2 0.00 0.0000 New Taxiway 8
111  29.84305226 -084.69667241
111  29.84297145 -084.69661447
111  29.84318324 -084.69623507
113  29.84326318 -084.69629366
110 2 0.00 0.0000 New Taxiway 3
111  29.84391382 -084.69507655
111  29.84401690 -084.69489423
111  29.84402992 -084.69490411
111  29.84406486 -084.69484604
111  29.84414675 -084.69490727
111  29.84410152 -084.69498548
111  29.84424029 -084.69509252
111  29.84418752 -084.69518653
112  29.84418752 -084.69518653  29.84416354 -084.69525921
113  29.84421673 -084.69531231
110 1 0.00 0.0000 New Taxiway 2
111  29.83902891 -084.70620573
111  29.83896301 -084.70614922
111  29.84167619 -084.70137889
111  29.84281004 -084.69940721
111  29.84470332 -084.69605657
111  29.84457586 -084.69595561
111  29.84468600 -084.69575896
111  29.84468690 -084.69575735
111  29.84466019 -084.69573745
111  29.84418976 -084.69538694
112  29.84418976 -084.69538694  29.84413208 -084.69535468
111  29.84409303 -084.69541118
111  29.84378360 -084.69594961
111  29.84374404 -084.69591971
111  29.84373564 -084.69593315
111  29.84372020 -084.69593912
111  29.84370844 -084.69595987
111  29.84365302 -084.69605765
112  29.84365302 -084.69605765  29.84363944 -084.69604808
112  29.84364206 -084.69607699  29.84365359 -084.69608895
111  29.84364206 -084.69607699
111  29.84358956 -084.69616961
112  29.84358956 -084.69616961  29.84357746 -084.69616070
112  29.84357830 -084.69618947  29.84359020 -084.69620090
111  29.84357830 -084.69618947
111  29.84351989 -084.69629252
111  29.84344386 -084.69642667
111  29.84323089 -084.69680241
111  29.84305226 -084.69667241
111  29.84326318 -084.69629366
111  29.84334729 -084.69614263
111  29.84336793 -084.69614252
111  29.84337262 -084.69613420
111  29.84340635 -084.69607434
111  29.84352149 -084.69586998
111  29.84343027 -084.69580238
111  29.84383107 -084.69511131
112  29.84383107 -084.69511131  29.84383452 -084.69510316
111  29.84382466 -084.69508792
111  29.84380444 -084.69506964 20
111  29.84383865 -084.69501805
111  29.84391382 -084.69507655
111  29.84421673 -084.69531231
111  29.84469910 -084.69566929
111  29.84478738 -084.69573461
112  29.84478738 -084.69573461  29.84483763 -084.69574515
111  29.84485019 -084.69573066
111  29.84487760 -084.69568853
111  29.84492328 -084.69572210
113  29.84499095 -084.69579189
110 1 0.00 0.0000 New Taxiway 1
111  29.84508339 -084.69586547
111  29.84513815 -084.69590347
111  29.83921891 -084.70627711
112  29.83921891 -084.70627711  29.83921352 -084.70628491
111  29.83920457 -084.70628582
111  29.83935262 -084.70638875
111  29.83920191 -084.70665852
113  29.83899377 -084.70649957
130 Boundary
111  29.83719562 -084.70865590
111  29.83685251 -084.70801188
111  29.83758004 -084.70677031
111  29.83730511 -084.70640054
111  29.84407084 -084.69445323
111  29.84474163 -084.69494034
111  29.84709487 -084.69142712
111  29.84735962 -084.69206401
111  29.84754291 -084.69207575
111  29.84762182 -084.69229881
111  29.84741308 -084.69314995
111  29.83782476 -084.70969344
111  29.83748533 -084.70993188
111  29.83704175 -084.71072973
111  29.83681872 -084.71094202
111  29.83647907 -084.71145387
111  29.83628264 -084.71159185
111  29.83615988 -084.71155883
111  29.83597879 -084.71143971
111  29.83593787 -084.71129111
113  29.83592969 -084.71120266
