I
1050 Generated by WorldEditor

1    232 1 0 KNLC LEMOORE NAS
100 60.96 2 2 0.00 1 3 1 14L  36.36411744 -119.96067095    0  305 3 9 0 1 32R  36.33024544 -119.94202082    0  305 3 9 0 1
100 60.96 2 2 0.00 1 3 1 14R  36.33591744 -119.96224282    0  305 3 9 0 1 32L  36.30205044 -119.94360082    0  305 3 9 0 1
102 H3  36.33256073 -119.94931546 336.11 47.90 30.20 2 0 0 0.00 1
102 H2  36.33244905 -119.94962550 336.11 47.90 30.20 2 0 0 0.00 1
102 H1  36.33233939 -119.94993806 336.11 47.90 30.20 2 0 0 0.00 1
110 1 0.00 0.0000 New Taxiway 455
111  36.33206254 -119.95256820
111  36.33215571 -119.95230717
111  36.33213178 -119.95229444
111  36.33216432 -119.95220317
111  36.33220585 -119.95208669
111  36.33237732 -119.95218146
111  36.33235229 -119.95224982
111  36.33220836 -119.95217369
111  36.33220085 -119.95220010
111  36.33299715 -119.95264193
111  36.33305469 -119.95249154
111  36.33346509 -119.95271336
111  36.33340905 -119.95287127
111  36.33421613 -119.95331423
113  36.33408713 -119.95367953
110 1 0.00 0.0000 New Taxiway 454
111  36.33589887 -119.95743212
111  36.33654521 -119.95564752
111  36.33672178 -119.95574885
113  36.33607320 -119.95753018
110 1 0.00 0.0000 New Taxiway 454
111  36.33626471 -119.95762892
111  36.33691104 -119.95584432
111  36.33708762 -119.95594565
113  36.33643904 -119.95772698
110 1 0.00 0.0000 New Taxiway 453
111  36.33612296 -119.95480889
111  36.33621466 -119.95454939
111  36.33618746 -119.95453781
111  36.33622632 -119.95442688
111  36.33624730 -119.95443942
111  36.33630624 -119.95428026
111  36.33671174 -119.95450087
111  36.33665667 -119.95466401
111  36.33746443 -119.95510814
113  36.33733581 -119.95547573
110 1 0.00 0.0000 New Taxiway 22
111  36.32603519 -119.94742001
111  36.32522345 -119.94698821
111  36.32541218 -119.94647738
113  36.32622164 -119.94692047
110 1 0.00 0.0000 New Taxiway 21
111  36.32618981 -119.94722245
111  36.32630123 -119.94694869
111  36.32670141 -119.94717729
113  36.32659909 -119.94744541
110 1 0.00 0.0000 New Taxiway 13
111  36.33425742 -119.95224950
111  36.33343753 -119.95180892
111  36.33338379 -119.95195004
111  36.33296004 -119.95171911
111  36.33302412 -119.95157799
111  36.33278169 -119.95144079
111  36.33275418 -119.95149668
111  36.33263162 -119.95142527
111  36.33265663 -119.95137249
111  36.33220842 -119.95113199
111  36.33235067 -119.95077511
111  36.33437432 -119.95188059
113  36.33427224 -119.95220396
110 1 0.00 0.0000 New Taxiway 17
111  36.33161262 -119.95187951
111  36.33167192 -119.95171126
111  36.33175098 -119.95174982
113  36.33168886 -119.95191631
110 1 0.00 0.0000 New Taxiway 16
111  36.33141355 -119.95211084
111  36.33144320 -119.95204424
111  36.33158580 -119.95213888
113  36.33156744 -119.95220022
110 1 0.00 0.0000 New Taxiway 15
111  36.33163755 -119.95221534
111  36.33164951 -119.95218565
111  36.33160510 -119.95216233
111  36.33162218 -119.95210931
111  36.33167001 -119.95213476
111  36.33169393 -119.95206690
111  36.33175030 -119.95209659
113  36.33169051 -119.95224291
110 1 0.00 0.0000 New Taxiway 27
111  36.32509551 -119.95233386
111  36.32514803 -119.95216932
111  36.32536564 -119.95229661
111  36.32564577 -119.95154844
111  36.32586337 -119.95166951
113  36.32553071 -119.95256670
110 1 0.00 0.0000 New Taxiway 26
111  36.32567328 -119.95265983
111  36.32572330 -119.95254186
111  36.32597092 -119.95268156
113  36.32592339 -119.95279643
110 1 0.00 0.0000 New Taxiway 25
111  36.32567078 -119.95242700
111  36.32587837 -119.95185578
111  36.32618602 -119.95203273
111  36.32613756 -119.95216678
111  36.32605621 -119.95239185
113  36.32597842 -119.95260705
110 1 0.00 0.0000 New Taxiway 24
111  36.32590839 -119.95184336
111  36.32612849 -119.95123178
111  36.32649366 -119.95143357
111  36.32635732 -119.95181386
113  36.32627106 -119.95205446
110 1 0.00 0.0000 New Taxiway 23
111  36.32589466 -119.95069082
111  36.32587913 -119.95072552
111  36.32580148 -119.95068890
111  36.32592416 -119.95029373
111  36.32617731 -119.95043252
113  36.32605772 -119.95077564
110 1 0.00 0.0000 New Taxiway 34
111  36.33099102 -119.95045058
111  36.33017873 -119.95000844
111  36.33011881 -119.95015720
111  36.32970600 -119.94993819
111  36.32976593 -119.94978117
111  36.32895697 -119.94932663
111  36.32909346 -119.94896299
113  36.33111752 -119.95008281
110 1 0.00 0.0000 New Taxiway 33
111  36.32819915 -119.95044970
111  36.32823365 -119.95035672
111  36.32834013 -119.95006971
111  36.32915382 -119.95051968
111  36.32920618 -119.95035968
111  36.32962108 -119.95057968
111  36.32956066 -119.95073968
111  36.33037032 -119.95117968
113  36.33023739 -119.95155967
110 1 0.00 0.0000 New Taxiway 32
111  36.32893426 -119.95256445
111  36.32925808 -119.95164786
111  36.32943362 -119.95173802
113  36.32910374 -119.95266212
110 1 0.00 0.0000 New Taxiway 31
111  36.32873451 -119.95310539
111  36.32889491 -119.95265837
111  36.32907045 -119.95275228
113  36.32891005 -119.95321058
110 1 0.00 0.0000 New Taxiway 30
111  36.32915216 -119.95333079
111  36.32931256 -119.95288752
