I
1050 Generated by WorldEditor 2.1.0r1

1      6 0 0 MXCA Xcalak Airstrip
100 25.00 1 0 0.00 0 0 1 11  18.26913676 -087.86035219    0    0 2 0 0 0 29  18.26432013 -087.85007065    0    0 2 0 0 0
110 1 0.00 0.0000 New Taxiway 8
111  18.26857035 -087.85876898 3
112  18.26863212 -087.85880303  18.26865724 -087.85880801 3
111  18.26868638 -087.85879795 3
111  18.26893270 -087.85866871 3
111  18.26908150 -087.85858935 20
111  18.26897557 -087.85836735 20
111  18.26928066 -087.85820560
111  18.26934845 -087.85827030
111  18.26955819 -087.85871652
111  18.26923722 -087.85889612 20
111  18.26913659 -087.85869198 3
111  18.26898194 -087.85877077 3
111  18.26871328 -087.85890839 3
112  18.26868912 -087.85897191  18.26868657 -087.85901424
111  18.26868912 -087.85897191
112  18.26868912 -087.85897191  18.26868657 -087.85902078 3
113  18.26869686 -087.85904565
110 1 0.00 0.0000 New Taxiway 6
111  18.26918492 -087.86083023
111  18.26900598 -087.86047260
111  18.26415418 -087.85016760
111  18.26398871 -087.84981180
111  18.26429909 -087.84966455
111  18.26450989 -087.85008845
111  18.26857035 -087.85876898
111  18.26869686 -087.85904565
111  18.26945591 -087.86061433
111  18.26926876 -087.86075099
113  18.26927494 -087.86078352
111  18.26923746 -087.86029975
111  18.26442098 -087.85001868
111  18.26421946 -087.85012311
113  18.26903591 -087.86040446
130 Airport Boundary 13
111  18.26953418 -087.86076795
111  18.26917253 -087.86095901
111  18.26388807 -087.84985257
111  18.26390705 -087.84972933
111  18.26422019 -087.84955612
111  18.26432458 -087.84960609
111  18.26855758 -087.85850728
111  18.26928113 -087.85815652
111  18.26946698 -087.85807126
111  18.26974669 -087.85873949
111  18.26961009 -087.85880272
111  18.26945194 -087.85881271
111  18.26923685 -087.85892597
111  18.26884841 -087.85920123
113  18.26953110 -087.86060209
120 Linear Feature 10
111  18.26893270 -087.85866871 4
115  18.26898194 -087.85877077
120 Linear Feature 9
111  18.26911302 -087.85863649 1
115  18.26866853 -087.85886921
120 Linear Feature 12
111  18.26866853 -087.85886921 1
116  18.26857795 -087.85911370  18.26861290 -087.85929665
120 Linear Feature 11
111  18.26866853 -087.85886921 1
116  18.26844659 -087.85884820  18.26835125 -087.85876119
14  18.26962918 -087.85861072  49.21 0 New Tower Viewpoint 7
1300  18.26927080 -087.85876843  83.01 tie_down jets|turboprops|props GA Stand 04
1301 A general_aviation 
1300  18.26940174 -087.85870551  81.76 tie_down jets|turboprops|props GA Stand 03
1301 A general_aviation 
1300  18.26925047 -087.85834675 260.51 tie_down jets|turboprops|props GA Stand 02
1301 A general_aviation 
1300  18.26910174 -087.85840565 -99.72 tie_down jets|turboprops|props GA Stand 01
1301 A general_aviation 
19  18.26886864 -087.85904101 0 New Windsock 8
51 12880 Xcalak Unicom
99
