I
1050 Generated by WorldEditor 2.2.0r2

1    286 0 0 51R Madisonville Muni
100 15.24 1 0 0.25 0 2 0 18  30.91717880 -095.95110326    0    0 1 0 0 0 36  30.90850300 -095.95289188    0    0 1 0 0 0
110 1 0.00 0.0000 Taxiway 1
111  30.91703091 -095.95105450
111  30.91703038 -095.95105246
112  30.91703038 -095.95105246  30.91706920 -095.95102633
112  30.91706921 -095.95087750  30.91705588 -095.95082037
111  30.91706921 -095.95087750
112  30.91706921 -095.95087750  30.91705437 -095.95082403
112  30.91698328 -095.95073098  30.91693876 -095.95069986
111  30.91698328 -095.95073098
112  30.91698328 -095.95073098  30.91693800 -095.95069933
112  30.91678527 -095.95077296  30.91669637 -095.95084636
111  30.91678527 -095.95077296
111  30.91657114 -095.95100845
112  30.91657114 -095.95100845  30.91653800 -095.95107198
112  30.91660787 -095.95113975  30.91664134 -095.95114914
111  30.91660787 -095.95113975
111  30.91660897 -095.95114238
111  30.91625114 -095.95121612
111  30.91625042 -095.95121171
112  30.91625042 -095.95121171  30.91630292 -095.95117754
111  30.91638496 -095.95108960
111  30.91673932 -095.95070529
112  30.91673932 -095.95070529  30.91685891 -095.95058805
112  30.91702792 -095.95065400  30.91709884 -095.95071021
111  30.91702792 -095.95065400
112  30.91702792 -095.95065400  30.91708698 -095.95070081
112  30.91714535 -095.95084465  30.91716350 -095.95090945
111  30.91714535 -095.95084465
111  30.91717630 -095.95103959
113  30.91716965 -095.95104881
110 1 0.00 0.0000 Taxiway 2
111  30.91382331 -095.95140944
111  30.91381141 -095.95133719
111  30.91375330 -095.95114898
111  30.91374341 -095.95103774
111  30.91423736 -095.95094329
111  30.91427408 -095.95093627
111  30.91437213 -095.95091752
112  30.91437213 -095.95091752  30.91440351 -095.95090199
112  30.91441574 -095.95084091  30.91441476 -095.95081216
111  30.91441574 -095.95084091
111  30.91440890 -095.95078130
111  30.91448900 -095.95076597
111  30.91450634 -095.95087933
111  30.91457384 -095.95086526
111  30.91459066 -095.95097026
111  30.91462274 -095.95117058
111  30.91389052 -095.95132180
111  30.91390099 -095.95139515
111  30.91393600 -095.95162773
112  30.91393600 -095.95162773  30.91394335 -095.95165843
112  30.91397687 -095.95168181  30.91399306 -095.95168987
111  30.91397687 -095.95168181
111  30.91397733 -095.95168397
111  30.91383043 -095.95171348
111  30.91383020 -095.95171201
112  30.91383020 -095.95171201  30.91384493 -095.95169845
112  30.91385741 -095.95163805  30.91385621 -095.95160539
113  30.91385741 -095.95163805
110 1 0.00 0.0000 Taxiway 3
111  30.90849475 -095.95283186
111  30.90847702 -095.95271521
111  30.90867674 -095.95267273
113  30.90879492 -095.95276199
110 2 0.00 0.0000 Taxiway 9
111  30.91457384 -095.95086526
111  30.91460900 -095.95085966
112  30.91460900 -095.95085966  30.91462277 -095.95089177
112  30.91474936 -095.95084131  30.91477625 -095.95077862
111  30.91474936 -095.95084131
111  30.91473689 -095.95076334
111  30.91465819 -095.95078168
111  30.91465229 -095.95075722
111  30.91459785 -095.95076945
111  30.91455981 -095.95049883
111  30.91483003 -095.95043996
111  30.91487528 -095.95072588
111  30.91479002 -095.95075110
111  30.91481888 -095.95092005
113  30.91459066 -095.95097026
110 3 0.00 0.0000 Taxiway 15
111  30.91423736 -095.95094329
111  30.91423156 -095.95090108
111  30.91426845 -095.95089467
113  30.91427408 -095.95093627
110 2 0.00 0.0000 Taxiway 15
111  30.91423156 -095.95090108
111  30.91422759 -095.95087221
111  30.91418968 -095.95087278
111  30.91417596 -095.95075304
111  30.91428790 -095.95073434
111  30.91430128 -095.95085273
111  30.91426454 -095.95086579
113  30.91426845 -095.95089467
130 Airport Boundary
111  30.91767430 -095.95037541
111  30.91853941 -095.95102992
111  30.91835908 -095.95146361
111  30.90702366 -095.95387126
111  30.90680225 -095.95261025
111  30.91349485 -095.95120290
111  30.91330539 -095.94969705
111  30.91480050 -095.94945760
111  30.91486441 -095.94955072
111  30.91464555 -095.94997090
111  30.91449920 -095.95041273
111  30.91494659 -095.95031695
113  30.91500593 -095.95069741
120 Linear Feature Holdnn
111  30.91698328 -095.95073098 4
115  30.91702792 -095.95065400
120 Linear Feature Holdns
111  30.91673932 -095.95070529 4
115  30.91678527 -095.95077296
120 Linear Feature Holdc
111  30.91382331 -095.95140944 4
115  30.91390099 -095.95139515
120 Linear Feature a1
111  30.91457022 -095.95109464 1
111  30.91453713 -095.95110123 1
115  30.91450449 -095.95110772
120 Linear Feature b1
111  30.91453713 -095.95110123 1
115  30.91454767 -095.95116559
120 Linear Feature a2
111  30.91443996 -095.95112065 1
111  30.91440686 -095.95112724 1
115  30.91437423 -095.95113374
120 Linear Feature b2
111  30.91440686 -095.95112724 1
115  30.91441741 -095.95119160
120 Linear Feature a3
111  30.91431152 -095.95114932 1
111  30.91427842 -095.95115591 1
115  30.91424578 -095.95116241
120 Linear Feature b3
111  30.91427842 -095.95115591 1
115  30.91428802 -095.95121769
120 Linear Feature a4
111  30.91418080 -095.95117640 1
111  30.91414770 -095.95118298 1
115  30.91411507 -095.95119059
120 Linear Feature b4
111  30.91414770 -095.95118298 1
115  30.91415825 -095.95124735
120 Linear Feature a5
111  30.91404962 -095.95120453 1
111  30.91401653 -095.95121112 1
115  30.91398389 -095.95121762
120 Linear Feature b5
111  30.91401653 -095.95121112 1
115  30.91402771 -095.95127290
120 Linear Feature TLn
112  30.91707437 -095.95105448  30.91718253 -095.95089590 1
112  30.91678213 -095.95072473  30.91654677 -095.95093802
111  30.91678213 -095.95072473 1
111  30.91668492 -095.95082274 1
111  30.91634404 -095.95119900
112  30.91634404 -095.95119900  30.91627984 -095.95127161 1
111  30.91618400 -095.95129744 1
115  30.91563079 -095.95141504
120 Linear Feature TLcn
111  30.91428025 -095.95098160 1
111  30.91398729 -095.95104212
112  30.91398729 -095.95104212  30.91388602 -095.95107064 1
112  30.91384221 -095.95127572  30.91385245 -095.95137712
111  30.91384221 -095.95127572
112  30.91384221 -095.95127572  30.91384271 -095.95127646 1
111  30.91388782 -095.95157152 1
111  30.91390261 -095.95165561
112  30.91390261 -095.95165561  30.91391327 -095.95170500 1
112  30.91402719 -095.95175244  30.91409890 -095.95175068
111  30.91402719 -095.95175244 1
115  30.91457703 -095.95163777
120 Linear Feature TLcs
111  30.91388782 -095.95157152 1
111  30.91389820 -095.95165688
112  30.91389820 -095.95165688  30.91389820 -095.95170372 1
112  30.91379217 -095.95180055  30.91369837 -095.95183941
111  30.91379217 -095.95180055 1
115  30.91325162 -095.95191043
14  30.91435733 -095.95068061  82.02 0 Tower Viewpoint
1300  30.91453713 -095.95110123 100.50 tie_down props GA Ramp 01
1301 A general_aviation 
1300  30.91440686 -095.95112724 100.50 tie_down props GA Ramp 02
1301 A general_aviation 
1300  30.91427842 -095.95115591 100.50 tie_down props GA Ramp 03
1301 A general_aviation 
1300  30.91414770 -095.95118298 100.50 tie_down props GA Ramp 04
1301 A general_aviation 
1300  30.91401653 -095.95121112 100.50 tie_down props GA Ramp 05
1301 A general_aviation 
1300  30.91424174 -095.95082763 279.00 hangar props Hangar 01
1301 A none 
1300  30.91475262 -095.95067574 279.00 hangar props Hangar 02
1301 A none 
18  30.91435733 -095.95068061 1 Airport Beacon
19  30.91452089 -095.95209359 1 Windsock
51 12290 Madisonville Unicom
99
