I
1050 Generated by WorldEditor 2.1.0r1

1   2647 0 0 CED5 Taber
100 22.86 1 0 0.25 0 2 0 05  49.82424825 -112.19063921    0    0 1 0 0 0 23  49.82758711 -112.17900910    0    0 1 0 0 0
100 15.24 1 0 0.25 0 0 0 13  49.82879298 -112.18631704    0    0 0 0 0 0 31  49.82421808 -112.18198072    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 12
111  49.82642996 -112.17445400
111  49.82649685 -112.17422852
111  49.82673049 -112.17438822
113  49.82666249 -112.17461846
110 2 0.00 0.0000 New Taxiway 11
111  49.82629091 -112.17524888
111  49.82634857 -112.17505239
111  49.82650722 -112.17516403
113  49.82644959 -112.17536061
110 3 0.00 0.0000 New Taxiway 10
111  49.82650722 -112.17516403
111  49.82659271 -112.17522419
111  49.82653527 -112.17542093
113  49.82644959 -112.17536061
110 2 0.00 0.0000 New Taxiway 9
111  49.82649764 -112.17554981
111  49.82647498 -112.17562718
111  49.82634129 -112.17553076
111  49.82632988 -112.17556877
111  49.82622303 -112.17549267
111  49.82627030 -112.17533675
111  49.82637662 -112.17541327
113  49.82636391 -112.17545579
110 3 0.00 0.0000 New Taxiway 8
111  49.82614938 -112.17579511
111  49.82621194 -112.17558388
111  49.82643982 -112.17574726
113  49.82637777 -112.17595915
110 2 0.00 0.0000 New Taxiway 7
111  49.82616732 -112.17615075
111  49.82615517 -112.17619220
111  49.82606561 -112.17612775
111  49.82610269 -112.17600349
111  49.82600799 -112.17593522
111  49.82606799 -112.17573672
111  49.82614938 -112.17579511
111  49.82637777 -112.17595915
113  49.82629503 -112.17624169
110 2 0.00 0.0000 New Taxiway 6
111  49.82614309 -112.17623340
111  49.82623835 -112.17629884
111  49.82617061 -112.17653036
111  49.82592012 -112.17635595
113  49.82598847 -112.17612590
110 2 0.00 0.0000 New Taxiway 5
111  49.82580352 -112.17660559
111  49.82592789 -112.17669261
111  49.82590065 -112.17678654
111  49.82586314 -112.17691650
113  49.82573772 -112.17683049
110 2 0.00 0.0000 New Taxiway 4
111  49.82578439 -112.17777656
111  49.82547327 -112.17754715
111  49.82553248 -112.17735173
111  49.82575708 -112.17751210
113  49.82584456 -112.17757482
110 2 0.00 0.0000 New Taxiway 3
111  49.82556186 -112.17879203
111  49.82531364 -112.17862114
111  49.82538905 -112.17835790
113  49.82563846 -112.17852807
110 2 0.00 0.0000 New Taxiway 2
111  49.82512923 -112.17915348
111  49.82540219 -112.17934221
111  49.82531294 -112.17964976
113  49.82504019 -112.17946304
110 1 0.00 0.0000 New Taxiway 1
111  49.82730816 -112.17900095
111  49.82708009 -112.17871607
111  49.82642418 -112.17789676
112  49.82642418 -112.17789676  49.82633347 -112.17787165
111  49.82622421 -112.17800128
111  49.82589686 -112.17914630
111  49.82564581 -112.17898619
112  49.82564581 -112.17898619  49.82562267 -112.17898675
111  49.82560314 -112.17901892
111  49.82536925 -112.17983100
111  49.82527860 -112.17976841
111  49.82531294 -112.17964976
111  49.82540219 -112.17934221
111  49.82556186 -112.17879203
111  49.82563846 -112.17852807
111  49.82581589 -112.17788375
112  49.82581589 -112.17788375  49.82581720 -112.17781648
111  49.82578439 -112.17777656
111  49.82584456 -112.17757482
111  49.82575708 -112.17751210
111  49.82592419 -112.17695719
111  49.82602389 -112.17702563
111  49.82606062 -112.17689871
111  49.82590065 -112.17678654
111  49.82592789 -112.17669261
111  49.82580352 -112.17660559
111  49.82586362 -112.17640219
111  49.82590394 -112.17641131
111  49.82592012 -112.17635595
111  49.82617061 -112.17653036
111  49.82623835 -112.17629884
111  49.82614309 -112.17623340
111  49.82615517 -112.17619220
111  49.82616732 -112.17615075
111  49.82629503 -112.17624169
111  49.82637777 -112.17595915
111  49.82643982 -112.17574726
111  49.82647498 -112.17562718
111  49.82649764 -112.17554981
111  49.82653527 -112.17542093
111  49.82659271 -112.17522419
111  49.82675109 -112.17468180
111  49.82666249 -112.17461846
111  49.82673049 -112.17438822
111  49.82682439 -112.17445131
111  49.82684036 -112.17439891
111  49.82719167 -112.17464583
111  49.82640667 -112.17735421
112  49.82640667 -112.17735421  49.82641423 -112.17754670
111  49.82648026 -112.17769883
111  49.82716445 -112.17855277
111  49.82747276 -112.17893734
111  49.82750476 -112.17895961
111  49.82737418 -112.17942428
111  49.82735819 -112.17941288
114  49.82735819 -112.17941288  49.82736444 -112.17915058
130 Airport Boundary
111  49.82361785 -112.18231379
111  49.82410556 -112.18104313
111  49.82651528 -112.17337015
111  49.82913016 -112.17568947
111  49.82755251 -112.18122920
111  49.82771398 -112.18133572
111  49.82768069 -112.18145714
111  49.82751787 -112.18134978
111  49.82686875 -112.18363015
111  49.82945415 -112.18609575
111  49.82895993 -112.18735939
111  49.82648512 -112.18499363
111  49.82376504 -112.19439194
111  49.82257130 -112.19442223
111  49.82427484 -112.18847976
111  49.82415163 -112.18839688
111  49.82419521 -112.18824394
111  49.82431582 -112.18832685
113  49.82552273 -112.18411557
120 HS
111  49.82708009 -112.17871607 4
115  49.82716445 -112.17855277
120 Linear Feature 13
112  49.82744896 -112.17910557  49.82743984 -112.17905179 1
111  49.82740624 -112.17899318 1
115  49.82632583 -112.17763093
21  49.82489449 -112.18943158 2 66.0100 3.00 PAPI-4L-05
21  49.82702009 -112.17995921 2 246.0100 3.00 PAPI-4L-23
14  49.82526334 -112.17807831  15.00 0 Tower
1300  49.82524683 -112.17941843 -24.30 hangar turboprops|props Hangar 1
1301 A none 
1300  49.82549739 -112.17858342 -24.30 hangar turboprops|props Hangar 2
1301 A none 
1300  49.82567496 -112.17757032 -24.59 hangar turboprops|props Hangar 3
1301 A none 
1300  49.82585770 -112.17667916  64.75 hangar turboprops|props Hangar 4
1301 A none 
1300  49.82609134 -112.17633479 -24.32 hangar turboprops|props Hangar 5
1301 A none 
1300  49.82618587 -112.17593750 -24.72 hangar turboprops|props Hangar 6
1301 A none 
1300  49.82634468 -112.17548579 -24.77 hangar turboprops|props Hangar 7
1301 A none 
1300  49.82644489 -112.17523520 -24.51 hangar turboprops|props Hangar 8
1301 A none 
1300  49.82662985 -112.17445618 -25.01 hangar turboprops|props Hangar 9
1301 A none 
1300  49.82572399 -112.17892398  67.22 tie_down props Tie-Down 1
1301 A general_aviation 
1300  49.82584550 -112.17900386  67.22 tie_down props Tie-Down 2
1301 A general_aviation 
1300  49.82590962 -112.17885244 155.98 tie_down props Tie-Down 3
1301 A general_aviation 
