I
1050 Generated by WorldEditor 2.1.0r1

1   2329 0 0 LE83 Mojados
100 13.72 1 0 0.25 0 0 0 17  41.47029239 -004.71380992    0   30 3 0 0 0 35  41.46142708 -004.71220824    0    0 0 0 0 0
110 1 0.30 172.2900 Default taxiway for RWY 17
111  41.46103988 -004.71238302
111  41.46111488 -004.71180510
111  41.46143820 -004.71185721
111  41.46141046 -004.71212139
111  41.46145030 -004.71212938
111  41.46143504 -004.71229277
111  41.46139475 -004.71228528
113  41.46137837 -004.71244478
130 Airport Boundary 21
111  41.46176366 -004.71249990
111  41.46114877 -004.71277828
111  41.46090996 -004.71264275
111  41.46093192 -004.71220321
111  41.46101152 -004.71167942
111  41.46146720 -004.71171971
111  41.46149739 -004.71201274
111  41.47059469 -004.71367636
111  41.47083076 -004.71390716
111  41.47079782 -004.71402439
113  41.46189209 -004.71248210
14  41.46102435 -004.71236035   9.84 0 New Tower Viewpoint 5
1300  41.46118891 -004.71196988 -98.13 tie_down props Tie Down 02
1301 A general_aviation 
1300  41.46135548 -004.71199491 -98.13 tie_down props Tie Down 01
1301 A general_aviation 
18  41.46102435 -004.71236035 1 New Airport Beacon 6
99
