A
1050 Generated by WorldEditor 1.6.0r1

1    959 0 0 KLVN Airlake Airport
100 23.00 1 0 0.25 0 3 1 12  44.63067120 -093.23566324   50   64 2 8 0 1 30  44.62527474 -093.22111477  120   11 3 8 0 0
110 2 0.25 0.0000 Hangar 1
111  44.62926601 -093.22750108
111  44.62926153 -093.22750108
111  44.62903761 -093.22750085
111  44.62903632 -093.22715721
111  44.62918223 -093.22715497
113  44.62925895 -093.22715379
110 2 0.25 0.0000 Hangar 2
111  44.62995922 -093.22900109
111  44.62991121 -093.22903799
111  44.62989339 -093.22898906
111  44.62974247 -093.22857567
111  44.63000009 -093.22839881
111  44.63019644 -093.22894271
111  44.63018256 -093.22895220
111  44.63024933 -093.22913983
111  44.63007042 -093.22926684
113  44.63006056 -093.22927330
110 2 0.25 0.0000 New Taxiway 125
111  44.62869644 -093.22652463
111  44.62867410 -093.22653991
111  44.62858077 -093.22660377
111  44.62854737 -093.22662663
111  44.62846182 -093.22640897
113  44.62861218 -093.22629878
110 2 0.25 0.0000 New Taxiway 115
111  44.62890365 -093.22703581
111  44.62885035 -093.22707564
111  44.62881839 -093.22709939
111  44.62874027 -093.22715788
111  44.62865916 -093.22690873
111  44.62877392 -093.22682438
111  44.62881409 -093.22679486
113  44.62887440 -093.22695803
110 2 0.25 0.0000 New Taxiway 117
111  44.62908369 -093.22690015
111  44.62897103 -093.22698128
111  44.62894399 -093.22700075
111  44.62892725 -093.22701280
111  44.62884197 -093.22677198
111  44.62898762 -093.22667036
113  44.62899758 -093.22666320
110 2 0.25 0.0000 New Taxiway 123
111  44.63011647 -093.22624115
111  44.62986953 -093.22629215
111  44.62984788 -093.22608230
111  44.62984426 -093.22604717
113  44.63009055 -093.22600254
110 2 0.25 0.0000 New Taxiway 150
111  44.62663733 -093.22148134
111  44.62679891 -093.22136624
111  44.62687382 -093.22158744
111  44.62671788 -093.22169813
113  44.62671395 -093.22170092
110 2 0.25 0.0000 New Taxiway 149
111  44.62962341 -093.22555539
111  44.62963582 -093.22554685
111  44.62978148 -093.22544666
111  44.62979535 -093.22543712
111  44.62986038 -093.22562097
111  44.62986743 -093.22564423
111  44.62986351 -093.22564704
111  44.62972042 -093.22574995
113  44.62969919 -093.22576490
110 2 0.25 0.0000 New Taxiway 148
111  44.62959547 -093.22557722
111  44.62967562 -093.22579635
111  44.62955113 -093.22588413
113  44.62947404 -093.22566893
110 2 0.25 0.0000 New Taxiway 147
111  44.62932306 -093.22577832
111  44.62944227 -093.22569285
111  44.62951719 -093.22591398
111  44.62949403 -093.22593108
111  44.62944010 -093.22597090
113  44.62940242 -093.22599873
110 2 0.25 0.0000 New Taxiway 146
111  44.62919108 -093.22587085
111  44.62929816 -093.22579592
111  44.62937226 -093.22601644
111  44.62936596 -093.22602104
111  44.62934340 -093.22603751
113  44.62926919 -093.22609170
110 2 0.25 0.0000 New Taxiway 145
111  44.62901714 -093.22600270
111  44.62915581 -093.22589980
111  44.62923184 -093.22611952
111  44.62918962 -093.22615157
111  44.62914363 -093.22618649
113  44.62909771 -093.22622135
110 2 0.25 0.0000 New Taxiway 144
111  44.62886486 -093.22610985
111  44.62896859 -093.22603557
111  44.62897771 -093.22602903
111  44.62905975 -093.22625360
111  44.62901978 -093.22628378
111  44.62898460 -093.22630940
113  44.62894678 -093.22633708
110 2 0.25 0.0000 New Taxiway 143
111  44.62891755 -093.22636245
111  44.62872873 -093.22650215
111  44.62864672 -093.22627194
113  44.62883576 -093.22613281
110 2 0.25 0.0000 New Taxiway 155
111  44.62753788 -093.22082654
111  44.62756897 -093.22080400
111  44.62773988 -093.22068007
111  44.62780793 -093.22089029
113  44.62761295 -093.22103524
110 2 0.25 0.0000 New Taxiway 154
111  44.62736937 -093.22095024
111  44.62751033 -093.22085310
111  44.62758415 -093.22106547
111  44.62754336 -093.22109482
111  44.62748428 -093.22113697
113  44.62744498 -093.22116122
110 2 0.25 0.0000 New Taxiway 153
111  44.62720193 -093.22107015
111  44.62724340 -093.22104001
111  44.62730231 -093.22099718
111  44.62734182 -093.22096846
111  44.62741365 -093.22118550
113  44.62727269 -093.22128492
110 2 0.25 0.0000 New Taxiway 152
111  44.62701019 -093.22121965
111  44.62713865 -093.22112386
111  44.62717709 -093.22109520
111  44.62725216 -093.22130237
111  44.62714409 -093.22138336
111  44.62712371 -093.22139877
113  44.62708509 -093.22142607
110 2 0.25 0.0000 New Taxiway 151
111  44.62698049 -093.22123987
111  44.62705459 -093.22145738
111  44.62701070 -093.22148835
111  44.62689878 -093.22156743
111  44.62682258 -093.22134348
113  44.62682842 -093.22133960
110 2 0.25 0.0000 New Taxiway 185
111  44.62776540 -093.22131430
111  44.62779268 -093.22129409
111  44.62785327 -093.22124833
111  44.62787504 -093.22123309
111  44.62795245 -093.22144799
111  44.62793283 -093.22146304
111  44.62787604 -093.22150088
113  44.62783615 -093.22152679
110 2 0.25 0.0000 New Taxiway 184
111  44.62780806 -093.22154349
111  44.62774839 -093.22158924
111  44.62769476 -093.22163187
111  44.62765630 -093.22166188
111  44.62758122 -093.22144407
111  44.62763998 -093.22140115
111  44.62771104 -093.22134924
113  44.62773083 -093.22133479
110 2 0.25 0.0000 New Taxiway 183
111  44.62743991 -093.22153982
111  44.62746555 -093.22152234
111  44.62752438 -093.22148225
111  44.62754814 -093.22146605
111  44.62762927 -093.22168143
113  44.62751887 -093.22175458
110 2 0.25 0.0000 New Taxiway 182
111  44.62725575 -093.22167619
111  44.62729701 -093.22164931
111  44.62736864 -093.22159872
111  44.62739715 -093.22157869
111  44.62747418 -093.22179506
113  44.62733264 -093.22189385
