I
1050 Generated by WorldEditor 2.1.0r1

1    147 1 0 EPOK Oksywie
1302 city Gedyna
1302 country Poland
1302 datum_lat 54.5797222
1302 datum_lon 018.5172222
1302 icao_code EPOK
1302 region_code EP
1302 state Pommerania
1302 transition_alt 6500
100 60.00 2 0 0.00 0 0 0 13  54.58776163  018.50380096    0  396 3 7 0 0 31  54.57151617  018.53049372    0    0 3 7 0 1
100 30.00 1 0 0.00 0 1 0 08  54.58707975  018.51363165   60    0 2 0 0 1 26  54.58732036  018.52765576   60    0 2 7 0 1
110 1 0.00 153.0000 New Taxiway 36
111  54.58506580  018.51486213
111  54.58511506  018.51491885
111  54.58514758  018.51493286
111  54.58517714  018.51493162
111  54.58518301  018.51493529
111  54.58523412  018.51488411
111  54.58523664  018.51486971
111  54.58525299  018.51484915
111  54.58528565  018.51478730
111  54.58531219  018.51466409
111  54.58531670  018.51459219
111  54.58531414  018.51452610
111  54.58530029  018.51443270
111  54.58522685  018.51422638
111  54.58519285  018.51416482
111  54.58515522  018.51411161
111  54.58512516  018.51408944
111  54.58508449  018.51407179
111  54.58503179  018.51406103
111  54.58498221  018.51407519
111  54.58493257  018.51411264
111  54.58490386  018.51414625
111  54.58488196  018.51419550
111  54.58487012  018.51426460
111  54.58487228  018.51432489
113  54.58488630  018.51438149
110 2 0.00 153.0000 New Taxiway 44
111  54.57046490  018.52225939
111  54.57045602  018.52232107
111  54.57044727  018.52231743
111  54.57041361  018.52255954
111  54.57041833  018.52259363
111  54.57053933  018.52264395
111  54.57055360  018.52261775
111  54.57058726  018.52237564
111  54.57057850  018.52237200
111  54.57058693  018.52231166
111  54.57056196  018.52229987
111  54.57059333  018.52207069
111  54.57035436  018.52197997
111  54.57025472  018.52215186
113  54.57025287  018.52217096
110 2 0.00 153.0000 New Taxiway 44
111  54.57316762  018.51735969
111  54.57315535  018.51733826
111  54.57316180  018.51732741
111  54.57306141  018.51715054
111  54.57304262  018.51713688
111  54.57295189  018.51728970
111  54.57295838  018.51732408
111  54.57305876  018.51750095
111  54.57306521  018.51749010
111  54.57307647  018.51751097
111  54.57303612  018.51757794
111  54.57305381  018.51760314
111  54.57307814  018.51756276
111  54.57318836  018.51776231
111  54.57331522  018.51756999
111  54.57319921  018.51736180
111  54.57325678  018.51726624
113  54.57323910  018.51724104
110 2 0.00 153.0000 New Taxiway 44
111  54.57394382  018.51573551
111  54.57392626  018.51573637
111  54.57392598  018.51572084
111  54.57378196  018.51572906
111  54.57376457  018.51574367
111  54.57376849  018.51596127
111  54.57378643  018.51597736
111  54.57393044  018.51596914
111  54.57393017  018.51595361
111  54.57394773  018.51595275
111  54.57394719  018.51591640
111  54.57399182  018.51591458
111  54.57404632  018.51591236
111  54.57414249  018.51590844
111  54.57416939  018.51591109
111  54.57420861  018.51592834
111  54.57424628  018.51597476
111  54.57463687  018.51533411
111  54.57462072  018.51530360
111  54.57460995  018.51526248
111  54.57460457  018.51522136
111  54.57447233  018.51498791
111  54.57437468  018.51514708
111  54.57429933  018.51501577
111  54.57424321  018.51510729
111  54.57399717  018.51466692
111  54.57376882  018.51508872
111  54.57395565  018.51542961
111  54.57396488  018.51546277
111  54.57396770  018.51561397
113  54.57394155  018.51561397
110 2 0.00 153.0000 New Taxiway 44
111  54.57642552  018.50956946
111  54.57635654  018.50960965
111  54.57636487  018.50966161
111  54.57632066  018.50968703
111  54.57632707  018.50973567
