I
1000 Generated by WorldEditor

1    113 0 0 BGKK Kulusuk
100 29.87 5 0 0.25 0 2 0 11  65.57282283 -037.13665858    0    0 1 0 0 0 29  65.57395078 -037.11070614    0    0 1 0 0 0
102 H3  65.57372451 -037.13583640 355.55 16.12 14.12 2 0 0 0.00 1
110 2 0.00 12.0000 New Taxiway 6
111  65.57425544 -037.13523034
111  65.57431177 -037.13386411
111  65.57445030 -037.13389751
113  65.57439397 -037.13526374
110 2 0.00 12.0000 New Taxiway 6
111  65.57427973 -037.13453779
111  65.57430826 -037.13385617
111  65.57445657 -037.13389247
113  65.57442804 -037.13457409
110 2 0.00 12.0000 New Taxiway 5
111  65.57379192 -037.13600321
111  65.57364725 -037.13597598
111  65.57365711 -037.13566959
113  65.57380177 -037.13569681
110 5 0.25 174.0000 xxx
111  65.57409357 -037.13654244
111  65.57296720 -037.13623827
111  65.57309718 -037.13327200
113  65.57422355 -037.13358893
130 Airport Boundary
111  65.57224531 -037.14070768
111  65.57281212 -037.14087354
111  65.57295336 -037.13860541
111  65.57314436 -037.13845879
111  65.57325184 -037.13643454
111  65.57409770 -037.13657351
111  65.57420058 -037.13578169
111  65.57446757 -037.13571146
111  65.57457530 -037.13373832
111  65.57369739 -037.13334509
111  65.57336458 -037.13309973
111  65.57432106 -037.11003216
111  65.57416245 -037.10962749
111  65.57426849 -037.10714214
111  65.57382669 -037.10685404
111  65.57371191 -037.10926208
113  65.57355853 -037.10963105
120 Linear Feature 3
111  65.57307267 -037.13401970 102
112  65.57326859 -037.13445619  65.57341477 -037.13450093
111  65.57326859 -037.13445619 102
115  65.57347703 -037.13451290
120 Linear Feature 3
111  65.57301479 -037.13535125 102
112  65.57324213 -037.13506652  65.57338369 -037.13510455
111  65.57324213 -037.13506652 102
115  65.57345057 -037.13512322
21  65.57333212 -037.13144373 2 84.1235 3.0 11  PAPI-4L
21  65.57340050 -037.11672613 2 264.2290 3.0 29  PAPI-4L
14  65.57434303 -037.13435002  29.53 0 Tower
1300  65.57410333 -037.13425686  83.81 gate turboprops GATE 01
1300  65.57324897 -037.13572564  57.53 misc props GA 02
1300  65.57359466 -037.13375110 173.80 misc props GA 03
1300  65.57396270 -037.13612199 142.02 misc props GA 01
1300  65.57402585 -037.13517567  83.81 gate turboprops GATE 02
19  65.57387111 -037.13356751 0 New Windsock 4
99
