I
1050 Generated by WorldEditor 2.1.0r1

1   2130 0 0 CJF8 Biggar
100 22.86 1 0 0.00 1 0 0 09  52.05165065 -107.99345850    0    0 0 0 0 0 27  52.04999007 -107.98263938    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 13
111  52.05126474 -107.98475521
111  52.05123511 -107.98457586
111  52.05132935 -107.98453638
113  52.05135610 -107.98471171
110 2 0.00 0.0000 New Taxiway 12
111  52.05130199 -107.98500293
111  52.05127334 -107.98481260
111  52.05136372 -107.98477566
113  52.05139286 -107.98496277
110 4 0.00 0.0000 New Taxiway 8
111  52.05077377 -107.98241159
111  52.05103634 -107.98229515
111  52.05124810 -107.98366672
111  52.05097588 -107.98377060
113  52.05079172 -107.98253226
110 1 0.00 0.0000 New Taxiway 7
111  52.05009501 -107.98270164
111  52.05077377 -107.98241159
111  52.05079172 -107.98253226
111  52.05020985 -107.98277666
112  52.05012520 -107.98289904  52.05011394 -107.98294241
113  52.05012520 -107.98289904
110 3 0.00 0.0000 New Taxiway 9
111  52.05124810 -107.98366672
111  52.05144942 -107.98496611
111  52.05129123 -107.98525640
112  52.05129123 -107.98525640  52.05120845 -107.98543819
111  52.05125123 -107.98573440
111  52.05147597 -107.98710409
112  52.05147597 -107.98710409  52.05147202 -107.98721652
111  52.05139591 -107.98724191
111  52.05083473 -107.98746906
111  52.05012520 -107.98289904
112  52.05012520 -107.98289904  52.05013646 -107.98285568
111  52.05020985 -107.98277666
111  52.05079172 -107.98253226
113  52.05097588 -107.98377060
111  52.05136372 -107.98477566
111  52.05127334 -107.98481260
111  52.05130199 -107.98500293
113  52.05139286 -107.98496277
111  52.05132935 -107.98453638
111  52.05123511 -107.98457586
111  52.05126474 -107.98475521
113  52.05135610 -107.98471171
130 Airport Boundary 15
111  52.05142930 -107.99384217
111  52.04960041 -107.98234237
111  52.05100209 -107.98188848
111  52.05142916 -107.98369334
111  52.05224419 -107.98794809
111  52.05118146 -107.98848072
113  52.05196632 -107.99367038
14  52.05126997 -107.98410501  82.02 0 New Tower Viewpoint 16
1300  52.05126001 -107.98466002 194.16 hangar props Hangar 2
1301 A none 
1300  52.05129853 -107.98490174 194.16 hangar props Hangar 1
1301 A none 
1300  52.05094651 -107.98722969 102.86 tie_down props Tie-Down 25
1301 A general_aviation 
1300  52.05108783 -107.98717174 102.86 tie_down props Tie-Down 24
1301 A general_aviation 
1300  52.05122915 -107.98711779 102.86 tie_down props Tie-Down 23
1301 A general_aviation 
1300  52.05129919 -107.98696392 -167.23 tie_down props Tie-Down 22
1301 A general_aviation 
1300  52.05126724 -107.98673012 -167.23 tie_down props Tie-Down 21
1301 A general_aviation 
1300  52.05122915 -107.98649033 -167.23 tie_down props Tie-Down 20
1301 A general_aviation 
1300  52.05119351 -107.98626053 -167.23 tie_down props Tie-Down 19
1301 A general_aviation 
1300  52.05115910 -107.98602273 -167.23 tie_down props Tie-Down 18
1301 A general_aviation 
1300  52.05112469 -107.98580492 -167.23 tie_down props Tie-Down 17
1301 A general_aviation 
1300  52.05040187 -107.98289587 -167.23 tie_down props Tie-Down 16
1301 A general_aviation 
1300  52.05043567 -107.98312733 -167.23 tie_down props Tie-Down 15
1301 A general_aviation 
1300  52.05046946 -107.98335713 -167.23 tie_down props Tie-Down 14
1301 A general_aviation 
1300  52.05050428 -107.98359359 -167.23 tie_down props Tie-Down 13
1301 A general_aviation 
1300  52.05054012 -107.98384170 -167.23 tie_down props Tie-Down 12
1301 A general_aviation 
1300  52.05082276 -107.98372181 -167.23 tie_down props Tie-Down 11
1301 A general_aviation 
1300  52.05078589 -107.98346703 -167.23 tie_down props Tie-Down 10
1301 A general_aviation 
1300  52.05075210 -107.98323723 -167.23 tie_down props Tie-Down 9
1301 A general_aviation 
1300  52.05072035 -107.98301076 -167.23 tie_down props Tie-Down 8
1301 A general_aviation 
1300  52.05068656 -107.98279262 -167.23 tie_down props Tie-Down 7
1301 A general_aviation 
1300  52.05098739 -107.98247034 -167.23 tie_down props Tie-Down 6
1301 A general_aviation 
1300  52.05102118 -107.98269681 -167.23 tie_down props Tie-Down 5
1301 A general_aviation 
1300  52.05105497 -107.98291995 -167.23 tie_down props Tie-Down 4
1301 A general_aviation 
1300  52.05108672 -107.98314309 -167.23 tie_down props Tie-Down 3
1301 A general_aviation 
1300  52.05111949 -107.98336456 -167.23 tie_down props Tie-Down 2
1301 A general_aviation 
1300  52.05115226 -107.98358770 -167.23 tie_down props Tie-Down 1
1301 A general_aviation 
18  52.05113902 -107.98402732 1 New Airport Beacon 17
19  52.05150741 -107.98723381 0 New Windsock 13
51 12320 Unicom
99
