I
1050 Generated by WorldEditor 2.3.0r2

1   3663 0 0 CFN7 Sundre
100 22.86 1 0 0.25 0 2 0 15  51.78036863 -114.68149531   22    0 1 0 0 0 33  51.76900944 -114.67574850   28    0 1 0 0 0
100 22.86 3 0 0.25 0 0 0 06  51.77597190 -114.68623074    0    0 0 0 0 0 24  51.77803416 -114.67582717    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 137
111  51.77793622 -114.67577658
112  51.77804576 -114.67576025  51.77810552 -114.67578701
113  51.77813206 -114.67587794
110 3 0.00 0.0000 New Taxiway 136
111  51.77606979 -114.68628123
112  51.77592603 -114.68644959  51.77584292 -114.68641098
113  51.77587402 -114.68617995
110 3 0.00 0.0000 New Taxiway 135
111  51.77726074 -114.68181359
111  51.77697469 -114.68168551
111  51.77700882 -114.68146022
113  51.77729487 -114.68158831
110 5 0.00 0.0000 New Taxiway 132
111  51.77926882 -114.68318087
112  51.77925847 -114.68345928  51.77923341 -114.68357472
111  51.77925847 -114.68345928
111  51.77905294 -114.68429460
111  51.77895835 -114.68479635
111  51.77887386 -114.68531957
111  51.77900420 -114.68539149
111  51.77896954 -114.68557050
112  51.77896954 -114.68557050  51.77889788 -114.68554637
111  51.77882592 -114.68561638
112  51.77865352 -114.68584395  51.77852883 -114.68581500
111  51.77865352 -114.68584395
111  51.77855754 -114.68581103
111  51.77856950 -114.68574854
112  51.77856950 -114.68574854  51.77868953 -114.68577170
112  51.77879881 -114.68548118  51.77884479 -114.68528138
111  51.77879881 -114.68548118
111  51.77887644 -114.68505456
111  51.77890749 -114.68480651
111  51.77900877 -114.68424071
111  51.77921807 -114.68340187
112  51.77921807 -114.68340187  51.77924136 -114.68321076
112  51.77915901 -114.68325886  51.77913035 -114.68333221
111  51.77915901 -114.68325886
111  51.77905479 -114.68320380
113  51.77909462 -114.68310206
110 2 0.00 0.0000 New Taxiway 131
111  51.77917304 -114.68351183
111  51.77896901 -114.68340405
111  51.77901413 -114.68318232
111  51.77905479 -114.68320380
111  51.77915901 -114.68325886
113  51.77921817 -114.68329010
110 5 0.00 0.0000 New Taxiway 128
111  51.77863714 -114.68381839
111  51.77877666 -114.68390790
111  51.77873895 -114.68410268
111  51.77872424 -114.68417864
111  51.77868304 -114.68439142
