I
1050 Generated by WorldEditor 2.1.0r1

1    792 1 0 LKCV Caslav
1302 city Čáslav
1302 country Czechia
1302 datum_lat 49.9395639
1302 datum_lon 015.3819333
1302 icao_code LKCV
1302 region_code LK
1302 state Central Bohemian Region
1302 transition_alt 5000
100 40.00 3 0 0.00 0 0 0 12  49.94427195  015.37353484  148    0 1 0 0 0 30  49.93369896  015.38869061  145    0 1 0 0 0
100 60.00 2 0 0.00 0 0 1 13  49.94748547  015.37058223    0  150 1 0 0 0 31  49.93163953  015.39327794    0  150 1 0 0 0
110 2 0.00 153.0000 HAS
111  49.93284949  015.39568144
111  49.93261007  015.39556254
111  49.93260478  015.39558613
111  49.93260314  015.39559373
111  49.93266260  015.39562239
111  49.93257852  015.39600621
111  49.93269779  015.39606929
111  49.93278187  015.39568550
111  49.93284247  015.39571440
113  49.93284419  015.39570503
110 2 0.00 153.0000 HAS
111  49.93338710  015.39686161
111  49.93314760  015.39674666
111  49.93314154  015.39677460
111  49.93320111  015.39680687
111  49.93311524  015.39718973
111  49.93323421  015.39725415
111  49.93332162  015.39686579
113  49.93338007  015.39689350
110 2 0.00 153.0000 HAS
111  49.93413433  015.39731581
111  49.93388565  015.39740287
111  49.93388992  015.39742657
111  49.93395530  015.39740706
111  49.93400906  015.39781243
111  49.93413235  015.39777213
111  49.93407787  015.39736195
113  49.93413861  015.39733951
110 2 0.00 153.0000 HAS
111  49.93359060  015.39558543
111  49.93364491  015.39596795
111  49.93366373  015.39596005
111  49.93365040  015.39586622
111  49.93390958  015.39578613
111  49.93388504  015.39559414
111  49.93362330  015.39567537
113  49.93360941  015.39557753
110 2 0.00 153.0000 HAS
111  49.93686419  015.39275885
111  49.93694041  015.39325449
111  49.93696122  015.39324790
111  49.93695865  015.39323123
111  49.93693583  015.39308351
111  49.93719132  015.39300082
111  49.93716563  015.39280917
111  49.93691016  015.39289184
113  49.93688812  015.39275112
110 2 0.00 153.0000 HAS
111  49.93778341  015.39428535
111  49.93785627  015.39478221
111  49.93787712  015.39477597
111  49.93787466  015.39475925
111  49.93785284  015.39461116
111  49.93810888  015.39453266
111  49.93808450  015.39434060
111  49.93782847  015.39441909
113  49.93780739  015.39427801
110 2 0.00 153.0000 HAS
111  49.93749120  015.39526822
111  49.93717733  015.39512031
111  49.93717049  015.39515155
111  49.93718105  015.39515651
111  49.93727465  015.39520045
111  49.93719166  015.39558488
111  49.93731110  015.39564715
111  49.93739410  015.39526275
113  49.93748342  015.39530421
110 2 0.00 153.0000 HAS
111  49.93683098  015.39417204
111  49.93651832  015.39401808
111  49.93651123  015.39404918
111  49.93652175  015.39405435
111  49.93661499  015.39410010
111  49.93652892  015.39448288
111  49.93664786  015.39454745
111  49.93673393  015.39416470
113  49.93682291  015.39420788
110 2 0.00 153.0000 HAS
111  49.93803209  015.39104060
111  49.93772056  015.39088119
111  49.93771324  015.39091217
111  49.93772373  015.39091752
111  49.93781663  015.39096489
111  49.93772781  015.39134616
111  49.93784627  015.39141280
111  49.93793510  015.39103156
113  49.93802376  015.39107629
110 2 0.00 153.0000 HAS
111  49.93865694  015.39208164
111  49.93834347  015.39193168
111  49.93833654  015.39196288
111  49.93834710  015.39196791
111  49.93844058  015.39201246
111  49.93835654  015.39239635
111  49.93847582  015.39245940
111  49.93855986  015.39207554
113  49.93864906  015.39211757
110 2 0.00 153.0000 HAS
111  49.94756613  015.38027269
111  49.94724810  015.38039731
111  49.94725259  015.38042957
111  49.94726329  015.38042535
111  49.94735808  015.38038805
111  49.94741448  015.38078402
111  49.94753750  015.38074173
111  49.94748111  015.38034577
113  49.94757140  015.38030977
110 2 0.00 153.0000 HAS
111  49.94843979  015.37900477
111  49.94814515  015.37922866
111  49.94815383  015.37925878
111  49.94816374  015.37925123
111  49.94825153  015.37918435
111  49.94835928  015.37955373
111  49.94847404  015.37947290
111  49.94836631  015.37910354
113  49.94844987  015.37903936
110 2 0.00 153.0000 HAS
111  49.94968425  015.37865887
111  49.94941922  015.37895914
111  49.94943114  015.37898646
111  49.94944006  015.37897634
111  49.94951901  015.37888669
111  49.94966653  015.37922125
111  49.94977047  015.37911058
111  49.94962296  015.37877603
113  49.94969805  015.37869020
110 2 0.00 153.0000 HAS
111  49.94740424  015.37614683
111  49.94716413  015.37649405
111  49.94717806  015.37651896
111  49.94718614  015.37650726
111  49.94725765  015.37640363
111  49.94742978  015.37670846
111  49.94752449  015.37657933
111  49.94735237  015.37627451
113  49.94742035  015.37617538
110 2 0.00 153.0000 HAS
111  49.94774126  015.37859290
111  49.94742819  015.37844098
111  49.94742118  015.37847214
111  49.94743172  015.37847724
111  49.94752508  015.37852237
111  49.94744007  015.37890581
111  49.94755918  015.37896961
111  49.94764420  015.37858620
113  49.94773330  015.37862880
110 2 0.00 153.0000 HAS
111  49.94831119  015.37584145
111  49.94800295  015.37566726
111  49.94799502  015.37569788
111  49.94800540  015.37570372
111  49.94809733  015.37575551
111  49.94800103  015.37613245
111  49.94811812  015.37620472
111  49.94821443  015.37582780
113  49.94830216  015.37587674
110 2 0.00 153.0000 HAS
111  49.94898333  015.37733652
111  49.94866816  015.37719544
