I
1050 Generated by WorldEditor 2.2.0r2

1    820 0 0 KHCO Hallock Muni
100 22.86 1 0 0.00 0 2 0 13  48.75695652 -096.94836672    0    0 2 0 0 1 31  48.74855237 -096.93766762    0    0 2 0 0 1
110 2 0.00 0.0000 New Taxiway 8
111  48.75296712 -096.93930972
111  48.75292479 -096.93925616
111  48.75294945 -096.93920984
113  48.75299467 -096.93926465
110 2 0.00 0.0000 New Taxiway 7
111  48.75397111 -096.93957891
111  48.75383426 -096.93940118
111  48.75395051 -096.93918846
113  48.75409046 -096.93936471
110 2 0.00 0.0000 New Taxiway 6
111  48.75358843 -096.93980607
111  48.75368258 -096.93963728
111  48.75398182 -096.94002148
113  48.75388584 -096.94018668
110 2 0.00 0.0000 New Taxiway 5
111  48.75308911 -096.93942546
111  48.75310358 -096.93939889
111  48.75322376 -096.93918241
111  48.75324102 -096.93920387
111  48.75323380 -096.93921642
111  48.75328217 -096.93927638
111  48.75331141 -096.93922265
111  48.75331938 -096.93923258
111  48.75332925 -096.93921757
111  48.75334086 -096.93923262
111  48.75333122 -096.93924796
111  48.75344038 -096.93938657
111  48.75328561 -096.93965764
111  48.75317753 -096.93952181
113  48.75314738 -096.93950170
110 1 0.00 0.0000 New Taxiway 4
111  48.75675470 -096.94790825
112  48.75691358 -096.94785955  48.75698207 -096.94775365
111  48.75691358 -096.94785955
111  48.75698979 -096.94772622
111  48.75717289 -096.94796352
113  48.75702216 -096.94824812
110 1 0.00 0.0000 New Taxiway 3
111  48.74861799 -096.93754912
111  48.74878700 -096.93727475
111  48.74896771 -096.93751271
111  48.74889168 -096.93765776
112  48.74889168 -096.93765776  48.74883769 -096.93781217
113  48.74890555 -096.93791580
110 1 0.00 0.0000 New Taxiway 2
111  48.75198301 -096.94183375
112  48.75223812 -096.94178867  48.75235053 -096.94161956
111  48.75223812 -096.94178867
111  48.75241144 -096.94147931
111  48.75300317 -096.94042319
112  48.75300317 -096.94042319  48.75306372 -096.94029208
111  48.75297118 -096.94015150
111  48.75232019 -096.93932839
111  48.75258339 -096.93884601
111  48.75282072 -096.93915189
111  48.75289719 -096.93925045
111  48.75293641 -096.93919385
111  48.75294945 -096.93920984
111  48.75292479 -096.93925616
111  48.75296712 -096.93930972
111  48.75299467 -096.93926465
111  48.75307320 -096.93936162
111  48.75310358 -096.93939889
111  48.75308911 -096.93942546
111  48.75314738 -096.93950170
111  48.75317753 -096.93952181
111  48.75328561 -096.93965764
112  48.75328561 -096.93965764  48.75329840 -096.93968496
111  48.75333016 -096.93973273
111  48.75337205 -096.93978933
112  48.75337205 -096.93978933  48.75337906 -096.93979359
111  48.75338385 -096.93978875
111  48.75342168 -096.93973837
111  48.75370313 -096.93923088
111  48.75383426 -096.93940118
111  48.75397111 -096.93957891
111  48.75390342 -096.93970531
111  48.75405507 -096.93989764
111  48.75398182 -096.94002148
111  48.75368258 -096.93963728
111  48.75358843 -096.93980607
111  48.75388584 -096.94018668
111  48.75381504 -096.94031330
111  48.75345863 -096.93985428
111  48.75249565 -096.94158615
111  48.75231853 -096.94190469
112  48.75231853 -096.94190469  48.75223920 -096.94211358
113  48.75233279 -096.94227895
130 Airport Boundary 1
111  48.75755262 -096.94984425
111  48.74624142 -096.93537516
111  48.74616910 -096.93515168
111  48.74616702 -096.93438102
111  48.74625151 -096.93422176
111  48.74640154 -096.93427804
111  48.74862325 -096.93714721
111  48.74878471 -096.93708341
111  48.74916562 -096.93728172
111  48.74951129 -096.93769215
111  48.75046469 -096.93902342
111  48.75066936 -096.93914586
111  48.75086379 -096.93898721
111  48.75190451 -096.93720994
111  48.75222607 -096.93702472
111  48.75322284 -096.93719097
111  48.75417716 -096.93795807
111  48.75407141 -096.93836725
111  48.75408915 -096.93891362
111  48.75436614 -096.93941032
111  48.75450531 -096.93991944
111  48.75446165 -096.94026299
111  48.75421195 -096.94055894
111  48.75374666 -096.94079900
111  48.75339872 -096.94125431
111  48.75332368 -096.94195795
111  48.75338781 -096.94288304
111  48.75361344 -096.94355013
111  48.75659181 -096.94722826
111  48.75667357 -096.94727199
111  48.75677623 -096.94726481
111  48.75707885 -096.94716347
111  48.75731479 -096.94801435
111  48.75759432 -096.94853178
111  48.75799135 -096.94898741
111  48.75800651 -096.94912683
113  48.75764928 -096.94981962
120 Runway Hold 13/31
111  48.75241144 -096.94147931 54
115  48.75249565 -096.94158615
120 Linear Feature 15
112  48.75227252 -096.94185701  48.75212710 -096.94218237 51
111  48.75229786 -096.94241621 51
115  48.75271683 -096.94295099
120 Linear Feature 14
111  48.75276359 -096.93973315 51
115  48.75279425 -096.93967848
120 Linear Feature 14
111  48.75285681 -096.93985375 51
115  48.75288747 -096.93979907
120 Linear Feature 14
111  48.75295277 -096.93997019 51
115  48.75298343 -096.93991551
120 Linear Feature 14
111  48.75266939 -096.93961402 51
115  48.75270005 -096.93955934
120 Linear Feature 14
111  48.75257546 -096.93949273 51
115  48.75260612 -096.93943805
120 Linear Feature 14
111  48.75248090 -096.93937241 51
115  48.75251156 -096.93931773
120 Linear Feature 13
111  48.75281848 -096.93970855 51
111  48.75279425 -096.93967848 51
115  48.75276912 -096.93964738
120 Linear Feature 13
