A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      793 1 0 UIKB Bodaibo
100   42.06   4   0 0.40 0 2 1 06   57.86019100  114.22781300    0.00    0.00 2  0 0 0 24   57.86872300  114.24949900    0.00    0.00 2  0 0 0
21   57.86112115  114.22928647  1  53.50   2.40 xxx VASI
21   57.86795259  114.24660700  1 233.50   2.40 xxx VASI
110   4 0.40 248.00 New Taxiway 15
111  57.86035005  114.22764541 
111  57.85994140  114.22669204 
111  57.85967669  114.22707633 
111  57.85978539  114.22734692 
113  57.86005514  114.22805688 
110   3 0.40 248.00 New Taxiway 13
111  57.85911060  114.22865520 
111  57.85964587  114.22993488 
111  57.86006664  114.23009714 
113  57.85932607  114.22834133 
110   3 0.40 248.00 New Taxiway 12
111  57.85977266  114.23009735 
111  57.86106749  114.23350497 
111  57.86102233  114.23360556 
111  57.86105745  114.23374074 
111  57.86117786  114.23389163 
111  57.86141366  114.23362128 
111  57.86108749  114.23267995 
111  57.86099592  114.23258376 
111  57.86068103  114.23166481 
113  57.86012867  114.23024918 
110   4 0.40 248.00 New Taxiway 11
111  57.85848507  114.22717161 
111  57.85841607  114.22761927 
111  57.85857463  114.22815908 
111  57.85878740  114.22799202 
111  57.85872324  114.22762346 
111  57.85883676  114.22762346 
111  57.85904057  114.22778953 
111  57.85909444  114.22771359 
111  57.85886792  114.22750631 
111  57.85902150  114.22717997 
111  57.85853404  114.22593320 
113  57.85818903  114.22642689 
110   4 0.40 248.00 New Taxiway 10
111  57.85978539  114.22734692 
111  57.85967669  114.22707633 
111  57.85909444  114.22771359 
111  57.85904057  114.22778953 
111  57.85878740  114.22799202 
111  57.85857463  114.22815908 
111  57.85827298  114.22850839 
111  57.85867159  114.22961199 
111  57.85886551  114.22902981 
111  57.85911060  114.22865520 
111  57.85932607  114.22834133 
111  57.86006664  114.23009714 
111  57.85964587  114.22993488 
111  57.85977266  114.23009735 
111  57.86012867  114.23024918 
111  57.86068103  114.23166481 
111  57.86099592  114.23258376 
111  57.86108749  114.23267995 
111  57.86141366  114.23362128 
111  57.86166117  114.23385585 
111  57.86177698  114.23368372 
112  57.86164231  114.23358619  57.86157374  114.23356419 
111  57.86114943  114.23258883 
112  57.85940417  114.22822486  57.85925726  114.22795793 
112  57.85932141  114.22770020  57.85940466  114.22757594 
114  57.85960617  114.22729842  57.85964779  114.22723859 
110   2 0.30 248.00 New Taxiway 9
111  57.86138623  114.23422234 
111  57.86160263  114.23479385 
111  57.86165280  114.23473098 
111  57.86196553  114.23553575 
111  57.86208978  114.23535184 
113  57.86156082  114.23395450 
110   1 0.30 248.00 New Taxiway 8
111  57.86166117  114.23385585 
111  57.86141366  114.23362128 
111  57.86156082  114.23395450 
111  57.86208978  114.23535184 
111  57.86196553  114.23553575 
111  57.86165280  114.23473098 
111  57.86160263  114.23479385 
111  57.86138623  114.23422234 
111  57.86156082  114.23395450 
111  57.86141366  114.23362128 
111  57.86117786  114.23389163 
111  57.86105745  114.23374074 
111  57.86102233  114.23360556 
111  57.86106749  114.23350497 
111  57.85977266  114.23009735 
111  57.85964587  114.22993488 
111  57.85911060  114.22865520 
111  57.85886551  114.22902981 
112  57.85941077  114.23031525  57.85943704  114.23037967 
112  57.85943540  114.23059433  57.85942055  114.23062654 
111  57.85936908  114.23072643 
112  57.85952126  114.23124510  57.85953580  114.23129780 
111  57.85953631  114.23159717 
111  57.85966173  114.23192094 
111  57.85993600  114.23166947 
111  57.86022865  114.23228246 
112  57.86030558  114.23219758  57.86032505  114.23217568 
112  57.86036913  114.23223531  57.86038532  114.23228475 
112  57.86093982  114.23370020  57.86095867  114.23374744 
112  57.86101592  114.23378744  57.86103853  114.23381578 
112  57.86109241  114.23398706  57.86109743  114.23404375 
112  57.86109994  114.23426290  57.86111627  114.23431959 
112  57.86116767  114.23446409  57.86118401  114.23451842 
112  57.86121533  114.23474388  57.86122789  114.23477694 
112  57.86140263  114.23517455  57.86142273  114.23522179 
112  57.86154478  114.23532859  57.86155986  114.23536165 
111  57.86224047  114.23703245 
113  57.86267116  114.23652397 
110   4 0.40 248.00 New Taxiway 7
111  57.87215080  114.25884437 
111  57.87247099  114.25932759 
111  57.87264649  114.25906205 
113  57.87246376  114.25842923 
110   2 0.30  53.50 New Taxiway 6
111  57.86903240  114.25064542 
111  57.86895482  114.25076643 
111  57.87179947  114.25796108 
111  57.87167045  114.25844845 
111  57.87185272  114.25890281 
111  57.87215080  114.25884437 
111  57.87246376  114.25842923 
111  57.86928429  114.25034547 
113  57.86924512  114.25035299 
110   4 0.40 248.00 New Taxiway 5
111  57.86856625  114.24966975 
112  57.86866590  114.24985362  57.86871788  114.24993477 
112  57.86878880  114.25002480  57.86879660  114.25004020 
111  57.86878880  114.25002480 
112  57.86878880  114.25002480  57.86880440  114.25005560 
111  57.86903240  114.25064542 
111  57.86924512  114.25035299 
112  57.86901806  114.24979621  57.86900558  114.24976394 
113  57.86885541  114.24926749 
110   4 0.40 248.00 New Taxiway 4
111  57.86475619  114.23992521 
112  57.86463786  114.23989956  57.86461022  114.23983980 
112  57.86285198  114.23564793  57.86281428  114.23555680 
111  57.86303039  114.23555886 
111  57.86278828  114.23494099 
112  57.86232999  114.23480360  57.86218725  114.23445932 
112  57.86195253  114.23392650  57.86192060  114.23386363 
111  57.86177698  114.23368372 
111  57.86166117  114.23385585 
111  57.86267116  114.23652397 
111  57.86276004  114.23642271 
111  57.86446490  114.24039218 
112  57.86477407  114.24070583  57.86489552  114.24072214 
113  57.86506244  114.24070539 
130 Airport Boundary 14
111  57.85998294  114.22338178 
111  57.85687188  114.22709840 
111  57.87218597  114.26181709 
113  57.87392238  114.25819112 
14   57.86024453  114.23309311   82 0 New Tower Viewpoint 3
15   57.86158871  114.23435305 140.71 appron
15   57.86069251  114.23214963 139.77 GA stands
18   57.86552237  114.23717051 1 BCN
19   57.86049580  114.23057941 0 New Windsock 4
19   57.86255977  114.23675087 0 New Windsock 5
54 12210 Bodaibo Tower

99
