I
1050 Generated by WorldEditor 2.2.0r2

1    533 0 0 KRBG Roseburg Rgnl
100 30.48 1 0 0.25 0 2 0 16  43.24620625 -123.35587870  338   45 1 0 0 1 34  43.23248080 -123.35585775  115    0 1 0 0 1
110 2 0.00 0.0000 New Taxiway 52
111  43.23717314 -123.35909203
111  43.23717314 -123.35878470
111  43.23739508 -123.35878605
113  43.23739606 -123.35909203
110 2 0.00 0.0000 New Taxiway 51
111  43.23740107 -123.35909724
111  43.23740107 -123.35878922
111  43.23762350 -123.35879058
113  43.23762251 -123.35909724
110 2 0.00 0.0000 New Taxiway 58
111  43.23678990 -123.35800670
111  43.23679068 -123.35781725
111  43.23765004 -123.35781635
113  43.23764748 -123.35800118
110 2 0.00 0.0000 New Taxiway 57
111  43.23674040 -123.35842325
111  43.23673983 -123.35828293
111  43.23764919 -123.35828777
113  43.23764919 -123.35841996
110 2 0.00 0.0000 New Taxiway 56
111  43.23784032 -123.35857053
111  43.23784032 -123.35778443
111  43.23797583 -123.35778326
113  43.23797412 -123.35857053
110 2 0.00 0.0000 New Taxiway 54
111  43.23692606 -123.35909099
112  43.23673076 -123.35908896  43.23673027 -123.35908896
111  43.23673126 -123.35884661
113  43.23692655 -123.35884526
110 2 0.00 0.0000 New Taxiway 53
111  43.23694285 -123.35909603
111  43.23694236 -123.35879004
111  43.23716029 -123.35879283
113  43.23716084 -123.35909628
110 2 0.00 0.0000 New Taxiway 49
111  43.23802579 -123.35920097
111  43.23781989 -123.35909202
111  43.23789084 -123.35882569
113  43.23810188 -123.35893900
110 2 0.00 0.0000 New Taxiway 48
111  43.23829684 -123.35936915
111  43.23811529 -123.35927392
111  43.23819484 -123.35899244
113  43.23837689 -123.35908498
110 2 0.00 0.0000 New Taxiway 47
111  43.23827662 -123.35866003
111  43.23817871 -123.35866030
111  43.23817871 -123.35778291
113  43.23827841 -123.35778318
110 2 0.00 0.0000 New Taxiway 46
111  43.23849485 -123.35764144
111  43.23849487 -123.35745909
111  43.23883293 -123.35745903
113  43.23883297 -123.35764411
110 2 0.00 0.0000 New Taxiway 45
111  43.23842845 -123.35936885
111  43.23842930 -123.35906457
111  43.23865117 -123.35906533
113  43.23865264 -123.35937308
110 2 0.00 0.0000 New Taxiway 44
111  43.23867664 -123.35937266
111  43.23867719 -123.35906534
111  43.23890020 -123.35906845
113  43.23889939 -123.35937601
110 2 0.00 0.0000 New Taxiway 43
111  43.23849362 -123.35811465
111  43.23849329 -123.35793237
111  43.23883129 -123.35793231
113  43.23883129 -123.35811472
110 2 0.00 0.0000 New Taxiway 42
111  43.23849932 -123.35861891
111  43.23849932 -123.35843510
111  43.23883907 -123.35843510
113  43.23883736 -123.35862174
110 2 0.00 0.0000 New Taxiway 75
111  43.24035875 -123.35943853
111  43.24013789 -123.35943756
111  43.24013745 -123.35913321
113  43.24035944 -123.35913380
110 2 0.00 0.0000 New Taxiway 74
111  43.24041131 -123.35951457
111  43.24041120 -123.35913394
111  43.24069112 -123.35913468
113  43.24068899 -123.35951262
110 2 0.00 0.0000 New Taxiway 73
111  43.24074129 -123.35913482
111  43.24096396 -123.35913541
111  43.24096212 -123.35958994
113  43.24074083 -123.35959256
110 2 0.00 0.0000 New Taxiway 72
111  43.24038783 -123.35840073
111  43.24038832 -123.35870741
111  43.24022262 -123.35870538
113  43.24022410 -123.35840141
110 2 0.00 0.0000 New Taxiway 71
111  43.24066401 -123.35840276
111  43.24066451 -123.35870605
111  43.24044258 -123.35870538
113  43.24044208 -123.35840344
110 2 0.00 0.0000 New Taxiway 70
111  43.24093526 -123.35840141
111  43.24093477 -123.35870809
111  43.24071185 -123.35870944
113  43.24070939 -123.35840208
