I
1050 Generated by WorldEditor 2.1.0r1

1    649 1 0 UEMM Magan
1302 city Magan
1302 country Russia
1302 datum_lat 62.10801
1302 datum_lon 129.56426
1302 icao_code UEMM
1302 region_code UE
1302 state Sakha Republic
100 20.00 2 0 0.00 0 1 0 01  62.09929914  129.54709806    0    0 3 0 0 0 19  62.10980944  129.54269067    0    0 3 0 0 0
100 80.00 3 0 0.00 0 1 0 05  62.09999425  129.55447466    0    0 0 0 0 0 23  62.12145076  129.58076762    0    0 0 0 0 0
100 45.00 4 0 0.00 0 0 0 14  62.10660823  129.54707736    0    0 0 0 0 0 32  62.10372004  129.55717935    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 13
111  62.09848916  129.55170140
112  62.09848916  129.55170140  62.09825706  129.55137880
112  62.09831588  129.54806671  62.09847783  129.54770070
111  62.09831588  129.54806671
111  62.09793218  129.54823085
111  62.09784294  129.54817228
112  62.09784294  129.54817228  62.09751283  129.54893091
112  62.09809533  129.55298537  62.09831696  129.55334361
111  62.09809533  129.55298537
111  62.10004876  129.55542861
113  62.10040188  129.55408882
110 4 0.00 0.0000 New Taxiway 10
111  62.10306067  129.54260898
111  62.10308460  129.54283180
111  62.10310416  129.54285966
111  62.10309474  129.54297731
111  62.10312661  129.54326678
111  62.10317514  129.54333334
111  62.10318355  129.54329790
113  62.10309529  129.54250279
110 2 0.00 0.0000 New Taxiway 9
111  62.10538519  129.54002320
111  62.10551619  129.53993274
111  62.10544158  129.53950865
111  62.10547767  129.53929676
111  62.10541390  129.53882117
111  62.10516427  129.53897842
111  62.10526411  129.53967933
113  62.10530770  129.53965999
110 1 0.00 0.0000 New Taxiway 7
111  62.10460754  129.54137791
111  62.10419176  129.54128079
111  62.10305743  129.54209095
111  62.10309529  129.54250279
111  62.10318355  129.54329790
111  62.10353839  129.54309070
111  62.10369916  129.54299296
111  62.10443100  129.54256948
113  62.10469500  129.54241533
110 2 0.00 0.0000 New Taxiway 6
111  62.10221716  129.54272492
111  62.10224077  129.54286361
111  62.10225167  129.54283759
111  62.10220448  129.54239196
111  62.10205081  129.54245262
111  62.10209435  129.54290435
111  62.10214811  129.54296569
113  62.10211682  129.54280611
110 1 0.00 0.0000 New Taxiway 5
111  62.10215761  129.54301415
111  62.10221993  129.54295623
111  62.10225154  129.54292685
111  62.10224077  129.54286361
111  62.10221716  129.54272492
111  62.10211682  129.54280611
113  62.10214811  129.54296569
110 2 0.00 0.0000 New Taxiway 4
111  62.10289919  129.54210580
111  62.10294337  129.54254543
111  62.10299479  129.54264140
111  62.10300783  129.54278227
111  62.10297813  129.54287669
111  62.10269395  129.54299929
111  62.10264107  129.54293652
111  62.10262302  129.54274852
111  62.10265905  129.54267107
111  62.10261672  129.54222746
111  62.10245795  129.54228929
111  62.10250276  129.54273675
111  62.10255352  129.54278728
