A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      928 0 1 C29  MIDDLETON MUNI MOREY FLD
100   30.48   1   0 0.00 0 2 0 10   43.11486427 -089.54064935    0.00    0.00 2  0 0 1 28   43.11302773 -089.52588465    0.00    0.00 2  0 0 1
100   36.58   3   0 0.00 0 0 0 01   43.11251997 -089.52853903    0.00    0.00 1  0 0 0 19   43.11763803 -089.52758697    0.00    0.00 1  0 0 0
21   43.11489248 -089.53814166  2  99.67   3.00 10  PAPI-4L
21   43.11299984 -089.52839226  2 279.68   3.00 28  PAPI-4L
10   43.11306200 -089.53347500 xxx  99.66  3986 0.0 0.0    50 161161  1 0 0 0.00 0
10   43.11209100 -089.52942700 xxx   0.01   329 0.0 0.0   150 101101  1 0 0 0.00 0
10   43.11226700 -089.53089900 xxx  99.07   915 0.0 0.0   164 101101  1 0 0 0.00 0
10   43.11196300 -089.53090500 xxx 269.97   944 0.0 0.0   234 101101  1 0 0 0.00 0
10   43.11230700 -089.53251400 xxx   0.47   454 0.0 0.0    76 101101  1 0 0 0.00 0
10   43.11379000 -089.53587400 xxx 189.39   302 0.0 0.0    50 161161  1 0 0 0.00 0
10   43.11433000 -089.54065700 xxx 190.38   302 0.0 0.0    50 161161  1 0 0 0.00 0
10   43.11309300 -089.53034500 xxx 190.41   277 0.0 0.0    50 161161  1 0 0 0.00 0
10   43.11252800 -089.52611700 xxx 189.08   298 0.0 0.0    50 161161  1 0 0 0.00 0
10   43.11270600 -089.53193300 xxx 191.37   110 0.0 0.0    98 101101  1 0 0 0.00 0
10   43.11251900 -089.53044400 xxx 191.07   112 0.0 0.0   130 101101  1 0 0 0.00 0
18   43.11489336 -089.53304969 1 BCN
19   43.11285700 -089.52907200 1 WS
19   43.11531600 -089.54092600 1 WS
19   43.11790200 -089.52685700 1 WS
19   43.11257600 -089.52560700 1 WS
51 12300 CTAF/UNICOM
55 13545 MADISON APP/DEP


130 Airport Boundary
111  043.11196136 -089.53090668
111  043.11230850 -089.53251648
111  043.11433029 -089.54065704
111  043.11486435 -089.54064941
111  043.11763763 -089.52758789
111  043.11302948 -089.52588654
111  043.11252975 -089.52611542
113  043.11209106 -089.52942657
99
