I
1100 Generated by WorldEditor 1.6.1r1

1     20 1 0 EGAE Londonderry Eglinton
1302 city Derry
1302 country United Kingdom
1302 datum_lat 55.042777778
1302 datum_lon -7.161944444
1302 faa_code 
1302 iata_code LDY
1302 icao_code EGAE
1302 region_code EG
1302 state Northern Ireland
1302 transition_alt 3000
1302 transition_level 
100 45.11 1 0 0.00 1 3 1 08  55.04010942 -007.17669498   83    0 5 5 0 0 26  55.04524058 -007.14722814    0    0 5 5 0 0
110 2 0.00 0.0000 New Taxiway 57
111  55.03814698 -007.16676001
111  55.03808335 -007.16661517
111  55.03823552 -007.16643170
111  55.03824793 -007.16645846
113  55.03830607 -007.16658378
110 1 0.25 73.1000 New Taxiway 8
111  55.03991619 -007.17659104
111  55.03973004 -007.17647533
111  55.03999543 -007.17497160
113  55.04027569 -007.17452933
110 1 0.00 0.0000 New Taxiway 17
111  55.04543964 -007.14732209 1
111  55.04504607 -007.14712203 1
111  55.04493006 -007.14780427 1
112  55.04476035 -007.14821911  55.04466588 -007.14832751
111  55.04476035 -007.14821911 1
111  55.04497932 -007.14701900 1
111  55.04501330 -007.14696222 1
111  55.04542320 -007.14719186 1
111  55.04545862 -007.14724107 1
111  55.04549549 -007.14746567 1
111  55.04527500 -007.14875395 1
113  55.04517162 -007.14883849 1
110 1 0.00 30.0000 Taxiway A
111  55.04082389 -007.15295919
112  55.04049539 -007.15354544  55.04037626 -007.15383242
111  55.04049539 -007.15354544
112  55.04049539 -007.15354544  55.04043583 -007.15368893
111  55.04030962 -007.15422645
112  55.04034068 -007.15490790  55.04045245 -007.15527364
111  55.04074287 -007.15558776
111  55.04072040 -007.15578635
111  55.04028295 -007.15562366
111  55.04029012 -007.15555692
111  55.04003912 -007.15549017
111  55.04008794 -007.15502279
111  55.04014692 -007.15503855
111  55.04016863 -007.15480232
112  55.04013265 -007.15453635  55.04012978 -007.15444624
111  55.04015257 -007.15430945
112  55.04029341 -007.15368925  55.04031374 -007.15361367
111  55.04029341 -007.15368925
112  55.04029341 -007.15368925  55.04041134 -007.15329611
