I
1050 Generated by WorldEditor

1    394 0 0 MP23 Calzada Larga
100 49.99 1 0 0.25 0 0 0 18  09.17168900 -079.54519700    0    0 2 0 0 0 36  09.16088100 -079.54496100    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 9
111  09.16133507 -079.54618082
111  09.16103592 -079.54617772
111  09.16104000 -079.54590438
113  09.16134115 -079.54590438
110 2 0.00 0.0000 New Taxiway 8
111  09.16172717 -079.54619907
111  09.16152336 -079.54619907
111  09.16152286 -079.54591099
113  09.16172942 -079.54591152
110 2 0.00 0.0000 New Taxiway 7
111  09.16193616 -079.54611264
111  09.16174764 -079.54611082
111  09.16175010 -079.54598449
113  09.16193582 -079.54598441
110 2 0.00 0.0000 New Taxiway 6
111  09.16356859 -079.54618880
111  09.16255890 -079.54619179
111  09.16255648 -079.54613198
111  09.16242370 -079.54612947
111  09.16242763 -079.54619424
111  09.16195467 -079.54619003
111  09.16196005 -079.54592440
113  09.16356950 -079.54591928
110 2 0.00 0.0000 New Taxiway 5
111  09.16409602 -079.54613810
111  09.16394511 -079.54619030
111  09.16391934 -079.54613437
111  09.16373899 -079.54614183
111  09.16372298 -079.54590560
113  09.16405425 -079.54585713
110 3 0.00 0.0000 New Taxiway 4
111  09.16468588 -079.54505700
111  09.16437729 -079.54572203
111  09.16405425 -079.54585713
111  09.16372298 -079.54590560
111  09.16356950 -079.54591928
111  09.16196005 -079.54592440
111  09.16193582 -079.54598441
111  09.16175010 -079.54598449
111  09.16172942 -079.54591152
111  09.16152286 -079.54591099
111  09.16134115 -079.54590438
111  09.16104000 -079.54590438
111  09.16087626 -079.54518867
113  09.16097409 -079.54517899
110 1 0.00 0.0000 New Taxiway 1
111  09.17095509 -079.54501824
111  09.17110779 -079.54477441
111  09.17169954 -079.54479208
113  09.17169322 -079.54499970
130 Airport Boundary
111  09.16062522 -079.54703125
111  09.17185784 -079.54703810
111  09.17187642 -079.54441605
113  09.16072994 -079.54400132
1300  09.16192373 -079.54576825 162.01 tie_down props Tie Down 05
1301 A general_aviation 
1300  09.16245499 -079.54579201 141.63 tie_down props Tie Down 04
1301 A general_aviation 
1300  09.16311612 -079.54577596 136.33 tie_down props Tie Down 03
1301 A general_aviation 
1300  09.16363356 -079.54579510 154.97 tie_down props Tie Down 02
1301 A general_aviation 
1300  09.16391511 -079.54576728 164.50 tie_down props Tie Down 01
1301 A general_aviation 
18  09.16439936 -079.54588704 1 New Airport Beacon 3
99
