I
1050 Generated by WorldEditor 2.0.0r4

1     14 0 0 L52 Oceano County
100 15.24 1 0 0.00 0 2 0 11  35.10327174 -120.62559789    0    0 1 0 0 0 29  35.09978462 -120.61907130    0    0 1 0 0 0
110 2 0.00 32.0000 New Taxiway 31
111  35.10370490 -120.62445455
111  35.10379647 -120.62437654
111  35.10388771 -120.62453862
113  35.10379667 -120.62461695
110 2 0.00 32.0000 New Taxiway 11
111  35.10231422 -120.62222783
111  35.10224946 -120.62210584
111  35.10233249 -120.62204696
113  35.10239663 -120.62216725
110 2 0.00 32.0000 New Taxiway 11
111  35.10238538 -120.62236148
111  35.10232062 -120.62223949
111  35.10240277 -120.62217877
113  35.10246698 -120.62229921
110 2 0.00 32.0000 New Taxiway 11
111  35.10245337 -120.62247227
111  35.10239607 -120.62236512
111  35.10247195 -120.62230853
113  35.10252833 -120.62241425
110 2 0.00 32.0000 New Taxiway 11
111  35.10251652 -120.62259073
111  35.10245827 -120.62247827
111  35.10253292 -120.62242288
113  35.10259194 -120.62253357
110 2 0.00 32.0000 New Taxiway 10
111  35.10277765 -120.62288188
111  35.10271891 -120.62292451
111  35.10268130 -120.62290271
111  35.10266009 -120.62286322
111  35.10266250 -120.62281431
113  35.10271938 -120.62277258
110 2 0.00 32.0000 New Taxiway 10
111  35.10284270 -120.62300388
111  35.10278400 -120.62304591
111  35.10274639 -120.62302410
111  35.10272518 -120.62298462
111  35.10272759 -120.62293571
113  35.10278377 -120.62289335
110 2 0.00 32.0000 New Taxiway 9
111  35.10226481 -120.62202788
111  35.10228060 -120.62205852
111  35.10224444 -120.62208454
111  35.10218953 -120.62197758
111  35.10222585 -120.62195135
111  35.10224174 -120.62198319
111  35.10228265 -120.62195348
113  35.10230637 -120.62199797
110 2 0.00 32.0000 New Taxiway 9
111  35.10259635 -120.62264560
111  35.10261451 -120.62268086
111  35.10259884 -120.62269215
111  35.10255947 -120.62267398
111  35.10253697 -120.62262880
111  35.10253781 -120.62258115
111  35.10255642 -120.62256770
111  35.10257313 -120.62259982
111  35.10261192 -120.62257104
113  35.10263617 -120.62261653
110 2 0.00 32.0000 New Taxiway 9
111  35.10265787 -120.62276083
111  35.10267651 -120.62279727
111  35.10266084 -120.62280856
111  35.10262147 -120.62279039
111  35.10259897 -120.62274521
111  35.10259982 -120.62269756
111  35.10261842 -120.62268412
111  35.10263417 -120.62271505
111  35.10267321 -120.62268599
113  35.10269761 -120.62273176
110 2 0.00 32.0000 New Taxiway 9
111  35.10284713 -120.62311604
111  35.10286641 -120.62315287
111  35.10285074 -120.62316417
111  35.10281137 -120.62314600
111  35.10278887 -120.62310082
111  35.10278972 -120.62305316
111  35.10280832 -120.62303972
111  35.10282479 -120.62307262
111  35.10286432 -120.62304442
113  35.10288694 -120.62308685
110 2 0.00 32.0000 New Taxiway 9
111  35.10290950 -120.62323288
111  35.10292959 -120.62327168
111  35.10291392 -120.62328298
111  35.10287455 -120.62326481
111  35.10285205 -120.62321962
111  35.10285290 -120.62317197
111  35.10287150 -120.62315853
111  35.10288918 -120.62319241
111  35.10292820 -120.62316423
113  35.10294936 -120.62320393
110 2 0.00 32.0000 New Taxiway 8
111  35.10298772 -120.62346902
111  35.10289631 -120.62329718
111  35.10297120 -120.62324487
113  35.10306090 -120.62341312
110 2 0.00 32.0000 New Taxiway 7
111  35.10306756 -120.62361682
111  35.10299582 -120.62348104
111  35.10306752 -120.62342554
113  35.10313998 -120.62356143
110 2 0.00 32.0000 New Taxiway 6
111  35.10336742 -120.62385735
111  35.10329109 -120.62391893
111  35.10311405 -120.62358797
111  35.10314281 -120.62356674
113  35.10318849 -120.62353093
110 2 0.00 32.0000 New Taxiway 5
111  35.10383419 -120.62504931
111  35.10377013 -120.62493895
111  35.10386470 -120.62486303
113  35.10392890 -120.62497478
110 1 0.00 0.0000 New Taxiway 2
111  35.10379190 -120.62545082
111  35.10372941 -120.62534389
112  35.10372941 -120.62534389  35.10366943 -120.62525835
111  35.10358161 -120.62530290
111  35.10352738 -120.62534467
111  35.10301932 -120.62573592
112  35.10301932 -120.62573592  35.10298804 -120.62575191
112  35.10293546 -120.62576200  35.10290960 -120.62576245
111  35.10293546 -120.62576200
112  35.10293546 -120.62576200  35.10283043 -120.62576384
111  35.10277172 -120.62566261
111  35.10217111 -120.62453529
112  35.10217111 -120.62453529  35.10211445 -120.62448336
111  35.10202430 -120.62452233
112  35.10202430 -120.62452233  35.10189100 -120.62463434
111  35.10177044 -120.62476556
111  35.10169628 -120.62463028
112  35.10169628 -120.62463028  35.10194422 -120.62453374
111  35.10200463 -120.62448382
112  35.10200463 -120.62448382  35.10208544 -120.62441152
111  35.10205174 -120.62431125
111  35.09964491 -120.61979373 3
111  35.09963349 -120.61977230
112  35.09963349 -120.61977230  35.09959550 -120.61971120 3
111  35.09954781 -120.61974582 3
111  35.09950835 -120.61977389 3
111  35.09935732 -120.61948920 3
111  35.09953988 -120.61934621 3
111  35.09975978 -120.61917398
111  35.09996485 -120.61955430
112  35.09996485 -120.61955430  35.09985000 -120.61944309 3
112  35.09969583 -120.61963443  35.09967073 -120.61975538
111  35.09969583 -120.61963443
112  35.09969583 -120.61963443  35.09968685 -120.61967773 3
112  35.09971427 -120.61977777  35.09973736 -120.61982803
111  35.09971427 -120.61977777
111  35.10117811 -120.62252650
112  35.10117811 -120.62252650  35.10121186 -120.62257995
112  35.10127681 -120.62260112  35.10130653 -120.62260409
111  35.10127681 -120.62260112
112  35.10127681 -120.62260112  35.10131900 -120.62260533
111  35.10135010 -120.62257883
111  35.10142445 -120.62252001
112  35.10142445 -120.62252001  35.10148526 -120.62244568
111  35.10145824 -120.62235248
111  35.10157197 -120.62227154
112  35.10157197 -120.62227154  35.10163168 -120.62233433
111  35.10172078 -120.62229876
111  35.10185207 -120.62219805
111  35.10225021 -120.62189263
111  35.10228265 -120.62195348
111  35.10230637 -120.62199797
111  35.10233249 -120.62204696
111  35.10239663 -120.62216725
111  35.10240277 -120.62217877
111  35.10246698 -120.62229921
111  35.10247195 -120.62230853
111  35.10252833 -120.62241425
111  35.10253292 -120.62242288
111  35.10259194 -120.62253357
111  35.10261192 -120.62257104
111  35.10263617 -120.62261653
111  35.10267321 -120.62268599
111  35.10269761 -120.62273176
111  35.10271938 -120.62277258
111  35.10277765 -120.62288188
111  35.10278377 -120.62289335
111  35.10284270 -120.62300388
111  35.10286432 -120.62304442
111  35.10288694 -120.62308685
111  35.10292820 -120.62316423
111  35.10294936 -120.62320393
111  35.10297120 -120.62324487
111  35.10306090 -120.62341312
111  35.10306752 -120.62342554
111  35.10313998 -120.62356143
111  35.10314281 -120.62356674
111  35.10336742 -120.62385735
111  35.10370490 -120.62445455
111  35.10379667 -120.62461695
111  35.10391370 -120.62482404
111  35.10386470 -120.62486303
111  35.10377013 -120.62493895
111  35.10383419 -120.62504931
111  35.10392890 -120.62497478
111  35.10397287 -120.62494017
111  35.10405901 -120.62509114
111  35.10397504 -120.62515713
113  35.10403152 -120.62526181
111  35.10281623 -120.62561355
112  35.10281623 -120.62561355  35.10285027 -120.62566635
112  35.10293777 -120.62568727  35.10298147 -120.62568678
111  35.10293777 -120.62568727
112  35.10293777 -120.62568727  35.10303547 -120.62568617
112  35.10311928 -120.62546162  35.10310588 -120.62534763
111  35.10311928 -120.62546162
111  35.10320851 -120.62532885
112  35.10320851 -120.62532885  35.10327842 -120.62540428
111  35.10337407 -120.62533178
111  35.10346644 -120.62526140
112  35.10346644 -120.62526140  35.10347059 -120.62525758
112  35.10347721 -120.62524951  35.10348027 -120.62524543
111  35.10347721 -120.62524951
112  35.10347721 -120.62524951  35.10350701 -120.62520971
111  35.10348857 -120.62516027
111  35.10288607 -120.62402583
112  35.10288607 -120.62402583  35.10285689 -120.62398766
112  35.10279518 -120.62397275  35.10276668 -120.62397063
111  35.10279518 -120.62397275
112  35.10279518 -120.62397275  35.10275688 -120.62396990
111  35.10272711 -120.62398632
111  35.10263961 -120.62405960
112  35.10263961 -120.62405960  35.10260062 -120.62411337
111  35.10261914 -120.62423194
111  35.10250781 -120.62431699
112  35.10250781 -120.62431699  35.10245115 -120.62424265
111  35.10236372 -120.62427653
111  35.10226974 -120.62434618
112  35.10226974 -120.62434618  35.10225468 -120.62436574
112  35.10223978 -120.62440874  35.10223418 -120.62442994
111  35.10223978 -120.62440874
112  35.10223978 -120.62440874  35.10222557 -120.62446259
113  35.10223527 -120.62451264
111  35.10207581 -120.62422560
112  35.10207581 -120.62422560  35.10210842 -120.62427070
112  35.10217375 -120.62429138  35.10220361 -120.62429554
111  35.10217375 -120.62429138
112  35.10217375 -120.62429138  35.10221346 -120.62429691
111  35.10224327 -120.62428059
111  35.10231992 -120.62421949
112  35.10231992 -120.62421949  35.10239240 -120.62415126
111  35.10234761 -120.62401789
111  35.10246828 -120.62394666
112  35.10246828 -120.62394666  35.10253882 -120.62401529
111  35.10262421 -120.62397740
111  35.10269719 -120.62392119
112  35.10269719 -120.62392119  35.10271472 -120.62389977
112  35.10273130 -120.62385289  35.10273733 -120.62382968
111  35.10273130 -120.62385289
