A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      859 0 0 Y50  Wautoma Muni
100   18.29   1   0 0.25 0 3 1 13   44.04463900 -089.30917200    0.00  121.92 2  0 0 0 31   44.03861100 -089.29980600    0.00   76.20 2  0 0 0
100   45.72   3   0 0.25 0 0 0 08   44.04497800 -089.31187500    0.00   45.72 1  0 0 0 26   44.04579400 -089.30327800    0.00   60.96 1  0 0 0
100   10.67   1   0 0.25 0 0 1 05   44.04053060 -089.30617035    0.00    0.00 2  0 0 0 23   44.04271940 -089.30280165    0.00    0.00 2  0 0 0
10   44.04465900 -089.30878800 xxx 311.84    80 0.0 0.0    80 101101  1 0 0 0.35 0
10   44.03836800 -089.29905700 xxx 311.84    80 0.0 0.0    80 101101  1 0 0 0.35 0
10   44.04150600 -089.30434700 xxx 140.00   105 0.0 0.0    18 161161  1 0 0 0.35 0
10   44.04431400 -089.30546700 xxx  45.00  1084 0.0 0.0    40 101101  1 0 0 0.25 0
10   44.04599300 -089.30458500 xxx 330.00   584 0.0 0.0    40 101101  1 0 0 0.25 0
10   44.04681200 -089.30513400 xxx   0.00   112 0.0 0.0    40 101101  1 0 0 0.25 0
10   44.04714900 -089.30559600 xxx  90.00   282 0.0 0.0   151 101101  1 0 0 0.25 0
10   44.04721200 -089.30522200 xxx  90.00  1076 0.0 0.0    30 101101  1 0 0 0.25 0
10   44.04729200 -089.30362900 xxx  90.00   236 0.0 0.0    39 101101  1 0 0 0.25 0
10   44.04663100 -089.30722900 xxx   0.00   400 0.0 0.0    20 101101  1 0 0 0.25 0
10   44.04662100 -089.30667400 xxx   0.00   400 0.0 0.0    20 101101  1 0 0 0.25 0
10   44.04662100 -089.30616700 xxx   0.00   400 0.0 0.0    20 101101  1 0 0 0.25 0
10   44.04606700 -089.30669400 xxx 270.00   302 0.0 0.0    20 101101  1 0 0 0.25 0
10   44.04632600 -089.30566200 xxx   0.00   446 0.0 0.0   243 101101  3 0 0 0.25 0
10   44.04616700 -089.30514700 xxx 329.70   335 0.0 0.0   151 101101  3 0 0 0.25 0
10   44.04582300 -089.30669100 xxx  90.00   302 0.0 0.0   157 101101  3 0 0 0.25 0
14   44.04599500 -089.30618800    8 0 ATC Tower
18   44.04742600 -089.30601000 1 BCN
19   44.04489400 -089.30900500 1 WS
19   44.03836500 -089.30011100 1 WS
19   44.04548500 -089.31133300 1 WS
19   44.04538400 -089.30351100 1 WS
19   44.04088900 -089.30632000 1 WS
19   44.04236100 -089.30272000 1 WS
19   44.04324300 -089.30500100 1 WS
51 12280 CTAF/UNICOM


130 Airport Boundary
111  044.03836823 -089.29905701
111  044.04053116 -089.30616760
111  044.04497910 -089.31187439
111  044.04663086 -089.30722809
111  044.04714966 -089.30559540
111  044.04721069 -089.30522156
113  044.04729080 -089.30362701
99
